"FSM","0000037","20250318|081955","20250317_2056304_102640_094531","R04_0_TUN_M15 Monastir","Teodor Pieleanu","Kumstat","|K|0.394391|EK|G||OL1|2.57302|EOL1|OL2|1.7762|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000038","20250318|081958","20250317_2056304_035321_083906","R04_0_TUN_M15 Monastir","Tessa","Fantini","|K|0.597073|EK|G||OL1|1.7976|EOL1|OL2|2.52237|EOL2|OH1|168|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-11-men/tessa-louis-fantini-luca-2iJo4oFl/","","","","1.4","2.7","","","","","1.4","2.7","","","","","","",""
"FSM","0000039","20250318|082012","20250317_2056304_031650_097984","R04_0_TUN_M15 Monastir","Wehnelt","Mrva","|K|0.37158|EK|G||OL1|2.7351|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-11-men/wehnelt-kai-mrkva-maxim-AHMg2Pq1/#ah;2;3.00;2","3.0","","","1.73","1.97","","","","","1.73","1.97","","","","","","",""
"FSM","0000039","20250318|082010","20250317_2056304_031650_097984","R04_0_TUN_M15 Monastir","Wehnelt","Mrva","|K|0.37158|EK|G||OL1|2.7351|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-11-men/wehnelt-kai-mrkva-maxim-AHMg2Pq1/#ah;2;2.50;2","2.5","","","1.86","1.84","","","","","1.86","1.84","","","","","","",""
"FSM","0000039","20250318|082002","20250317_2056304_031650_097984","R04_0_TUN_M15 Monastir","Wehnelt","Mrva","|K|0.37158|EK|G||OL1|2.7351|EOL1|OL2|1.712|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-11-men/wehnelt-kai-mrkva-maxim-AHMg2Pq1/","","","","2.25","1.57","","","","","2.28","1.59","","","","","","",""
"CSM","0000040","20250318|082027","20250317_2052004_008721_063299","R04_1_CRO_Zadar Challenger","Martin","Svrcina","|K|0.319653|EK|G||OL1|3.33658|EOL1|OL2|1.58613|EOL2|OH1|1|EOH1|OH2|2.058|EOH2|EG|NA||NAOL1|3.4743|ENAOL1|NAOL2|1.55085|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/croatia/zadar-challenger-men/martin-andrej-svrcina-dalibor-OGIfmYnD/#ah;2;3.50;2","3.5","1.72","2.16","1.7","2.02","","","","","1.72","2.16","","","","","","",""
"CSM","0000040","20250318|082025","20250317_2052004_008721_063299","R04_1_CRO_Zadar Challenger","Martin","Svrcina","|K|0.319653|EK|G||OL1|3.33658|EOL1|OL2|1.58613|EOL2|OH1|1|EOH1|OH2|2.058|EOH2|EG|NA||NAOL1|3.4743|ENAOL1|NAOL2|1.55085|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/croatia/zadar-challenger-men/martin-andrej-svrcina-dalibor-OGIfmYnD/#ah;2;2.50;2","2.5","1.9","1.93","1.87","1.83","","","","","1.9","1.93","","","","","","",""
"CSM","0000040","20250318|082030","20250317_2052004_008721_063299","R04_1_CRO_Zadar Challenger","Martin","Svrcina","|K|0.319653|EK|G||OL1|3.33658|EOL1|OL2|1.58613|EOL2|OH1|1|EOH1|OH2|2.058|EOH2|EG|NA||NAOL1|3.4743|ENAOL1|NAOL2|1.55085|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/croatia/zadar-challenger-men/martin-andrej-svrcina-dalibor-OGIfmYnD/#ah;2;1.50;1","1.5","1.55","2.51","1.52","2.37","","","","","1.55","2.51","","","","","","",""
"CSM","0000040","20250318|082029","20250317_2052004_008721_063299","R04_1_CRO_Zadar Challenger","Martin","Svrcina","|K|0.319653|EK|G||OL1|3.33658|EOL1|OL2|1.58613|EOL2|OH1|1|EOH1|OH2|2.058|EOH2|EG|NA||NAOL1|3.4743|ENAOL1|NAOL2|1.55085|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/croatia/zadar-challenger-men/martin-andrej-svrcina-dalibor-OGIfmYnD/#ah;2;-1.50;1","-1.5","3.72","1.29","3.47","1.26","","","","","3.72","1.29","","","","","","",""
"CSM","0000040","20250318|082018","20250317_2052004_008721_063299","R04_1_CRO_Zadar Challenger","Martin","Svrcina","|K|0.319653|EK|G||OL1|3.33658|EOL1|OL2|1.58613|EOL2|OH1|1|EOH1|OH2|2.058|EOH2|EG|NA||NAOL1|3.4743|ENAOL1|NAOL2|1.55085|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/croatia/zadar-challenger-men/martin-andrej-svrcina-dalibor-OGIfmYnD/","","2.25","1.67","2.17","1.61","","","2.32","1.58","2.32","1.67","","","","","","",""
"CSV","0000041","20250318|082044","20250317_1607104_073771_064937","R04_1_TUR_Megasaray Hotels Open 1 - Antalya","Pridankina","Semenistaja","|K|0.667311|EK|G||OL1|1.608|EOL1|OL2|3.08224|EOL2|OH1|2.1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/turkey/antalya-challenger-women/pridankina-elena-semenistaja-darja-fmPpIce2/#ah;2;-1.50;2","-1.5","1.88","1.93","1.83","1.87","","","1.94","1.82","1.94","1.93","","","","","","",""
