"CDM","0000019","20250318|142348","20250317_2051904_040307_113953","R04_1_ESP_Murcia Challenger","Nedunchezhiyan/Prashanth","Ingildsen/Stevenson","|K|0.481336|EK|G||OL1|2.11952|EOL1|OL2|1.96667|EOL2|OH1|208|EOH1|OH2|193|EOH2|EG|NA||NAOL1|2.1736|ENAOL1|NAOL2|2.01685|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/murcia-challenger-men-doubles/nedunchezhiyan-jeevan-prashanth-vijay-sundar-ingildsen-johannes-stevenson-david-tIv9DojK/","","","","1.72","2.0","","","","","1.74","2.03","","","","","","",""
"FSM","0000022","20250318|142402","20250317_2055704_069339_084557","R04_0_DOM_M25 Santo Domingo","Stice","Kuzuhara","|K|0.179211|EK|G||OL1|5.66267|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/stice-tyler-kuzuhara-bruno-CzQS9qqQ/#ah;2;5.50;2","5.5","1.74","2.02","1.72","2.0","","","","","1.74","2.02","","","","","","",""
"FSM","0000022","20250318|142404","20250317_2055704_069339_084557","R04_0_DOM_M25 Santo Domingo","Stice","Kuzuhara","|K|0.179211|EK|G||OL1|5.66267|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/stice-tyler-kuzuhara-bruno-CzQS9qqQ/#ah;2;4.50;2","4.5","2.16","1.65","","","","","","","2.16","1.65","","","","","","",""
"FSM","0000022","20250318|142408","20250317_2055704_069339_084557","R04_0_DOM_M25 Santo Domingo","Stice","Kuzuhara","|K|0.179211|EK|G||OL1|5.66267|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/stice-tyler-kuzuhara-bruno-CzQS9qqQ/#ah;2;1.50;1","1.5","2.29","1.58","2.27","1.56","","","","","2.29","1.58","","","","","","",""
"FSM","0000022","20250318|142406","20250317_2055704_069339_084557","R04_0_DOM_M25 Santo Domingo","Stice","Kuzuhara","|K|0.179211|EK|G||OL1|5.66267|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/stice-tyler-kuzuhara-bruno-CzQS9qqQ/#ah;2;-1.50;1","-1.5","7.56","1.07","7.1","1.07","","","","","7.56","1.07","","","","","","",""
"FSM","0000022","20250318|142357","20250317_2055704_069339_084557","R04_0_DOM_M25 Santo Domingo","Stice","Kuzuhara","|K|0.179211|EK|G||OL1|5.66267|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-men/stice-tyler-kuzuhara-bruno-CzQS9qqQ/","","4.02","1.22","4.15","1.19","","","","","4.15","1.22","","","","","","",""
"FSM","0000023","20250318|142420","20250317_2055904_014861_007805","R04_0_FRA_M25 Toulouse-Balma","Escoffier","de Schepper","|K|0.6751|EK|G||OL1|1.5943|EOL1|OL2|3.12004|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-m25-toulouse-balma-men/escoffier-antoine-de-schepper-kenny-t2dPZr4t/#ah;2;-2.50;2","-2.5","1.8","1.93","1.78","1.92","","","","","1.8","1.93","","","","","","",""
"FSM","0000023","20250318|142418","20250317_2055904_014861_007805","R04_0_FRA_M25 Toulouse-Balma","Escoffier","de Schepper","|K|0.6751|EK|G||OL1|1.5943|EOL1|OL2|3.12004|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/france/itf-m25-toulouse-balma-men/escoffier-antoine-de-schepper-kenny-t2dPZr4t/#ah;2;-3.50;2","-3.5","2.12","1.66","2.08","1.66","","","","","2.12","1.66","","","","","","",""
"FSM","0000023","20250318|142424","20250317_2055904_014861_007805","R04_0_FRA_M25 Toulouse-Balma","Escoffier","de Schepper","|K|0.6751|EK|G||OL1|1.5943|EOL1|OL2|3.12004|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-m25-toulouse-balma-men/escoffier-antoine-de-schepper-kenny-t2dPZr4t/#ah;2;1.50;1","1.5","1.2","4.17","1.18","4.3","","","","","1.2","4.3","","","","","","",""
"FSM","0000023","20250318|142422","20250317_2055904_014861_007805","R04_0_FRA_M25 Toulouse-Balma","Escoffier","de Schepper","|K|0.6751|EK|G||OL1|1.5943|EOL1|OL2|3.12004|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/france/itf-m25-toulouse-balma-men/escoffier-antoine-de-schepper-kenny-t2dPZr4t/#ah;2;-1.50;1","-1.5","2.26","1.58","2.25","1.57","","","","","2.26","1.58","","","","","","",""
"FSM","0000023","20250318|142411","20250317_2055904_014861_007805","R04_0_FRA_M25 Toulouse-Balma","Escoffier","de Schepper","|K|0.6751|EK|G||OL1|1.5943|EOL1|OL2|3.12004|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/itf-m25-toulouse-balma-men/escoffier-antoine-de-schepper-kenny-t2dPZr4t/","","1.51","2.43","1.48","2.45","","","","","1.51","2.45","","","","","","",""
