"DM","0000001","20250323|123816","20250317_2032905_114334_110661","R05_3_USA_Miami Open - Miami","Andreozzi/Arribage","Korda/Thompson","|K|0.264242|EK|G||OL1|3.8279|EOL1|OL2|1.4824|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.07425|ENAOL1|NAOL2|1.54224|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/andreozzi-guido-arribage-theo-korda-sebastian-thompson-jordan-W6Rxl3an/","","3.47","1.31","","","","","3.45","1.28","4.03","1.31","","","","","","",""
"DM","0000002","20250323|123819","20250317_2032905_114614_117870","R05_3_USA_Miami Open - Miami","Cash/Glasspool","Martinez/Mpetshi Perricard","|K|0.672199|EK|G||OL1|1.6241|EOL1|OL2|3.0906|EOL2|OH1|149|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.68966|ENAOL1|NAOL2|3.2895|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/cash-julian-glasspool-lloyd-martinez-pedro-mpetshi-perricard-giovanni-UDa3DGef/","","1.34","3.25","","","","","","","1.34","3.84","","","","","","",""
"DM","0000003","20250323|123823","20250317_2032905_108310_068173","R05_3_USA_Miami Open - Miami","Arevalo/Pavic","Ebden/Peers","|K|0.686377|EK|G||OL1|1.5914|EOL1|OL2|3.2219|EOL2|OH1|146|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.65564|ENAOL1|NAOL2|3.42925|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/arevalo-marcelo-pavic-mate-ebden-matthew-peers-john-UcZyKw3d/","","1.43","2.83","","","","","","","1.44","2.83","","","","","","",""
"DM","0000004","20250323|123827","20250317_2032905_095279_110057","R05_3_USA_Miami Open - Miami","Vliegen/Withrow","Heliovaara/Patten","|K|0.265185|EK|G||OL1|3.8178|EOL1|OL2|1.4933|EOL2|OH1|1|EOH1|OH2|137|EOH2|EG|NA||NAOL1|4.0635|ENAOL1|NAOL2|1.55358|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/vliegen-joran-withrow-jackson-heliovaara-harri-patten-henry-dvjY5Ovg/","","3.41","1.32","","","","","","","3.41","1.32","","","","","","",""
"FSM","0000005","20250323|123837","20250317_2055612_077192_029937","R12_0_USA_M25 Bakersfield","Monday","Rybakov","|K|0.789885|EK|G||OL1|1.3589|EOL1|OL2|4.82188|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-bakersfield-ca-men/monday-johannus-rybakov-alex-0QsJXsF5/#ah;2;-3.50;2","-3.5","1.7","2.09","","","","","","","1.7","2.09","","","","","","",""
"FSM","0000005","20250323|123839","20250317_2055612_077192_029937","R12_0_USA_M25 Bakersfield","Monday","Rybakov","|K|0.789885|EK|G||OL1|1.3589|EOL1|OL2|4.82188|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-bakersfield-ca-men/monday-johannus-rybakov-alex-0QsJXsF5/#ah;2;-4.50;2","-4.5","2.29","1.59","","","","","","","2.29","1.59","","","","","","",""
"FSM","0000005","20250323|123842","20250317_2055612_077192_029937","R12_0_USA_M25 Bakersfield","Monday","Rybakov","|K|0.789885|EK|G||OL1|1.3589|EOL1|OL2|4.82188|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-bakersfield-ca-men/monday-johannus-rybakov-alex-0QsJXsF5/#ah;2;1.50;1","1.5","1.08","7.69","","","","","","","1.08","7.69","","","","","","",""
"FSM","0000005","20250323|123841","20250317_2055612_077192_029937","R12_0_USA_M25 Bakersfield","Monday","Rybakov","|K|0.789885|EK|G||OL1|1.3589|EOL1|OL2|4.82188|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-bakersfield-ca-men/monday-johannus-rybakov-alex-0QsJXsF5/#ah;2;-1.50;1","-1.5","1.64","2.19","","","","","","","1.64","2.19","","","","","","",""
"FSM","0000005","20250323|123831","20250317_2055612_077192_029937","R12_0_USA_M25 Bakersfield","Monday","Rybakov","|K|0.789885|EK|G||OL1|1.3589|EOL1|OL2|4.82188|EOL2|OH1|127|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-bakersfield-ca-men/monday-johannus-rybakov-alex-0QsJXsF5/","","1.24","3.86","","","","","1.23","3.8","1.24","3.86","","","","","","",""
"CSM","0000006","20250323|123854","20250317_2051812_029906_036617","R12_1_MEX_Merida Challenger","Ficovich","Meligeni Alves","|K|0.484951|EK|G||OL1|2.23353|EOL1|OL2|2.10405|EOL2|OH1|2.898|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.18385|ENAOL1|NAOL2|2.05725|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/merida-challenger-men/ficovich-juan-pablo-meligeni-rodrigues-alves-felipe-Y1YF9523/#ah;2;1.50;2","1.5","1.8","2.07","","","","","1.77","2.0","1.8","2.07","","","","","","",""
"CSM","0000006","20250323|123852","20250317_2051812_029906_036617","R12_1_MEX_Merida Challenger","Ficovich","Meligeni Alves","|K|0.484951|EK|G||OL1|2.23353|EOL1|OL2|2.10405|EOL2|OH1|2.898|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.18385|ENAOL1|NAOL2|2.05725|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/merida-challenger-men/ficovich-juan-pablo-meligeni-rodrigues-alves-felipe-Y1YF9523/#ah;2;0.50;2","0.5","1.94","1.91","","","","","","","1.94","1.91","","","","","","",""
"CSM","0000006","20250323|123858","20250317_2051812_029906_036617","R12_1_MEX_Merida Challenger","Ficovich","Meligeni Alves","|K|0.484951|EK|G||OL1|2.23353|EOL1|OL2|2.10405|EOL2|OH1|2.898|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.18385|ENAOL1|NAOL2|2.05725|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/mexico/merida-challenger-men/ficovich-juan-pablo-meligeni-rodrigues-alves-felipe-Y1YF9523/#ah;2;1.50;1","1.5","1.41","3.05","","","","","1.38","2.95","1.41","3.05","","","","","","",""
"CSM","0000006","20250323|123856","20250317_2051812_029906_036617","R12_1_MEX_Merida Challenger","Ficovich","Meligeni Alves","|K|0.484951|EK|G||OL1|2.23353|EOL1|OL2|2.10405|EOL2|OH1|2.898|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.18385|ENAOL1|NAOL2|2.05725|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/mexico/merida-challenger-men/ficovich-juan-pablo-meligeni-rodrigues-alves-felipe-Y1YF9523/#ah;2;-1.50;1","-1.5","3.45","1.34","","","","","3.4","1.3","3.45","1.34","","","","","","",""
"CSM","0000006","20250323|123846","20250317_2051812_029906_036617","R12_1_MEX_Merida Challenger","Ficovich","Meligeni Alves","|K|0.484951|EK|G||OL1|2.23353|EOL1|OL2|2.10405|EOL2|OH1|2.898|EOH1|OH2|2.73|EOH2|EG|NA||NAOL1|2.18385|ENAOL1|NAOL2|2.05725|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/merida-challenger-men/ficovich-juan-pablo-meligeni-rodrigues-alves-felipe-Y1YF9523/","","2.03","1.83","","","","","1.98","1.79","2.03","1.83","","","","","","",""
