"FDV","0000037","20250325|080949","20250324_1612104_099967_099823","R04_0_TUN_W15 Monastir","Podhajecka/Zabolotnaia","Gapankova/Khomutsianskaya","|K|0.25145|EK|G||OL1|4.179|EOL1|OL2|1.37618|EOL2|OH1|1|EOH1|OH2|134|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-12-women-doubles/podhajecka-dominika-zabolotnaia-eva-gapankova-sofya-daria-khomutsianskaya-vshkaRKU/","","","","","","","","","","4.31","1.21","","","","","","",""
"FDV","0000038","20250325|080952","20250324_1612104_099969_099970","R04_0_TUN_W15 Monastir","Pohle/Stusek","Houghton/Van Emst","|K|0.0807309|EK|G||OL1|13.0095|EOL1|OL2|1.11943|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-12-women-doubles/pohle-victoria-stusek-julia-houghton-india-van-emst-sarah-MRlI6iMt/","","","","","","","","","","2.62","1.44","","","","","","",""
"CDV","0000039","20250325|080955","20250324_1607304_098380_099763","R04_1_TUR_Megasaray Hotels Open 2 - Antalya","Semenistaja/Udvardy","Erjavec/Romero Gormaz","|K|0.438116|EK|G||OL1|2.3129|EOL1|OL2|1.869|EOL2|OH1|229|EOH1|OH2|2.581|EOH2|EG|NA||NAOL1|2.4045|ENAOL1|NAOL2|1.8957|ENAOL2|NAVE1|-10|ENAVE1|NAVE2|-10|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/turkey/antalya-2-challenger-women-doubles/semenistaja-darja-udvardy-panna-erjavec-veronika-romero-gormaz-leyre-hzVc0IyJ/","","","","","","","","","","2.28","1.58","","","","","","",""
"FSM","0000040","20250325|081006","20250324_2058204_061691_062434","R04_0_CYP_M15 Alaminos","Bellifemine","Ortenzi","|K|0.295371|EK|G||OL1|3.43407|EOL1|OL2|1.5194|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bellifemine-alessandro-ortenzi-gian-marco-zaIgBG6d/#ah;2;4.50;2","4.5","1.9","1.84","","","","","","","1.9","1.84","","","","","","",""
"FSM","0000040","20250325|081005","20250324_2058204_061691_062434","R04_0_CYP_M15 Alaminos","Bellifemine","Ortenzi","|K|0.295371|EK|G||OL1|3.43407|EOL1|OL2|1.5194|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bellifemine-alessandro-ortenzi-gian-marco-zaIgBG6d/#ah;2;3.50;2","3.5","2.34","1.56","","","","","","","2.34","1.56","","","","","","",""
"FSM","0000040","20250325|081009","20250324_2058204_061691_062434","R04_0_CYP_M15 Alaminos","Bellifemine","Ortenzi","|K|0.295371|EK|G||OL1|3.43407|EOL1|OL2|1.5194|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bellifemine-alessandro-ortenzi-gian-marco-zaIgBG6d/#ah;2;1.50;1","1.5","2.05","1.72","","","","","","","2.05","1.72","","","","","","",""
"FSM","0000040","20250325|081007","20250324_2058204_061691_062434","R04_0_CYP_M15 Alaminos","Bellifemine","Ortenzi","|K|0.295371|EK|G||OL1|3.43407|EOL1|OL2|1.5194|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bellifemine-alessandro-ortenzi-gian-marco-zaIgBG6d/#ah;2;-1.50;1","-1.5","5.87","1.11","","","","","","","5.87","1.11","","","","","","",""
"FSM","0000040","20250325|080959","20250324_2058204_061691_062434","R04_0_CYP_M15 Alaminos","Bellifemine","Ortenzi","|K|0.295371|EK|G||OL1|3.43407|EOL1|OL2|1.5194|EOL2|OH1|1|EOH1|OH2|142|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bellifemine-alessandro-ortenzi-gian-marco-zaIgBG6d/","","3.51","1.27","","","","","3.0","1.35","3.51","1.35","","","","","","",""
"FSM","0000041","20250325|081020","20250324_2058204_085282_040382","R04_0_CYP_M15 Alaminos","Bonnaud","Wenger","|K|0.103431|EK|G||OL1|9.79571|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bonnaud-arthur-wenger-damian-fRRbMtFc/#ah;2;6.50;2","6.5","1.58","2.29","","","","","","","1.58","2.29","","","","","","",""
"FSM","0000041","20250325|081019","20250324_2058204_085282_040382","R04_0_CYP_M15 Alaminos","Bonnaud","Wenger","|K|0.103431|EK|G||OL1|9.79571|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bonnaud-arthur-wenger-damian-fRRbMtFc/#ah;2;5.50;2","5.5","2.01","1.75","","","","","","","2.01","1.75","","","","","","",""
"FSM","0000041","20250325|081023","20250324_2058204_085282_040382","R04_0_CYP_M15 Alaminos","Bonnaud","Wenger","|K|0.103431|EK|G||OL1|9.79571|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/cyprus/itf-m15-alaminos-3-men/bonnaud-arthur-wenger-damian-fRRbMtFc/#ah;2;1.50;1","1.5","2.85","1.39","","","","","","","2.85","1.39","","","","","","",""
