"DM","0000013","20250325|154403","20250317_2032909_110661_110057","R09_3_USA_Miami Open - Miami","Korda/Thompson","Heliovaara/Patten","|K|0.591831|EK|G||OL1|1.8421|EOL1|OL2|2.4745|EOL2|OH1|169|EOH1|OH2|245|EOH2|EG|NA||NAOL1|1.91646|ENAOL1|NAOL2|2.63375|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/korda-sebastian-thompson-jordan-heliovaara-harri-patten-henry-jZtf1PsH/","","2.14","1.72","","","","","2.1","1.7","2.14","1.83","","","","","","",""
"DM","0000014","20250325|154407","20250317_2032909_114614_118292","R09_3_USA_Miami Open - Miami","Cash/Glasspool","Bhambri/Borges","|K|0.548363|EK|G||OL1|1.9947|EOL1|OL2|2.2422|EOL2|OH1|183|EOH1|OH2|222|EOH2|EG|NA||NAOL1|2.07522|ENAOL1|NAOL2|2.3865|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/atp-miami-doubles/cash-julian-glasspool-lloyd-bhambri-yuki-borges-nuno-fTx7HdkC/","","","","","","","","1.45","2.67","1.48","2.67","","","","","","",""
"FSM","0000015","20250325|154411","20250324_2057704_058999_071628","R04_0_USA_M25 Calabasas","Schachter","Vandecasteele","|K|0.32068|EK|G||OL1|3.16056|EOL1|OL2|1.5836|EOL2|OH1|1|EOH1|OH2|148|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/schachter-noah-vandecasteele-quinn-rTTo4tGl/","","","","","","","","2.75","1.4","2.9","1.4","","","","","","",""
"CSM","0000016","20250325|154421","20250324_2052404_036772_036257","R04_1_CHI_Concepcion Challenger","Huertas Del Pino","Orlov","|K|0.594626|EK|G||OL1|1.82351|EOL1|OL2|2.63302|EOL2|OH1|2.366|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.78295|ENAOL1|NAOL2|2.7417|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/huertas-del-pino-conner-orlov-vladyslav-Q5ESNlJE/#ah;2;-1.50;2","-1.5","1.87","1.95","","","","","","","1.87","1.95","","","","","","",""
"CSM","0000016","20250325|154424","20250324_2052404_036772_036257","R04_1_CHI_Concepcion Challenger","Huertas Del Pino","Orlov","|K|0.594626|EK|G||OL1|1.82351|EOL1|OL2|2.63302|EOL2|OH1|2.366|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.78295|ENAOL1|NAOL2|2.7417|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/huertas-del-pino-conner-orlov-vladyslav-Q5ESNlJE/#ah;2;-2.50;2","-2.5","2.02","1.81","","","","","","","2.02","1.81","","","","","","",""
"CSM","0000016","20250325|154427","20250324_2052404_036772_036257","R04_1_CHI_Concepcion Challenger","Huertas Del Pino","Orlov","|K|0.594626|EK|G||OL1|1.82351|EOL1|OL2|2.63302|EOL2|OH1|2.366|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.78295|ENAOL1|NAOL2|2.7417|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/huertas-del-pino-conner-orlov-vladyslav-Q5ESNlJE/#ah;2;1.50;1","1.5","1.32","3.42","","","","","","","1.32","3.42","","","","","","",""
"CSM","0000016","20250325|154426","20250324_2052404_036772_036257","R04_1_CHI_Concepcion Challenger","Huertas Del Pino","Orlov","|K|0.594626|EK|G||OL1|1.82351|EOL1|OL2|2.63302|EOL2|OH1|2.366|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.78295|ENAOL1|NAOL2|2.7417|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/huertas-del-pino-conner-orlov-vladyslav-Q5ESNlJE/#ah;2;-1.50;1","-1.5","2.66","1.49","","","","","","","2.66","1.49","","","","","","",""
"CSM","0000016","20250325|154415","20250324_2052404_036772_036257","R04_1_CHI_Concepcion Challenger","Huertas Del Pino","Orlov","|K|0.594626|EK|G||OL1|1.82351|EOL1|OL2|2.63302|EOL2|OH1|2.366|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.78295|ENAOL1|NAOL2|2.7417|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/huertas-del-pino-conner-orlov-vladyslav-Q5ESNlJE/","","1.72","2.15","","","","","","","1.72","2.15","","","","","","",""
"CSM","0000017","20250325|154439","20250324_2052404_018648_080391","R04_1_CHI_Concepcion Challenger","Kicker","Vallejo","|K|0.291063|EK|G||OL1|3.66704|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8184|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/kicker-nicolas-vallejo-daniel-baMt0oR7/#ah;2;4.50;2","4.5","1.67","2.22","","","","","","","1.67","2.22","","","","","","",""
"CSM","0000017","20250325|154440","20250324_2052404_018648_080391","R04_1_CHI_Concepcion Challenger","Kicker","Vallejo","|K|0.291063|EK|G||OL1|3.66704|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8184|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/kicker-nicolas-vallejo-daniel-baMt0oR7/#ah;2;3.50;2","3.5","1.93","1.88","","","","","","","1.93","1.88","","","","","","",""
"CSM","0000017","20250325|154444","20250324_2052404_018648_080391","R04_1_CHI_Concepcion Challenger","Kicker","Vallejo","|K|0.291063|EK|G||OL1|3.66704|EOL1|OL2|1.53218|EOL2|OH1|1|EOH1|OH2|1.988|EOH2|EG|NA||NAOL1|3.8184|ENAOL1|NAOL2|1.4981|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/chile/concepcion-challenger-men/kicker-nicolas-vallejo-daniel-baMt0oR7/#ah;2;1.50;1","1.5","1.7","2.17","","","","","","","1.7","2.17","","","","","","",""
