"FSM","0000013","20250326|125718","20250324_2058704_068405_083308","R04_0_TUR_M15 Antalya","Barreto Sanchez","Von Der Schulenburg","|K|0.593366|EK|G||OL1|1.8083|EOL1|OL2|2.49198|EOL2|OH1|169|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/barreto-sanchez-diego-augusto-von-der-schulenburg-jeffrey-AB982CM9/","","","","","","","","","","1.5","2.44","","","","","","",""
"FSM","0000014","20250326|125722","20250324_2057704_029800_036612","R04_0_USA_M25 Calabasas","Kirchheimer","Strode","|K|0.505378|EK|G||OL1|2.1186|EOL1|OL2|2.1721|EOL2|OH1|198|EOH1|OH2|203|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/kirchheimer-strong-strode-isaiah-vc8IYx8k/","","","","","","","","2.27","1.58","2.27","1.58","","","","","","",""
"FSM","0000015","20250326|125735","20250324_2057704_065731_014884","R04_0_USA_M25 Calabasas","Mckennon","Rodriguez","|K|0.89493|EK|G||OL1|1.1984|EOL1|OL2|9.64376|EOL2|OH1|112|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/mckennon-maxwell-rodriguez-ricardo-Yy5Av8vB/","","","","","","","","1.12","5.6","1.12","5.6","","","","","","",""
"FSM","0000016","20250326|125739","20250324_2057704_068091_095954","R04_0_USA_M25 Calabasas","Murgett","Poertner","|K|0.469057|EK|G||OL1|2.2898|EOL1|OL2|2.0223|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/murgett-finn-poertner-lasse-6PDgrjun/","","","","","","","","1.55","2.33","1.55","2.33","","","","","","",""
"CSM","0000017","20250326|125800","20250324_2052105_063018_029906","R05_1_MEX_Morelia Challenger","Hernandez","Ficovich","|K|0.117809|EK|G||OL1|9.05034|EOL1|OL2|1.23006|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|9.4239|ENAOL1|NAOL2|1.2027|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/hernandez-juan-alejandro-ficovich-juan-pablo-fgCBzV2d/#ah;2;4.50;2","4.5","1.81","2.02","","","","","","","1.81","2.02","","","","","","",""
"CSM","0000017","20250326|125802","20250324_2052105_063018_029906","R05_1_MEX_Morelia Challenger","Hernandez","Ficovich","|K|0.117809|EK|G||OL1|9.05034|EOL1|OL2|1.23006|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|9.4239|ENAOL1|NAOL2|1.2027|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/hernandez-juan-alejandro-ficovich-juan-pablo-fgCBzV2d/#ah;2;3.50;2","3.5","2.37","1.6","","","","","","","2.37","1.6","","","","","","",""
"CSM","0000017","20250326|125805","20250324_2052105_063018_029906","R05_1_MEX_Morelia Challenger","Hernandez","Ficovich","|K|0.117809|EK|G||OL1|9.05034|EOL1|OL2|1.23006|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|9.4239|ENAOL1|NAOL2|1.2027|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/hernandez-juan-alejandro-ficovich-juan-pablo-fgCBzV2d/#ah;2;1.50;1","1.5","2.18","1.69","","","","","","","2.18","1.69","","","","","","",""
"CSM","0000017","20250326|125803","20250324_2052105_063018_029906","R05_1_MEX_Morelia Challenger","Hernandez","Ficovich","|K|0.117809|EK|G||OL1|9.05034|EOL1|OL2|1.23006|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|9.4239|ENAOL1|NAOL2|1.2027|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/hernandez-juan-alejandro-ficovich-juan-pablo-fgCBzV2d/#ah;2;-1.50;1","-1.5","10.07","1.06","","","","","","","10.07","1.06","","","","","","",""
"CSM","0000017","20250326|125753","20250324_2052105_063018_029906","R05_1_MEX_Morelia Challenger","Hernandez","Ficovich","|K|0.117809|EK|G||OL1|9.05034|EOL1|OL2|1.23006|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|9.4239|ENAOL1|NAOL2|1.2027|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/hernandez-juan-alejandro-ficovich-juan-pablo-fgCBzV2d/","","4.2","1.23","","","","","4.1","1.22","4.2","1.23","","","","","","",""
"CSM","0000018","20250326|125818","20250324_2052105_056274_036617","R05_1_MEX_Morelia Challenger","Zhukayev","Meligeni Alves","|K|0.550216|EK|G||OL1|1.96378|EOL1|OL2|2.37718|EOL2|OH1|2.548|EOH1|OH2|223|EOH2|EG|NA||NAOL1|1.9201|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/zhukayev-beibit-meligeni-rodrigues-alves-felipe-nT83xiYq/#ah;2;-1.50;2","-1.5","1.88","1.94","","","","","","","1.88","1.94","","","","","","",""
"CSM","0000018","20250326|125816","20250324_2052105_056274_036617","R05_1_MEX_Morelia Challenger","Zhukayev","Meligeni Alves","|K|0.550216|EK|G||OL1|1.96378|EOL1|OL2|2.37718|EOL2|OH1|2.548|EOH1|OH2|223|EOH2|EG|NA||NAOL1|1.9201|ENAOL1|NAOL2|2.4753|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/mexico/morelia-challenger-men/zhukayev-beibit-meligeni-rodrigues-alves-felipe-nT83xiYq/#ah;2;-2.50;2","-2.5","2.16","1.71","","","","","","","2.16","1.71","","","","","","",""
