"FSM","0000068","20250327|082307","20250324_2058705_088378_086619","R05_0_TUR_M15 Antalya","Matuszewski","Piraino","|K|0.0532145|EK|G||OL1|19.0444|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-antalya-10-men/matuszewski-gabriel-piraino-gabriele-Yk410bVa/","","","","","","","","","","6.97","1.08","","","","","","",""
"FSM","0000069","20250327|082329","20250324_2057705_079066_030978","R05_0_USA_M25 Calabasas","Martin","Ponwith","|K|0.915632|EK|G||OL1|1.18|EOL1|OL2|12.0142|EOL2|OH1|110|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/martin-andres-ponwith-nathan-YBZHNmq9/#ah;2;-6.00;2","-6.0","1.93","1.79","","","","","","","1.93","1.79","","","","","","",""
"FSM","0000069","20250327|082320","20250324_2057705_079066_030978","R05_0_USA_M25 Calabasas","Martin","Ponwith","|K|0.915632|EK|G||OL1|1.18|EOL1|OL2|12.0142|EOL2|OH1|110|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/martin-andres-ponwith-nathan-YBZHNmq9/","","","","","","","","","","1.11","5.77","","","","","","",""
"FSM","0000070","20250327|082336","20250324_2057705_077192_069550","R05_0_USA_M25 Calabasas","Monday","Hohmann","|K|0.974669|EK|G||OL1|1.18|EOL1|OL2|39.9932|EOL2|OH1|103|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-calabasas-ca-men/monday-johannus-hohmann-ronald-vThwedXg/","","","","","","","","","","1.02","9.5","","","","","","",""
"CSM","0000071","20250327|082346","20250324_2052305_059166_051417","R05_1_ESP_Girona Challenger","De Jong","Misolic","|K|0.66576|EK|G||OL1|1.62929|EOL1|OL2|3.198|EOL2|OH1|1|EOH1|OH2|300|EOH2|EG|NA||NAOL1|1.59305|ENAOL1|NAOL2|3.33|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/spain/girona-challenger-men/de-jong-jesper-misolic-filip-GdWmhLKk/#ah;2;-2.50;2","-2.5","1.64","2.31","","","","","","","1.64","2.31","","","","","","",""
"CSM","0000071","20250327|082348","20250324_2052305_059166_051417","R05_1_ESP_Girona Challenger","De Jong","Misolic","|K|0.66576|EK|G||OL1|1.62929|EOL1|OL2|3.198|EOL2|OH1|1|EOH1|OH2|300|EOH2|EG|NA||NAOL1|1.59305|ENAOL1|NAOL2|3.33|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/spain/girona-challenger-men/de-jong-jesper-misolic-filip-GdWmhLKk/#ah;2;-3.50;2","-3.5","1.86","1.97","","","","","","","1.86","1.97","","","","","","",""
"CSM","0000071","20250327|082351","20250324_2052305_059166_051417","R05_1_ESP_Girona Challenger","De Jong","Misolic","|K|0.66576|EK|G||OL1|1.62929|EOL1|OL2|3.198|EOL2|OH1|1|EOH1|OH2|300|EOH2|EG|NA||NAOL1|1.59305|ENAOL1|NAOL2|3.33|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/spain/girona-challenger-men/de-jong-jesper-misolic-filip-GdWmhLKk/#ah;2;1.50;1","1.5","1.17","5.37","","","","","","","1.17","5.37","","","","","","",""
"CSM","0000071","20250327|082350","20250324_2052305_059166_051417","R05_1_ESP_Girona Challenger","De Jong","Misolic","|K|0.66576|EK|G||OL1|1.62929|EOL1|OL2|3.198|EOL2|OH1|1|EOH1|OH2|300|EOH2|EG|NA||NAOL1|1.59305|ENAOL1|NAOL2|3.33|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/spain/girona-challenger-men/de-jong-jesper-misolic-filip-GdWmhLKk/#ah;2;-1.50;1","-1.5","2.09","1.77","","","","","","","2.09","1.77","","","","","","",""
"CSM","0000071","20250327|082340","20250324_2052305_059166_051417","R05_1_ESP_Girona Challenger","De Jong","Misolic","|K|0.66576|EK|G||OL1|1.62929|EOL1|OL2|3.198|EOL2|OH1|1|EOH1|OH2|300|EOH2|EG|NA||NAOL1|1.59305|ENAOL1|NAOL2|3.33|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/girona-challenger-men/de-jong-jesper-misolic-filip-GdWmhLKk/","","1.42","2.93","","","","","1.4","2.85","1.42","2.95","","","","","","",""
"CSV","0000072","20250327|082401","20250324_1611705_044823_061290","R05_1_BDI_W50 Bujumbura","Falkowska","Gimbrere","|K|0.702573|EK|G||OL1|1.53296|EOL1|OL2|3.45088|EOL2|OH1|2.002|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/burundi/itf-w50-bujumbura-women/falkowska-weronika-gimbrere-jasmijn-KxZwDXKr/#ah;2;-4.50;2","-4.5","1.99","1.76","","","","","","","1.99","1.76","","","","","","",""
"CSV","0000072","20250327|082406","20250324_1611705_044823_061290","R05_1_BDI_W50 Bujumbura","Falkowska","Gimbrere","|K|0.702573|EK|G||OL1|1.53296|EOL1|OL2|3.45088|EOL2|OH1|2.002|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/burundi/itf-w50-bujumbura-women/falkowska-weronika-gimbrere-jasmijn-KxZwDXKr/#ah;2;1.50;1","1.5","1.15","5.1","","","","","","","1.15","5.1","","","","","","",""
