"FDV","0000001","20250424|173348","20250421_1616910_100381_094969","R10_0_CHN_W15 Wuning","Aikawa/Nakashima","Jeong/Okuwaki","|K|0.270346|EK|G||OL1|3.9035|EOL1|OL2|1.41864|EOL2|OH1|1|EOH1|OH2|138|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-w15-wuning-3-women-doubles/aikawa-mayuka-nakashima-miyu-jeong-boyoung-okuwaki-rinon-6Rn0tY7L/","","","","","","","","","","2.6","1.44","","","","","","",""
"DV","0000002","20250424|173352","20250421_1596104_085361_075432","R04_3_ESP_Mutua Madrid Open - Madrid","Haddad Maia/Siegemund","Wang/Zheng","|K|0.667865|EK|G||OL1|1.5645|EOL1|OL2|3.12872|EOL2|OH1|150|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.533|ENAOL1|NAOL2|3.43676|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/wta-madrid-doubles/haddad-maia-beatriz-siegemund-laura-wang-xinyu-2001-zheng-saisai-Cvd8RR3l/","","1.44","2.8","","","","","","","1.44","2.8","","","","","","",""
"DV","0000003","20250424|173355","20250421_1596104_096663_095592","R04_3_ESP_Mutua Madrid Open - Madrid","Melichar-Martinez/Samsonova","Andreeva/Shnaider","|K|0.278013|EK|G||OL1|3.7296|EOL1|OL2|1.44977|EOL2|OH1|1|EOH1|OH2|139|EOH2|EG|NA||NAOL1|4.0968|ENAOL1|NAOL2|1.42058|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/wta-madrid-doubles/melichar-nicole-samsonova-liudmila-andreeva-mirra-shnaider-diana-YmyZCSle/","","3.47","1.31","","","","","","","3.47","1.31","","","","","","",""
"DV","0000004","20250424|173359","20250421_1596104_099112_099874","R04_3_ESP_Mutua Madrid Open - Madrid","Kenin/Kichenok","Niculescu/Piter","|K|0.724585|EK|G||OL1|1.44977|EOL1|OL2|3.77104|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.42058|ENAOL1|NAOL2|4.14232|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/wta-madrid-doubles/kenin-sofia-kichenok-lyudmyla-niculescu-monica-piter-katarzyna-GWhPNq3D/","","1.44","2.79","","","","","","","1.45","2.79","","","","","","",""
"FSM","0000005","20250424|173412","20250421_2063909_076725_066045","R09_0_CHN_M15 Luan","Agafonov","Sornlaksup","|K|0.475755|EK|G||OL1|2.2577|EOL1|OL2|2.0437|EOL2|OH1|211|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/agafonov-egor-sornlaksup-pawit-A79wtkfd/#ah;2;-0.50;2","-0.5","1.77","2.0","","","","","","","1.77","2.0","","","","","","",""
"FSM","0000005","20250424|173410","20250421_2063909_076725_066045","R09_0_CHN_M15 Luan","Agafonov","Sornlaksup","|K|0.475755|EK|G||OL1|2.2577|EOL1|OL2|2.0437|EOL2|OH1|211|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/agafonov-egor-sornlaksup-pawit-A79wtkfd/#ah;2;-2.50;2","-2.5","2.05","1.74","","","","","","","2.05","1.74","","","","","","",""
"FSM","0000005","20250424|173416","20250421_2063909_076725_066045","R09_0_CHN_M15 Luan","Agafonov","Sornlaksup","|K|0.475755|EK|G||OL1|2.2577|EOL1|OL2|2.0437|EOL2|OH1|211|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/agafonov-egor-sornlaksup-pawit-A79wtkfd/#ah;2;1.50;1","1.5","1.32","3.22","","","","","","","1.32","3.22","","","","","","",""
"FSM","0000005","20250424|173414","20250421_2063909_076725_066045","R09_0_CHN_M15 Luan","Agafonov","Sornlaksup","|K|0.475755|EK|G||OL1|2.2577|EOL1|OL2|2.0437|EOL2|OH1|211|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/agafonov-egor-sornlaksup-pawit-A79wtkfd/#ah;2;-1.50;1","-1.5","2.63","1.46","","","","","","","2.63","1.46","","","","","","",""
"FSM","0000005","20250424|173403","20250421_2063909_076725_066045","R09_0_CHN_M15 Luan","Agafonov","Sornlaksup","|K|0.475755|EK|G||OL1|2.2577|EOL1|OL2|2.0437|EOL2|OH1|211|EOH1|OH2|191|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/agafonov-egor-sornlaksup-pawit-A79wtkfd/","","1.73","2.05","","","","","","","1.73","2.24","","","","","","",""
"FSM","0000006","20250424|173427","20250421_2063909_021177_045977","R09_0_CHN_M15 Luan","Peliwo","Shin","|K|0.377843|EK|G||OL1|2.68445|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/peliwo-filip-shin-sanhui-hQHfSPQk/#ah;2;3.50;2","3.5","1.94","1.81","","","","","","","1.94","1.81","","","","","","",""
"FSM","0000006","20250424|173429","20250421_2063909_021177_045977","R09_0_CHN_M15 Luan","Peliwo","Shin","|K|0.377843|EK|G||OL1|2.68445|EOL1|OL2|1.7227|EOL2|OH1|1|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-3-men/peliwo-filip-shin-sanhui-hQHfSPQk/#ah;2;2.50;2","2.5","2.21","1.63","","","","","","","2.21","1.63","","","","","","",""
