"CDV","0000037","20250429|083241","20250428_1613704_094089_096827","R04_1_FRA_Open 35 de Saint-Malo - Saint-Malo","Jeanjean/Ponchet","Anshba/Noha Akugue","|K|0.52492|EK|G||OL1|2.0246|EOL1|OL2|2.16697|EOL2|OH1|2.7695|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/saint-malo-challenger-women-doubles/jeanjean-leolia-ponchet-jessika-anshba-amina-akugue-noha-noma-QHSWmTTb/","","1.86","1.86","","","","","","","1.86","1.95","","","","","","",""
"DM","0000038","20250429|083246","20250421_2033605_116686_118943","R05_3_ESP_Mutua Madrid Open - Madrid","Gille/Zielinski","Machac/Paul","|K|0.403051|EK|G||OL1|2.7141|EOL1|OL2|1.8648|EOL2|OH1|1|EOH1|OH2|2.52|EOH2|EG|NA||NAOL1|2.67675|ENAOL1|NAOL2|1.90512|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/atp-madrid-doubles/gille-sander-zielinski-jan-machac-tomas-paul-tommy-6uUWDKck/","","2.17","1.7","","","","","2.1","1.67","2.17","1.7","","","","","","",""
"DM","0000039","20250429|083250","20250421_2033605_079810_118702","R05_3_ESP_Mutua Madrid Open - Madrid","Granollers/Zeballos","Mpetshi Perricard/Olivetti","|K|0.66|EK|G||OL1|1.6872|EOL1|OL2|3.2155|EOL2|OH1|2.28|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.72368|ENAOL1|NAOL2|3.17125|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/atp-madrid-doubles/granollers-marcel-zeballos-horacio-mpetshi-perricard-giovanni-olivetti-albano-QVgyeWHM/","","1.34","3.29","","","","","1.33","3.25","1.36","3.34","","","","","","",""
"FSM","0000041","20250429|083306","20250428_2064404_064896_088200","R04_0_ESP_M25 Sabadell","Llamas Ruiz","Cesar Porras","|K|0.721602|EK|G||OL1|1.4873|EOL1|OL2|3.6468|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/llamas-ruiz-pablo-cesar-porras-julio-Cj2RP3Z2/#ah;2;-4.50;2","-4.5","1.91","1.83","","","","","","","1.91","1.83","","","","","","",""
"FSM","0000041","20250429|083310","20250428_2064404_064896_088200","R04_0_ESP_M25 Sabadell","Llamas Ruiz","Cesar Porras","|K|0.721602|EK|G||OL1|1.4873|EOL1|OL2|3.6468|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/llamas-ruiz-pablo-cesar-porras-julio-Cj2RP3Z2/#ah;2;1.50;1","1.5","1.12","5.77","","","","","","","1.12","5.77","","","","","","",""
"FSM","0000041","20250429|083308","20250428_2064404_064896_088200","R04_0_ESP_M25 Sabadell","Llamas Ruiz","Cesar Porras","|K|0.721602|EK|G||OL1|1.4873|EOL1|OL2|3.6468|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/llamas-ruiz-pablo-cesar-porras-julio-Cj2RP3Z2/#ah;2;-1.50;1","-1.5","1.87","1.87","","","","","","","1.87","1.87","","","","","","",""
"FSM","0000041","20250429|083257","20250428_2064404_064896_088200","R04_0_ESP_M25 Sabadell","Llamas Ruiz","Cesar Porras","|K|0.721602|EK|G||OL1|1.4873|EOL1|OL2|3.6468|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/llamas-ruiz-pablo-cesar-porras-julio-Cj2RP3Z2/","","1.32","3.22","","","","","1.4","2.75","1.41","3.22","","","","","","",""
"FSM","0000042","20250429|083323","20250428_2064404_071614_092243","R04_0_ESP_M25 Sabadell","Montes-De La Torre","Blanch","|K|0.705106|EK|G||OL1|1.5194|EOL1|OL2|3.4442|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/montes-de-la-torre-inaki-blanch-darwin-2Hh2PZNM/#ah;2;-3.50;2","-3.5","1.53","2.4","","","","","","","1.53","2.4","","","","","","",""
"FSM","0000042","20250429|083322","20250428_2064404_071614_092243","R04_0_ESP_M25 Sabadell","Montes-De La Torre","Blanch","|K|0.705106|EK|G||OL1|1.5194|EOL1|OL2|3.4442|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/montes-de-la-torre-inaki-blanch-darwin-2Hh2PZNM/#ah;2;-4.50;2","-4.5","1.79","1.95","","","","","","","1.79","1.95","","","","","","",""
"FSM","0000042","20250429|083327","20250428_2064404_071614_092243","R04_0_ESP_M25 Sabadell","Montes-De La Torre","Blanch","|K|0.705106|EK|G||OL1|1.5194|EOL1|OL2|3.4442|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/montes-de-la-torre-inaki-blanch-darwin-2Hh2PZNM/#ah;2;1.50;1","1.5","1.1","6.37","","","","","","","1.1","6.37","","","","","","",""
"FSM","0000042","20250429|083325","20250428_2064404_071614_092243","R04_0_ESP_M25 Sabadell","Montes-De La Torre","Blanch","|K|0.705106|EK|G||OL1|1.5194|EOL1|OL2|3.4442|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/montes-de-la-torre-inaki-blanch-darwin-2Hh2PZNM/#ah;2;-1.50;1","-1.5","1.74","2.02","","","","","","","1.74","2.02","","","","","","",""
