"CDV","0000007","20250503|081349","20250428_1613712_100517_100522","R12_1_FRA_Open 35 de Saint-Malo - Saint-Malo","Lumsden/Ninomiya","Kalashnikova/Moratelli","|K|0.509831|EK|G||OL1|2.0882|EOL1|OL2|2.10535|EOL2|OH1|2.8565|EOH1|OH2|2.87|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/saint-malo-challenger-women-doubles/lumsden-maia-ninomiya-makoto-kalashnikova-oksana-moratelli-angelica-hOW2KEMG/","","1.83","1.92","","","","","","","1.88","1.92","","","","","","",""
"DM","0000008","20250503|081353","20250421_2033612_108310_079810","R12_3_ESP_Mutua Madrid Open - Madrid","Arevalo/Pavic","Granollers/Zeballos","|K|0.498534|EK|G||OL1|2.1909|EOL1|OL2|2.18|EOL2|OH1|201|EOH1|OH2|200|EOH2|EG|NA||NAOL1|2.16075|ENAOL1|NAOL2|2.15|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/atp-madrid-doubles/arevalo-marcelo-pavic-mate-granollers-marcel-zeballos-horacio-t43csinK/","","2.04","1.79","","","","","2.0","1.78","2.08","1.79","","","","","","",""
"FSM","0000009","20250503|081403","20250428_2064410_068981_050133","R10_0_ESP_M25 Sabadell","Alcala Gurri","Crawford","|K|0.479833|EK|G||OL1|2.2363|EOL1|OL2|2.0651|EOL2|OH1|209|EOH1|OH2|193|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/alcala-gurri-max-crawford-oliver-vcja3y4F/#ah;2;1.50;2","1.5","1.81","1.96","","","","","","","1.81","1.96","","","","","","",""
"FSM","0000009","20250503|081405","20250428_2064410_068981_050133","R10_0_ESP_M25 Sabadell","Alcala Gurri","Crawford","|K|0.479833|EK|G||OL1|2.2363|EOL1|OL2|2.0651|EOL2|OH1|209|EOH1|OH2|193|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/alcala-gurri-max-crawford-oliver-vcja3y4F/#ah;2;0.50;2","0.5","1.93","1.85","","","","","","","1.93","1.85","","","","","","",""
"FSM","0000009","20250503|081409","20250428_2064410_068981_050133","R10_0_ESP_M25 Sabadell","Alcala Gurri","Crawford","|K|0.479833|EK|G||OL1|2.2363|EOL1|OL2|2.0651|EOL2|OH1|209|EOH1|OH2|193|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/alcala-gurri-max-crawford-oliver-vcja3y4F/#ah;2;1.50;1","1.5","1.41","2.82","","","","","","","1.41","2.82","","","","","","",""
"FSM","0000009","20250503|081407","20250428_2064410_068981_050133","R10_0_ESP_M25 Sabadell","Alcala Gurri","Crawford","|K|0.479833|EK|G||OL1|2.2363|EOL1|OL2|2.0651|EOL2|OH1|209|EOH1|OH2|193|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/alcala-gurri-max-crawford-oliver-vcja3y4F/#ah;2;-1.50;1","-1.5","3.14","1.35","","","","","","","3.14","1.35","","","","","","",""
"FSM","0000009","20250503|081357","20250428_2064410_068981_050133","R10_0_ESP_M25 Sabadell","Alcala Gurri","Crawford","|K|0.479833|EK|G||OL1|2.2363|EOL1|OL2|2.0651|EOL2|OH1|209|EOH1|OH2|193|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/alcala-gurri-max-crawford-oliver-vcja3y4F/","","1.98","1.8","","","","","2.0","1.72","2.03","1.8","","","","","","",""
"FSM","0000010","20250503|081423","20250428_2064410_044990_083223","R10_0_ESP_M25 Sabadell","De Krom","Merida Aguilar","|K|0.261541|EK|G||OL1|3.87979|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/de-krom-michiel-daniel-merida-aguilar-Sxk1fL3m/#ah;2;5.50;2","5.5","1.66","2.19","","","","","","","1.66","2.19","","","","","","",""
"FSM","0000010","20250503|081421","20250428_2064410_044990_083223","R10_0_ESP_M25 Sabadell","De Krom","Merida Aguilar","|K|0.261541|EK|G||OL1|3.87979|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/de-krom-michiel-daniel-merida-aguilar-Sxk1fL3m/#ah;2;4.50;2","4.5","2.02","1.77","","","","","","","2.02","1.77","","","","","","",""
"FSM","0000010","20250503|081427","20250428_2064410_044990_083223","R10_0_ESP_M25 Sabadell","De Krom","Merida Aguilar","|K|0.261541|EK|G||OL1|3.87979|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/de-krom-michiel-daniel-merida-aguilar-Sxk1fL3m/#ah;2;1.50;1","1.5","2.06","1.74","","","","","","","2.06","1.74","","","","","","",""
"FSM","0000010","20250503|081425","20250428_2064410_044990_083223","R10_0_ESP_M25 Sabadell","De Krom","Merida Aguilar","|K|0.261541|EK|G||OL1|3.87979|EOL1|OL2|1.4552|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-sabadell-men/de-krom-michiel-daniel-merida-aguilar-Sxk1fL3m/#ah;2;-1.50;1","-1.5","6.5","1.1","","","","","","","6.5","1.1","","","","","","",""
