"CDM","0000007","20250517|154055","20250512_2065912_119247_093677","R12_1_CRO_Zagreb Challenger","Dodig/Serdarusic","Mikrut/Poljicak","|K|0.428838|EK|G||OL1|2.38914|EOL1|OL2|1.78816|EOL2|OH1|234|EOH1|OH2|176|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/croatia/zagreb-challenger-men-doubles/dodig-matej-serdarusic-nino-mikrut-luka-poljicak-mili-657lGRRa/","","","","","","","","","","1.93","1.83","","","","","","",""
"DV","0000008","20250517|154100","20250505_1596212_065079_073146","R12_3_ITA_Internazionali BNL d'Italia - Rome","Errani/Paolini","Kudermetova/Mertens","|K|0.475103|EK|G||OL1|2.18596|EOL1|OL2|1.99213|EOL2|OH1|3.587|EOH1|OH2|191|EOH2|EG|NA||NAOL1|2.40118|ENAOL1|NAOL2|1.95202|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/wta-rome-doubles/errani-sara-paolini-jasmine-kudermetova-veronika-mertens-elise-tpydBqvQ/","","2.2","1.67","","","","","2.15","1.68","2.21","1.7","","","","","","",""
"FSM","0000009","20250517|154110","20250512_2068812_045197_070035","R12_0_CHN_M15 Luan","Cui","Shin","|K|0.61611|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-4-men/cui-jie-shin-woobin-dpJKa52m/#ah;2;-3.50;2","-3.5","1.86","1.89","","","","","","","1.86","1.89","","","","","","",""
"FSM","0000009","20250517|154112","20250512_2068812_045197_070035","R12_0_CHN_M15 Luan","Cui","Shin","|K|0.61611|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/china/itf-m15-luan-4-men/cui-jie-shin-woobin-dpJKa52m/#ah;2;-4.50;2","-4.5","2.3","1.58","","","","","","","2.3","1.58","","","","","","",""
"FSM","0000009","20250517|154115","20250512_2068812_045197_070035","R12_0_CHN_M15 Luan","Cui","Shin","|K|0.61611|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/china/itf-m15-luan-4-men/cui-jie-shin-woobin-dpJKa52m/#ah;2;1.50;1","1.5","1.18","4.53","","","","","","","1.18","4.53","","","","","","",""
"FSM","0000009","20250517|154113","20250512_2068812_045197_070035","R12_0_CHN_M15 Luan","Cui","Shin","|K|0.61611|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/china/itf-m15-luan-4-men/cui-jie-shin-woobin-dpJKa52m/#ah;2;-1.50;1","-1.5","2.01","1.76","","","","","","","2.01","1.76","","","","","","",""
"FSM","0000009","20250517|154104","20250512_2068812_045197_070035","R12_0_CHN_M15 Luan","Cui","Shin","|K|0.61611|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-m15-luan-4-men/cui-jie-shin-woobin-dpJKa52m/","","1.43","2.73","","","","","","","1.43","2.73","","","","","","",""
"FSM","0000010","20250517|154126","20250512_2067810_038876_046749","R10_0_MEX_M25 Xalapa","Rodriguez Taverna","Aguilar J.","|K|0.610994|EK|G||OL1|1.7548|EOL1|OL2|2.61354|EOL2|OH1|164|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m25-xalapa-men/rodriguez-taverna-santiago-aguilar-juan-carlos-manuel-j9ccRBdL/#ah;2;-2.50;2","-2.5","1.76","2.01","","","","","","","1.76","2.01","","","","","","",""
"FSM","0000010","20250517|154125","20250512_2067810_038876_046749","R10_0_MEX_M25 Xalapa","Rodriguez Taverna","Aguilar J.","|K|0.610994|EK|G||OL1|1.7548|EOL1|OL2|2.61354|EOL2|OH1|164|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/mexico/itf-m25-xalapa-men/rodriguez-taverna-santiago-aguilar-juan-carlos-manuel-j9ccRBdL/#ah;2;-3.50;2","-3.5","2.04","1.74","","","","","","","2.04","1.74","","","","","","",""
"FSM","0000010","20250517|154130","20250512_2067810_038876_046749","R10_0_MEX_M25 Xalapa","Rodriguez Taverna","Aguilar J.","|K|0.610994|EK|G||OL1|1.7548|EOL1|OL2|2.61354|EOL2|OH1|164|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/mexico/itf-m25-xalapa-men/rodriguez-taverna-santiago-aguilar-juan-carlos-manuel-j9ccRBdL/#ah;2;1.50;1","1.5","1.21","4.21","","","","","","","1.21","4.21","","","","","","",""
"FSM","0000010","20250517|154128","20250512_2067810_038876_046749","R10_0_MEX_M25 Xalapa","Rodriguez Taverna","Aguilar J.","|K|0.610994|EK|G||OL1|1.7548|EOL1|OL2|2.61354|EOL2|OH1|164|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/mexico/itf-m25-xalapa-men/rodriguez-taverna-santiago-aguilar-juan-carlos-manuel-j9ccRBdL/#ah;2;-1.50;1","-1.5","2.26","1.61","","","","","","","2.26","1.61","","","","","","",""
