"FDV","0000001","20250518|080007","20250512_1621912_097107_100916","R12_0_ARM_W15 Tsaghkadzor","Yuneva/Yushchenko","Amiraghyan/Nepliy","|K|0.772764|EK|G||OL1|1.3364|EOL1|OL2|4.65255|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/armenia/itf-w15-tsaghkadzor-women-doubles/yuneva-alina-yushchenko-valeriya-amiraghyan-ani-nepliy-elina-8nRqEKYH/","","","","","","","","","","2.95","1.36","","","","","","",""
"DV","0000002","20250518|080012","20250519_1596304_088669_075432","R04_2_FRA_Internationaux de Strasbourg - Strasbourg","Dabrowski/Routliffe","Wang/Zheng","|K|0.601113|EK|G||OL1|1.74181|EOL1|OL2|2.60036|EOL2|OH1|167|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.70674|ENAOL1|NAOL2|2.85638|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-strasbourg-doubles/dabrowski-gabriela-routliffe-erin-wang-xinyu-2001-zheng-saisai-084wKDMc/","","1.44","2.83","","","","","","","1.44","2.83","","","","","","",""
"DM","0000003","20250518|080016","20250505_2033712_108310_042754","R12_3_ITA_Internazionali BNL d'Italia - Rome","Arevalo/Pavic","Doumbia/Reboul","|K|0.689353|EK|G||OL1|1.6206|EOL1|OL2|3.5098|EOL2|OH1|2.19|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.65564|ENAOL1|NAOL2|3.4615|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/italy/atp-rome-doubles/arevalo-marcelo-pavic-mate-doumbia-sadio-reboul-fabien-pQuUGy7k/","","1.43","2.86","","","","","1.44","2.75","1.44","3.24","","","","","","",""
"FSM","0000004","20250518|080031","20250512_2068212_083306_096547","R12_0_BIH_M15 Prijedor","Bielinskyi","Loge","|K|0.788919|EK|G||OL1|1.3589|EOL1|OL2|4.80162|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-prijedor-men/bielinskyi-viacheslav-loge-jack-fcWi3Cwq/#ah;2;-5.00;2","-5.0","1.7","2.11","","","","","","","1.7","2.11","","","","","","",""
"FSM","0000004","20250518|080035","20250512_2068212_083306_096547","R12_0_BIH_M15 Prijedor","Bielinskyi","Loge","|K|0.788919|EK|G||OL1|1.3589|EOL1|OL2|4.80162|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-prijedor-men/bielinskyi-viacheslav-loge-jack-fcWi3Cwq/#ah;2;1.50;1","1.5","1.07","8.37","","","","","","","1.07","8.37","","","","","","",""
"FSM","0000004","20250518|080033","20250512_2068212_083306_096547","R12_0_BIH_M15 Prijedor","Bielinskyi","Loge","|K|0.788919|EK|G||OL1|1.3589|EOL1|OL2|4.80162|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-prijedor-men/bielinskyi-viacheslav-loge-jack-fcWi3Cwq/#ah;2;-1.50;1","-1.5","1.52","2.49","","","","","","","1.52","2.49","","","","","","",""
"FSM","0000004","20250518|080020","20250512_2068212_083306_096547","R12_0_BIH_M15 Prijedor","Bielinskyi","Loge","|K|0.788919|EK|G||OL1|1.3589|EOL1|OL2|4.80162|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-prijedor-men/bielinskyi-viacheslav-loge-jack-fcWi3Cwq/","","1.19","4.46","","","","","","","1.19","4.46","","","","","","",""
"FSM","0000005","20250518|080046","20250512_2067612_047259_011981","R12_0_ESP_M25 Vic","Tabur","Giustino","|K|0.62073|EK|G||OL1|1.7334|EOL1|OL2|2.67432|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-vic-men/tabur-clement-giustino-lorenzo-GhMhtOaK/#ah;2;-1.00;2","-1.0","1.74","2.06","","","","","","","1.74","2.06","","","","","","",""
"FSM","0000005","20250518|080048","20250512_2067612_047259_011981","R12_0_ESP_M25 Vic","Tabur","Giustino","|K|0.62073|EK|G||OL1|1.7334|EOL1|OL2|2.67432|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/spain/itf-m25-vic-men/tabur-clement-giustino-lorenzo-GhMhtOaK/#ah;2;-3.00;2","-3.0","2.15","1.68","","","","","","","2.15","1.68","","","","","","",""
"FSM","0000005","20250518|080052","20250512_2067612_047259_011981","R12_0_ESP_M25 Vic","Tabur","Giustino","|K|0.62073|EK|G||OL1|1.7334|EOL1|OL2|2.67432|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-vic-men/tabur-clement-giustino-lorenzo-GhMhtOaK/#ah;2;1.50;1","1.5","1.26","3.69","","","","","","","1.26","3.69","","","","","","",""
"FSM","0000005","20250518|080050","20250512_2067612_047259_011981","R12_0_ESP_M25 Vic","Tabur","Giustino","|K|0.62073|EK|G||OL1|1.7334|EOL1|OL2|2.67432|EOL2|OH1|162|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/spain/itf-m25-vic-men/tabur-clement-giustino-lorenzo-GhMhtOaK/#ah;2;-1.50;1","-1.5","2.67","1.46","","","","","","","2.67","1.46","","","","","","",""
