"FDV","0000013","20250527|144038","20250526_1624504_101295_101296","R04_0_USA_W15 San Diego","Giavara/Sahdiieva","Luescher/Syrtveit","|K|0.909857|EK|G||OL1|1.1308|EOL1|OL2|11.7105|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-san-diego-ca-women-doubles/giavara-haley-sahdiieva-anita-luescher-sophie-syrtveit-carina-rkmcui6N/","","","","","","","","","","1.26","3.72","","","","","","",""
"DV","0000014","20250527|144042","20250526_1596504_089341_092087","R04_4_FRA_French Open - Paris","Iliev/Lene","Lumsden/Santamaria","|K|0.207405|EK|G||OL1|5.00388|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA||NAOL1|5.49654|ENAOL1|NAOL2|1.29794|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open-doubles/iliev-sarah-lene-emma-lumsden-maia-santamaria-sabrina-GAa8tLeU/","","4.37","1.22","","","","","4.0","1.22","4.37","1.22","","","","","","",""
"DM","0000016","20250527|144047","20250526_2034004_063508_090021","R04_4_FRA_French Open - Paris","Krawietz/Puetz","Drzewiecki/Matuszewski","|K|0.819698|EK|G||OL1|1.3542|EOL1|OL2|6.0495|EOL2|OH1|1.83|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.38348|ENAOL1|NAOL2|5.96625|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open-doubles/krawietz-kevin-puetz-tim-drzewiecki-karol-matuszewski-piotr-OAyB7O26/","","1.1","7.19","","","","","1.1","6.5","1.1","7.5","","","","","","",""
"FSM","0000017","20250527|144059","20250526_2070505_090029_090203","R05_0_CHI_M25 Coquimbo","Estevez","Midon","|K|0.102351|EK|G||OL1|9.90714|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|112|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/estevez-juan-midon-lautaro-YLYTYAFt/#ah;2;7.00;2","7.0","1.52","2.4","","","","","","","1.52","2.4","","","","","","",""
"FSM","0000017","20250527|144101","20250526_2070505_090029_090203","R05_0_CHI_M25 Coquimbo","Estevez","Midon","|K|0.102351|EK|G||OL1|9.90714|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|112|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/estevez-juan-midon-lautaro-YLYTYAFt/#ah;2;6.50;2","6.5","1.75","1.98","","","","","","","1.75","1.98","","","","","","",""
"FSM","0000017","20250527|144103","20250526_2070505_090029_090203","R05_0_CHI_M25 Coquimbo","Estevez","Midon","|K|0.102351|EK|G||OL1|9.90714|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|112|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/estevez-juan-midon-lautaro-YLYTYAFt/#ah;2;1.50;1","1.5","2.95","1.36","","","","","","","2.95","1.36","","","","","","",""
"FSM","0000017","20250527|144051","20250526_2070505_090029_090203","R05_0_CHI_M25 Coquimbo","Estevez","Midon","|K|0.102351|EK|G||OL1|9.90714|EOL1|OL2|1.1984|EOL2|OH1|1|EOH1|OH2|112|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/estevez-juan-midon-lautaro-YLYTYAFt/","","6.03","1.1","","","","","","","6.03","1.1","","","","","","",""
"FSM","0000018","20250527|144119","20250526_2070505_065733_095883","R05_0_CHI_M25 Coquimbo","Gimenez","Shah","|K|0.21089|EK|G||OL1|4.81175|EOL1|OL2|1.3589|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/gimenez-igor-shah-aryan-v980xy3k/#ah;2;5.50;2","5.5","1.66","2.12","","","","","","","1.66","2.12","","","","","","",""
"FSM","0000018","20250527|144117","20250526_2070505_065733_095883","R05_0_CHI_M25 Coquimbo","Gimenez","Shah","|K|0.21089|EK|G||OL1|4.81175|EOL1|OL2|1.3589|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/gimenez-igor-shah-aryan-v980xy3k/#ah;2;4.50;2","4.5","2.0","1.75","","","","","","","2.0","1.75","","","","","","",""
"FSM","0000018","20250527|144121","20250526_2070505_065733_095883","R05_0_CHI_M25 Coquimbo","Gimenez","Shah","|K|0.21089|EK|G||OL1|4.81175|EOL1|OL2|1.3589|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/gimenez-igor-shah-aryan-v980xy3k/#ah;2;1.50;1","1.5","2.04","1.71","","","","","","","2.04","1.71","","","","","","",""
"FSM","0000018","20250527|144120","20250526_2070505_065733_095883","R05_0_CHI_M25 Coquimbo","Gimenez","Shah","|K|0.21089|EK|G||OL1|4.81175|EOL1|OL2|1.3589|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/gimenez-igor-shah-aryan-v980xy3k/#ah;2;-1.50;1","-1.5","5.93","1.1","","","","","","","5.93","1.1","","","","","","",""
"FSM","0000018","20250527|144108","20250526_2070505_065733_095883","R05_0_CHI_M25 Coquimbo","Gimenez","Shah","|K|0.21089|EK|G||OL1|4.81175|EOL1|OL2|1.3589|EOL2|OH1|1|EOH1|OH2|127|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m25-coquimbo-2-men/gimenez-igor-shah-aryan-v980xy3k/","","3.44","1.28","","","","","","","3.44","1.28","","","","","","",""
