"FDM","0000007","20250531|082201","20250526_2071412_119802_119809","R12_0_TUN_M15 Monastir","Araujo/Lumsden","Loutit/Rankin","|K|0.713778|EK|G||OL1|1.44807|EOL1|OL2|3.6855|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-m15-monastir-21-men-doubles/araujo-pedro-lumsden-ewen-loutit-jack-rankin-matthew-f1tYrW4s/","","","","","","","","","","1.36","2.92","","","","","","",""
"FDV","0000008","20250531|082205","20250526_1624412_101264_101270","R12_0_GER_W15 Merzig","Fontenel/Lemaitre","Sebestova/Vasilescu","|K|0.521043|EK|G||OL1|1.97376|EOL1|OL2|2.20495|EOL2|OH1|192|EOH1|OH2|209|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/germany/itf-w15-merzig-women-doubles/fontenel-chelsea-lemaitre-tiphanie-sebestova-ivana-vasilescu-arina-garbiela-SpL1mREG/","","","","","","","","","","1.83","1.83","","","","","","",""
"FDV","0000009","20250531|082208","20250526_1624812_101276_101283","R12_0_TUN_W15 Monastir","Chudejova/Leykina","Dudeney/Paukstyte","","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-21-women-doubles/chudejova-mia-leykina-polina-dudeney-alicia-paukstyte-patricija-xQ97SAK0/","","","","","","","","","","2.62","1.44","","","","","","",""
"FDV","0000010","20250531|082212","20250526_1624310_101251_101256","R10_0_TUR_W15 Kayseri","El Jardi/Morvayova","Soke/Turkmen","|K|0.777009|EK|G||OL1|1.32612|EOL1|OL2|4.73695|EOL2|OH1|129|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-w15-kayseri-women-doubles/el-jardi-diae-morvayova-viktoria-soke-duru-turkmen-doga-8xxMeluH/","","","","","","","","","","1.23","3.63","","","","","","",""
"FSM","0000011","20250531|082222","20250526_2071110_073055_085193","R10_0_ARM_M15 Tsaghkadzor","Binda","Lobanov","|K|0.739288|EK|G||OL1|1.4552|EOL1|OL2|3.88992|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-men/binda-alexandr-lobanov-aleksandr-4G94sKjd/#ah;2;-4.50;2","-4.5","1.78","2.0","","","","","","","1.78","2.0","","","","","","",""
"FSM","0000011","20250531|082224","20250526_2071110_073055_085193","R10_0_ARM_M15 Tsaghkadzor","Binda","Lobanov","|K|0.739288|EK|G||OL1|1.4552|EOL1|OL2|3.88992|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-men/binda-alexandr-lobanov-aleksandr-4G94sKjd/#ah;2;-5.50;2","-5.5","2.2","1.65","","","","","","","2.2","1.65","","","","","","",""
"FSM","0000011","20250531|082227","20250526_2071110_073055_085193","R10_0_ARM_M15 Tsaghkadzor","Binda","Lobanov","|K|0.739288|EK|G||OL1|1.4552|EOL1|OL2|3.88992|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-men/binda-alexandr-lobanov-aleksandr-4G94sKjd/#ah;2;1.50;1","1.5","1.13","5.73","","","","","","","1.13","5.73","","","","","","",""
"FSM","0000011","20250531|082226","20250526_2071110_073055_085193","R10_0_ARM_M15 Tsaghkadzor","Binda","Lobanov","|K|0.739288|EK|G||OL1|1.4552|EOL1|OL2|3.88992|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-men/binda-alexandr-lobanov-aleksandr-4G94sKjd/#ah;2;-1.50;1","-1.5","1.79","1.99","","","","","","","1.79","1.99","","","","","","",""
"FSM","0000011","20250531|082215","20250526_2071110_073055_085193","R10_0_ARM_M15 Tsaghkadzor","Binda","Lobanov","|K|0.739288|EK|G||OL1|1.4552|EOL1|OL2|3.88992|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-men/binda-alexandr-lobanov-aleksandr-4G94sKjd/","","1.28","3.54","","","","","","","1.32","3.54","","","","","","",""
"FSM","0000012","20250531|082239","20250526_2071710_089110_103108","R10_0_BIH_M15 Doboj","Dominko","Bieldiugin","|K|0.784914|EK|G||OL1|1.3696|EOL1|OL2|4.71045|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/dominko-sebastian-bieldiugin-tymur-MmIOIfhS/#ah;2;-4.50;2","-4.5","1.91","1.86","","","","","","","1.91","1.86","","","","","","",""
"FSM","0000012","20250531|082245","20250526_2071710_089110_103108","R10_0_BIH_M15 Doboj","Dominko","Bieldiugin","|K|0.784914|EK|G||OL1|1.3696|EOL1|OL2|4.71045|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/dominko-sebastian-bieldiugin-tymur-MmIOIfhS/#ah;2;1.50;1","1.5","1.13","5.77","","","","","","","1.13","5.77","","","","","","",""
