"FDM","0000001","20250601|084929","20250526_2071510_112365_119776","R10_0_TUR_M15 Kayseri","Azkara/Tyler","Mckennon/Murgett","|K|0.525128|EK|G||OL1|2.01123|EOL1|OL2|2.22183|EOL2|OH1|3.056|EOH1|OH2|3.376|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-kayseri-men-doubles/azkara-arda-tyler-joe-mckennon-maxwell-murgett-finn-lfYxs77j/","","","","","","","","","","2.17","1.62","","","","","","",""
"FDM","0000002","20250601|084933","20250526_2071510_101883_119769","R10_0_TUR_M15 Kayseri","Bittoun/Schell","Georgiev/Petrov","|K|0.791357|EK|G||OL1|1.30429|EOL1|OL2|5.0544|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-m15-kayseri-men-doubles/bittoun-kouzmine-constantin-schell-niklas-georgiev-georgi-petrov-alexander-UuCVzZug/","","","","","","","","","","1.27","3.43","","","","","","",""
"DM","0000003","20250601|084938","20250526_2034006_119418_118110","R06_4_FRA_French Open - Paris","Dodig/Luz","Romboli/Smith","|K|0.53566|EK|G||OL1|2.0757|EOL1|OL2|2.3544|EOL2|OH1|2.805|EOH1|OH2|216|EOH2|EG|NA||NAOL1|2.12058|ENAOL1|NAOL2|2.322|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open-doubles/dodig-ivan-luz-orlando-romboli-fernando-smith-john-patrick-ddgblkFG/","","2.07","1.78","","","","","","","2.07","1.81","","","","","","",""
"DM","0000004","20250601|084943","20250526_2034006_118645_079810","R06_4_FRA_French Open - Paris","Gonzalez/Krajicek","Granollers/Zeballos","|K|0.285331|EK|G||OL1|3.8259|EOL1|OL2|1.554|EOL2|OH1|1|EOH1|OH2|2.1|EOH2|EG|NA||NAOL1|3.77325|ENAOL1|NAOL2|1.5876|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open-doubles/gonzalez-santiago-krajicek-austin-granollers-marcel-zeballos-horacio-40NKr8Lt/","","3.31","1.34","","","","","3.15","1.34","3.31","1.34","","","","","","",""
"FSM","0000005","20250601|084954","20250526_2071712_077866_103108","R12_0_BIH_M15 Doboj","Nedic","Bieldiugin","|K|0.813192|EK|G||OL1|1.3161|EOL1|OL2|5.42968|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/nedic-andrej-bieldiugin-tymur-Qm5fbpYI/#ah;2;-6.00;2","-6.0","1.83","1.93","","","","","","","1.83","1.93","","","","","","",""
"FSM","0000005","20250601|084946","20250526_2071712_077866_103108","R12_0_BIH_M15 Doboj","Nedic","Bieldiugin","|K|0.813192|EK|G||OL1|1.3161|EOL1|OL2|5.42968|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bosnia-and-herzegovina/itf-m15-doboj-men/nedic-andrej-bieldiugin-tymur-Qm5fbpYI/","","","","","","","","","","1.16","4.84","","","","","","",""
"FSM","0000006","20250601|085008","20250526_2070612_092649_048442","R12_0_CRO_M25 Bol","Pereira","Molleker","|K|0.362608|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/croatia/itf-m25-bol-2-men/tiago-pereira-molleker-rudolf-tItMwDiS/#ah;2;3.50;2","3.5","1.82","1.95","","","","","","","1.82","1.95","","","","","","",""
"FSM","0000006","20250601|085010","20250526_2070612_092649_048442","R12_0_CRO_M25 Bol","Pereira","Molleker","|K|0.362608|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/croatia/itf-m25-bol-2-men/tiago-pereira-molleker-rudolf-tItMwDiS/#ah;2;2.50;2","2.5","2.1","1.71","","","","","","","2.1","1.71","","","","","","",""
"FSM","0000006","20250601|085013","20250526_2070612_092649_048442","R12_0_CRO_M25 Bol","Pereira","Molleker","|K|0.362608|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/croatia/itf-m25-bol-2-men/tiago-pereira-molleker-rudolf-tItMwDiS/#ah;2;1.50;1","1.5","1.69","2.12","","","","","","","1.69","2.12","","","","","","",""
"FSM","0000006","20250601|085011","20250526_2070612_092649_048442","R12_0_CRO_M25 Bol","Pereira","Molleker","|K|0.362608|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/croatia/itf-m25-bol-2-men/tiago-pereira-molleker-rudolf-tItMwDiS/#ah;2;-1.50;1","-1.5","4.27","1.21","","","","","","","4.27","1.21","","","","","","",""
"FSM","0000006","20250601|085003","20250526_2070612_092649_048442","R12_0_CRO_M25 Bol","Pereira","Molleker","|K|0.362608|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|157|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/croatia/itf-m25-bol-2-men/tiago-pereira-molleker-rudolf-tItMwDiS/","","2.6","1.48","","","","","","","2.6","1.51","","","","","","",""
