"CDV","0000007","20250607|075715","20250602_1625212_095794_098869","R12_1_ITA_Open delle Puglie - Bari","Gleason/Martins","Kozyreva/Shymanovich","|K|0.425755|EK|G||OL1|2.41345|EOL1|OL2|1.855|EOL2|OH1|3.29|EOH1|OH2|2.5375|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/bari-challenger-women-doubles/gleason-quinn-gamarra-martins-ingrid-kozyreva-maria-shymanovich-iryna-n5rSGXzf/","","1.86","1.86","","","","","","","1.86","1.9","","","","","","",""
"DV","0000008","20250607|075719","20250526_1596512_080556_065079","R12_4_FRA_French Open - Paris","Danilina/Krunic","Errani/Paolini","|K|0.233299|EK|G||OL1|4.44444|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|131|EOH2|EG|NA||NAOL1|4.88202|ENAOL1|NAOL2|1.33882|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/wta-french-open-doubles/danilina-anna-krunic-aleksandra-errani-sara-paolini-jasmine-SIrh9nYi/","","5.06","1.17","","","","","5.4","1.14","5.67","1.17","","","","","","",""
"DM","0000009","20250607|075723","20250526_2034012_079810_073049","R12_4_FRA_French Open - Paris","Granollers/Zeballos","Salisbury/Skupski","|K|0.646714|EK|G||OL1|1.7205|EOL1|OL2|3.0956|EOL2|OH1|2.325|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7577|ENAOL1|NAOL2|3.053|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-french-open-doubles/granollers-marcel-zeballos-horacio-salisbury-joe-skupski-neal-lEOWWFjB/","","1.42","2.88","","","","","1.4","2.9","1.42","2.9","","","","","","",""
"FSM","0000010","20250607|075726","20250602_2074810_085193_029889","R10_0_ARM_M15 Tsaghkadzor","Lobanov","Tiurnev","|K|0.139098|EK|G||OL1|7.28347|EOL1|OL2|1.2519|EOL2|OH1|1|EOH1|OH2|117|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/armenia/itf-m15-tsaghkadzor-2-men/lobanov-aleksandr-tiurnev-evgenii-G00cDwD4/","","4.19","1.22","","","","","","","4.35","1.22","","","","","","",""
"FSM","0000011","20250607|075737","20250602_2075412_051965_033161","R12_0_AUT_M15 Klagenfurt","Forti","Prechtel","|K|0.842967|EK|G||OL1|1.2733|EOL1|OL2|6.45281|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/austria/itf-m15-klagenfurt-men/forti-francesco-prechtel-sebastian-4UtBAfKs/#ah;2;-4.50;2","-4.5","1.76","2.02","","","","","","","1.76","2.02","","","","","","",""
"FSM","0000011","20250607|075739","20250602_2075412_051965_033161","R12_0_AUT_M15 Klagenfurt","Forti","Prechtel","|K|0.842967|EK|G||OL1|1.2733|EOL1|OL2|6.45281|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/austria/itf-m15-klagenfurt-men/forti-francesco-prechtel-sebastian-4UtBAfKs/#ah;2;-5.50;2","-5.5","2.27","1.61","","","","","","","2.27","1.61","","","","","","",""
"FSM","0000011","20250607|075743","20250602_2075412_051965_033161","R12_0_AUT_M15 Klagenfurt","Forti","Prechtel","|K|0.842967|EK|G||OL1|1.2733|EOL1|OL2|6.45281|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/austria/itf-m15-klagenfurt-men/forti-francesco-prechtel-sebastian-4UtBAfKs/#ah;2;1.50;1","1.5","1.09","6.83","","","","","","","1.09","6.83","","","","","","",""
"FSM","0000011","20250607|075741","20250602_2075412_051965_033161","R12_0_AUT_M15 Klagenfurt","Forti","Prechtel","|K|0.842967|EK|G||OL1|1.2733|EOL1|OL2|6.45281|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/austria/itf-m15-klagenfurt-men/forti-francesco-prechtel-sebastian-4UtBAfKs/#ah;2;-1.50;1","-1.5","1.64","2.22","","","","","","","1.64","2.22","","","","","","",""
"FSM","0000011","20250607|075730","20250602_2075412_051965_033161","R12_0_AUT_M15 Klagenfurt","Forti","Prechtel","|K|0.842967|EK|G||OL1|1.2733|EOL1|OL2|6.45281|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/austria/itf-m15-klagenfurt-men/forti-francesco-prechtel-sebastian-4UtBAfKs/","","1.25","3.82","","","","","1.24","3.75","1.25","3.82","","","","","","",""
"FSM","0000012","20250607|075755","20250602_2074310_099316_030893","R10_0_DOM_M25 Santo Domingo","Arseneault","Mbithi","|K|0.619539|EK|G||OL1|1.7334|EOL1|OL2|2.66419|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-3-men/arseneault-nicolas-mbithi-mwendwa-KUdb8upL/#ah;2;-2.50;2","-2.5","1.92","1.84","","","","","","","1.92","1.84","","","","","","",""
"FSM","0000012","20250607|075757","20250602_2074310_099316_030893","R10_0_DOM_M25 Santo Domingo","Arseneault","Mbithi","|K|0.619539|EK|G||OL1|1.7334|EOL1|OL2|2.66419|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/dominican-republic/itf-m25-santo-domingo-3-men/arseneault-nicolas-mbithi-mwendwa-KUdb8upL/#ah;2;-3.50;2","-3.5","2.21","1.63","","","","","","","2.21","1.63","","","","","","",""
