"CDV","0000013","20250611|125254","20250609_1625604_100564_085787","R04_1_ITA_Grado Open - Grado","Mcadoo/Perez Garcia","Pedone/Urgesi","|K|0.585541|EK|G||OL1|1.8126|EOL1|OL2|2.48534|EOL2|OH1|2.4795|EOH1|OH2|3.388|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/grado-challenger-women-doubles/mcadoo-rasheeda-perez-garcia-maria-paulina-georgia-pedone-urgesi-federica-hU98YPxQ/","","1.46","2.56","","","","","","","1.5","2.6","","","","","","",""
"DM","0000014","20250611|125258","20250609_2034309_118645_106718","R09_2_GER_Boss Open - Stuttgart","Gonzalez/Krajicek","Matos/Melo","|K|0.446647|EK|G||OL1|2.4416|EOL1|OL2|2.0091|EOL2|OH1|224|EOH1|OH2|2.715|EOH2|EG|NA||NAOL1|2.408|ENAOL1|NAOL2|2.05254|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/atp-stuttgart-doubles/gonzalez-santiago-krajicek-austin-matos-rafael-melo-marcelo-6NOxWF9b/","","","","","","","","1.92","1.8","1.92","1.8","","","","","","",""
"DM","0000015","20250611|125301","20250609_2034309_063508_120060","R09_2_GER_Boss Open - Stuttgart","Krawietz/Puetz","Michelsen/Ram","|K|0.687932|EK|G||OL1|1.6206|EOL1|OL2|3.4989|EOL2|OH1|2.19|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.65564|ENAOL1|NAOL2|3.45075|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/atp-stuttgart-doubles/krawietz-kevin-puetz-tim-michelsen-alex-ram-rajeev-CvUQlFcm/","","","","","","","","1.36","3.0","1.43","3.0","","","","","","",""
"FSM","0000016","20250611|125312","20250609_2076905_084710_046167","R05_0_ITA_M15 Messina","Tabacco","Mazza","|K|0.300589|EK|G||OL1|3.37329|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/italy/itf-m15-messina-men/tabacco-giorgio-mazza-manuel-j7OaXNDF/#ah;2;4.50;2","4.5","1.59","2.27","","","","","","","1.59","2.27","","","","","","",""
"FSM","0000016","20250611|125314","20250609_2076905_084710_046167","R05_0_ITA_M15 Messina","Tabacco","Mazza","|K|0.300589|EK|G||OL1|3.37329|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/italy/itf-m15-messina-men/tabacco-giorgio-mazza-manuel-j7OaXNDF/#ah;2;3.50;2","3.5","1.85","1.88","","","","","","","1.85","1.88","","","","","","",""
"FSM","0000016","20250611|125317","20250609_2076905_084710_046167","R05_0_ITA_M15 Messina","Tabacco","Mazza","|K|0.300589|EK|G||OL1|3.37329|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/italy/itf-m15-messina-men/tabacco-giorgio-mazza-manuel-j7OaXNDF/#ah;2;1.50;1","1.5","1.69","2.1","","","","","","","1.69","2.1","","","","","","",""
"FSM","0000016","20250611|125316","20250609_2076905_084710_046167","R05_0_ITA_M15 Messina","Tabacco","Mazza","|K|0.300589|EK|G||OL1|3.37329|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/italy/itf-m15-messina-men/tabacco-giorgio-mazza-manuel-j7OaXNDF/#ah;2;-1.50;1","-1.5","4.25","1.2","","","","","","","4.25","1.2","","","","","","",""
"FSM","0000016","20250611|125305","20250609_2076905_084710_046167","R05_0_ITA_M15 Messina","Tabacco","Mazza","|K|0.300589|EK|G||OL1|3.37329|EOL1|OL2|1.5301|EOL2|OH1|1|EOH1|OH2|143|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m15-messina-men/tabacco-giorgio-mazza-manuel-j7OaXNDF/","","2.56","1.47","","","","","2.7","1.42","2.7","1.47","","","","","","",""
"FSM","0000017","20250611|125328","20250609_2076804_038634_024222","R04_0_USA_M15 San Diego","Bass","Brymer","|K|0.719881|EK|G||OL1|1.4873|EOL1|OL2|3.61641|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-3-men/bass-finn-brymer-gage-b38YBP4L/#ah;2;-3.00;2","-3.0","1.65","2.17","","","","","","","1.65","2.17","","","","","","",""
"FSM","0000017","20250611|125327","20250609_2076804_038634_024222","R04_0_USA_M15 San Diego","Bass","Brymer","|K|0.719881|EK|G||OL1|1.4873|EOL1|OL2|3.61641|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-3-men/bass-finn-brymer-gage-b38YBP4L/#ah;2;-3.50;2","-3.5","1.75","2.01","","","","","","","1.75","2.01","","","","","","",""
"FSM","0000017","20250611|125331","20250609_2076804_038634_024222","R04_0_USA_M15 San Diego","Bass","Brymer","|K|0.719881|EK|G||OL1|1.4873|EOL1|OL2|3.61641|EOL2|OH1|139|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-3-men/bass-finn-brymer-gage-b38YBP4L/#ah;2;1.50;1","1.5","1.18","4.57","","","","","","","1.18","4.57","","","","","","",""
