"CDM","0000008","20250621|154325","20250616_2073212_119414_119046","R12_1_POL_Poznan Challenger","Martos Gornes/Prashanth","Jecan/Pavel","|K|0.598287|EK|G||OL1|1.70688|EOL1|OL2|2.54229|EOL2|OH1|168|EOH1|OH2|249|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/poland/poznan-challenger-men-doubles/martos-gornes-sergio-prashanth-vijay-sundar-jecan-mircea-alexandru-pavel-bogdan-4KVpAAC5/","","","","","","","","","","1.62","2.15","","","","","","",""
"DV","0000009","20250621|154329","20250616_1596910_091464_094430","R10_2_GER_Berlin Ladies Open - Berlin","Muhammad/Schuurs","Mihalikova/Nicholls","|K|0.561223|EK|G||OL1|1.86697|EOL1|OL2|2.36208|EOL2|OH1|179|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.82938|ENAOL1|NAOL2|2.59464|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/wta-berlin-doubles/muhammad-asia-schuurs-demi-mihalikova-tereza-nicholls-olivia-S6MRJgM7/","","1.48","2.68","","","","","1.5","2.5","1.5","2.68","","","","","","",""
"FSM","0000010","20250621|154340","20250616_2077510_046167_079692","R10_0_ITA_M25 Cattolica","Mazza","Pecci","|K|0.562524|EK|G||OL1|1.9046|EOL1|OL2|2.31977|EOL2|OH1|178|EOH1|OH2|229|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-pecci-alessandro-SMQyI49j/#ah;2;-0.50;2","-0.5","1.76","2.02","","","","","","","1.76","2.02","","","","","","",""
"FSM","0000010","20250621|154342","20250616_2077510_046167_079692","R10_0_ITA_M25 Cattolica","Mazza","Pecci","|K|0.562524|EK|G||OL1|1.9046|EOL1|OL2|2.31977|EOL2|OH1|178|EOH1|OH2|229|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-pecci-alessandro-SMQyI49j/#ah;2;-1.50;2","-1.5","1.88","1.89","","","","","","","1.88","1.89","","","","","","",""
"FSM","0000010","20250621|154346","20250616_2077510_046167_079692","R10_0_ITA_M25 Cattolica","Mazza","Pecci","|K|0.562524|EK|G||OL1|1.9046|EOL1|OL2|2.31977|EOL2|OH1|178|EOH1|OH2|229|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-pecci-alessandro-SMQyI49j/#ah;2;1.50;1","1.5","1.32","3.29","","","","","","","1.32","3.29","","","","","","",""
"FSM","0000010","20250621|154344","20250616_2077510_046167_079692","R10_0_ITA_M25 Cattolica","Mazza","Pecci","|K|0.562524|EK|G||OL1|1.9046|EOL1|OL2|2.31977|EOL2|OH1|178|EOH1|OH2|229|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-pecci-alessandro-SMQyI49j/#ah;2;-1.50;1","-1.5","2.56","1.49","","","","","","","2.56","1.49","","","","","","",""
"FSM","0000010","20250621|154333","20250616_2077510_046167_079692","R10_0_ITA_M25 Cattolica","Mazza","Pecci","|K|0.562524|EK|G||OL1|1.9046|EOL1|OL2|2.31977|EOL2|OH1|178|EOH1|OH2|229|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-pecci-alessandro-SMQyI49j/","","1.72","2.08","","","","","1.68","2.05","1.72","2.08","","","","","","",""
"FSM","0000011","20250621|154400","20250616_2078410_078644_099918","R10_0_USA_M15 Rancho Santa Fe","Anthrop","Quan","|K|0.441847|EK|G||OL1|2.29951|EOL1|OL2|1.926|EOL2|OH1|227|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-rancho-santa-fe-ca-men/anthrop-jack-quan-rudy-pbVWZXcl/#ah;2;1.50;1","1.5","1.37","3.02","","","","","","","1.37","3.02","","","","","","",""
"FSM","0000011","20250621|154359","20250616_2078410_078644_099918","R10_0_USA_M15 Rancho Santa Fe","Anthrop","Quan","|K|0.441847|EK|G||OL1|2.29951|EOL1|OL2|1.926|EOL2|OH1|227|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-rancho-santa-fe-ca-men/anthrop-jack-quan-rudy-pbVWZXcl/#ah;2;-1.50;1","-1.5","2.75","1.43","","","","","","","2.75","1.43","","","","","","",""
"FSM","0000011","20250621|154350","20250616_2078410_078644_099918","R10_0_USA_M15 Rancho Santa Fe","Anthrop","Quan","|K|0.441847|EK|G||OL1|2.29951|EOL1|OL2|1.926|EOL2|OH1|227|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-rancho-santa-fe-ca-men/anthrop-jack-quan-rudy-pbVWZXcl/","","1.81","1.96","","","","","1.78","1.94","1.81","1.96","","","","","","",""
"FSM","0000012","20250621|154412","20250616_2077610_029937_060951","R10_0_USA_M25 Tulsa","Rybakov","Maloney","|K|0.517368|EK|G||OL1|2.0758|EOL1|OL2|2.2256|EOL2|OH1|194|EOH1|OH2|208|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-tulsa-ok-men/rybakov-alex-maloney-patrick-IVJW0QDO/#ah;2;-0.50;2","-0.5","1.82","1.95","","","","","","","1.82","1.95","","","","","","",""
