"DV","0000001","20250622|123133","20250616_1596912_065079_094430","R12_2_GER_Berlin Ladies Open - Berlin","Errani/Paolini","Mihalikova/Nicholls","|K|0.729989|EK|G||OL1|1.43|EOL1|OL2|3.84356|EOL2|OH1|137|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40014|ENAOL1|NAOL2|4.22198|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/wta-berlin-doubles/errani-sara-paolini-jasmine-mihalikova-tereza-nicholls-olivia-0bVLv5aM/","","1.4","3.01","","","","","1.4","2.85","1.4","3.01","","","","","","",""
"FSM","0000002","20250622|123137","20250616_2077512_046167_091428","R12_0_ITA_M25 Cattolica","Mazza","Caniato","|K|0.443068|EK|G||OL1|2.28938|EOL1|OL2|1.926|EOL2|OH1|226|EOH1|OH2|180|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/itf-m25-cattolica-men/mazza-manuel-caniato-carlo-alberto-K6plD2aB/","","","","","","","","1.74","2.0","1.9","2.0","","","","","","",""
"CSM","0000003","20250622|123201","20250623_2073601_070491_068405","R01_1_PER_Lima 1 Challenger","De La Fuente","Barreto Sanchez","|K|0.409397|EK|G||OL1|2.6117|EOL1|OL2|1.8343|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.7195|ENAOL1|NAOL2|1.7935|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/de-la-fuente-santiago-barreto-sanchez-diego-augusto-8OYeB1oL/#ah;2;3.50;2","3.5","1.72","2.08","","","","","","","1.72","2.08","","","","","","",""
"CSM","0000003","20250622|123159","20250623_2073601_070491_068405","R01_1_PER_Lima 1 Challenger","De La Fuente","Barreto Sanchez","|K|0.409397|EK|G||OL1|2.6117|EOL1|OL2|1.8343|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.7195|ENAOL1|NAOL2|1.7935|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/de-la-fuente-santiago-barreto-sanchez-diego-augusto-8OYeB1oL/#ah;2;2.50;2","2.5","1.9","1.87","","","","","","","1.9","1.87","","","","","","",""
"CSM","0000003","20250622|123204","20250623_2073601_070491_068405","R01_1_PER_Lima 1 Challenger","De La Fuente","Barreto Sanchez","|K|0.409397|EK|G||OL1|2.6117|EOL1|OL2|1.8343|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.7195|ENAOL1|NAOL2|1.7935|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/de-la-fuente-santiago-barreto-sanchez-diego-augusto-8OYeB1oL/#ah;2;1.50;1","1.5","1.54","2.43","","","","","","","1.54","2.43","","","","","","",""
"CSM","0000003","20250622|123203","20250623_2073601_070491_068405","R01_1_PER_Lima 1 Challenger","De La Fuente","Barreto Sanchez","|K|0.409397|EK|G||OL1|2.6117|EOL1|OL2|1.8343|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.7195|ENAOL1|NAOL2|1.7935|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/de-la-fuente-santiago-barreto-sanchez-diego-augusto-8OYeB1oL/#ah;2;-1.50;1","-1.5","3.44","1.3","","","","","","","3.44","1.3","","","","","","",""
"CSM","0000003","20250622|123153","20250623_2073601_070491_068405","R01_1_PER_Lima 1 Challenger","De La Fuente","Barreto Sanchez","|K|0.409397|EK|G||OL1|2.6117|EOL1|OL2|1.8343|EOL2|OH1|245|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.7195|ENAOL1|NAOL2|1.7935|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/peru/lima-challenger-men/de-la-fuente-santiago-barreto-sanchez-diego-augusto-8OYeB1oL/","","2.22","1.64","","","","","2.2","1.61","2.22","1.64","","","","","","",""
"CSM","0000004","20250622|123217","20250623_2073601_055868_098292","R01_1_PER_Lima 1 Challenger","Rodriguez","Tobon","|K|0.855624|EK|G||OL1|1.26243|EOL1|OL2|7.38738|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.23435|ENAOL1|NAOL2|7.6923|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/rodriguez-lorenzo-joaquin-tobon-miguel-jr-jBSIGdN0/#ah;2;-4.50;2","-4.5","1.72","2.08","","","","","","","1.72","2.08","","","","","","",""
"CSM","0000004","20250622|123219","20250623_2073601_055868_098292","R01_1_PER_Lima 1 Challenger","Rodriguez","Tobon","|K|0.855624|EK|G||OL1|1.26243|EOL1|OL2|7.38738|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.23435|ENAOL1|NAOL2|7.6923|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/rodriguez-lorenzo-joaquin-tobon-miguel-jr-jBSIGdN0/#ah;2;-5.50;2","-5.5","2.15","1.68","","","","","","","2.15","1.68","","","","","","",""
"CSM","0000004","20250622|123222","20250623_2073601_055868_098292","R01_1_PER_Lima 1 Challenger","Rodriguez","Tobon","|K|0.855624|EK|G||OL1|1.26243|EOL1|OL2|7.38738|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.23435|ENAOL1|NAOL2|7.6923|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/rodriguez-lorenzo-joaquin-tobon-miguel-jr-jBSIGdN0/#ah;2;1.50;1","1.5","1.08","7.79","","","","","","","1.08","7.79","","","","","","",""
"CSM","0000004","20250622|123220","20250623_2073601_055868_098292","R01_1_PER_Lima 1 Challenger","Rodriguez","Tobon","|K|0.855624|EK|G||OL1|1.26243|EOL1|OL2|7.38738|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.23435|ENAOL1|NAOL2|7.6923|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/rodriguez-lorenzo-joaquin-tobon-miguel-jr-jBSIGdN0/#ah;2;-1.50;1","-1.5","1.58","2.34","","","","","","","1.58","2.34","","","","","","",""
"CSM","0000004","20250622|123208","20250623_2073601_055868_098292","R01_1_PER_Lima 1 Challenger","Rodriguez","Tobon","|K|0.855624|EK|G||OL1|1.26243|EOL1|OL2|7.38738|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.23435|ENAOL1|NAOL2|7.6923|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/peru/lima-challenger-men/rodriguez-lorenzo-joaquin-tobon-miguel-jr-jBSIGdN0/","","1.22","4.18","","","","","1.2","4.15","1.22","4.25","","","","","","",""
"CSM","0000005","20250622|123234","20250623_2073601_080960_065733","R01_1_PER_Lima 1 Challenger","Vilicich","Gimenez","|K|0.575291|EK|G||OL1|1.87746|EOL1|OL2|2.51576|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6196|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/vilicich-bautista-gimenez-igor-d8VQEzhD/#ah;2;-2.00;2","-2.0","1.77","2.02","","","","","","","1.77","2.02","","","","","","",""
"CSM","0000005","20250622|123232","20250623_2073601_080960_065733","R01_1_PER_Lima 1 Challenger","Vilicich","Gimenez","|K|0.575291|EK|G||OL1|1.87746|EOL1|OL2|2.51576|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6196|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/vilicich-bautista-gimenez-igor-d8VQEzhD/#ah;2;-2.50;2","-2.5","1.83","1.94","","","","","","","1.83","1.94","","","","","","",""
"CSM","0000005","20250622|123237","20250623_2073601_080960_065733","R01_1_PER_Lima 1 Challenger","Vilicich","Gimenez","|K|0.575291|EK|G||OL1|1.87746|EOL1|OL2|2.51576|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6196|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/vilicich-bautista-gimenez-igor-d8VQEzhD/#ah;2;1.50;1","1.5","1.28","3.59","","","","","","","1.28","3.59","","","","","","",""
"CSM","0000005","20250622|123236","20250623_2073601_080960_065733","R01_1_PER_Lima 1 Challenger","Vilicich","Gimenez","|K|0.575291|EK|G||OL1|1.87746|EOL1|OL2|2.51576|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6196|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/vilicich-bautista-gimenez-igor-d8VQEzhD/#ah;2;-1.50;1","-1.5","2.37","1.56","","","","","","","2.37","1.56","","","","","","",""
