"FSM","0000013","20250624|143306","20250623_2080004_018414_036612","R04_0_USA_M15 Lakewood","Sell","Strode","|K|0.907267|EK|G||OL1|1.1877|EOL1|OL2|10.9303|EOL2|OH1|111|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/sell-karue-strode-isaiah-WGSqlLDM/","","","","","","","","","","1.1","6.08","","","","","","",""
"FSM","0000014","20250624|143319","20250623_2080004_071628_094765","R04_0_USA_M15 Lakewood","Vandecasteele","Vithoontien","|K|0.72811|EK|G||OL1|1.4766|EOL1|OL2|3.72784|EOL2|OH1|138|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/vandecasteele-quinn-vithoontien-leo-Onoirjs1/","","","","","","","","","","1.38","2.84","","","","","","",""
"FSM","0000015","20250624|143336","20250623_2080004_078644_047324","R04_0_USA_M15 Lakewood","Anthrop","Nanda","|K|0.538329|EK|G||OL1|1.9902|EOL1|OL2|2.3219|EOL2|OH1|186|EOH1|OH2|217|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/anthrop-jack-nanda-govind-xjBQdkdf/","","","","","","","","","","","","","","","","","",""
"FSM","0000016","20250624|143351","20250623_2080004_081612_064915","R04_0_USA_M15 Lakewood","Kang","Fenty","|K|0.568897|EK|G||OL1|1.8832|EOL1|OL2|2.35016|EOL2|OH1|176|EOH1|OH2|232|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/kang-kyle-fenty-andrew-6V2sg7eJ/","","","","","","","","","","1.83","1.83","","","","","","",""
"SM","0000017","20250624|143413","20250623_2034704_029180_027851","R04_2_GBR_Rothesay International - Eastbourne","Harris","Norrie","|K|0.263767|EK|G||OL1|4.028|EOL1|OL2|1.5776|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.1686|ENAOL1|NAOL2|1.5096|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-norrie-cameron-8lv7aLJq/#ah;2;4.50;2","4.5","1.5","2.73","","","","","","","1.5","2.73","","","","","","",""
"SM","0000017","20250624|143415","20250623_2034704_029180_027851","R04_2_GBR_Rothesay International - Eastbourne","Harris","Norrie","|K|0.263767|EK|G||OL1|4.028|EOL1|OL2|1.5776|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.1686|ENAOL1|NAOL2|1.5096|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-norrie-cameron-8lv7aLJq/#ah;2;3.50;2","3.5","1.85","2.03","","","","","1.84","1.94","1.85","2.03","","","","","","",""
"SM","0000017","20250624|143419","20250623_2034704_029180_027851","R04_2_GBR_Rothesay International - Eastbourne","Harris","Norrie","|K|0.263767|EK|G||OL1|4.028|EOL1|OL2|1.5776|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.1686|ENAOL1|NAOL2|1.5096|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-norrie-cameron-8lv7aLJq/#ah;2;1.50;1","1.5","1.79","2.1","","","","","1.74","2.07","1.79","2.1","","","","","","",""
"SM","0000017","20250624|143417","20250623_2034704_029180_027851","R04_2_GBR_Rothesay International - Eastbourne","Harris","Norrie","|K|0.263767|EK|G||OL1|4.028|EOL1|OL2|1.5776|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.1686|ENAOL1|NAOL2|1.5096|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-norrie-cameron-8lv7aLJq/#ah;2;-1.50;1","-1.5","6.46","1.14","","","","","6.25","1.13","6.46","1.14","","","","","","",""
"SM","0000017","20250624|143406","20250623_2034704_029180_027851","R04_2_GBR_Rothesay International - Eastbourne","Harris","Norrie","|K|0.263767|EK|G||OL1|4.028|EOL1|OL2|1.5776|EOL2|OH1|1|EOH1|OH2|136|EOH2|EG|NA||NAOL1|4.1686|ENAOL1|NAOL2|1.5096|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/harris-billy-norrie-cameron-8lv7aLJq/","","3.22","1.39","","","","","3.2","1.35","3.2","1.38","","","","","","",""
"CSM","0000018","20250624|143431","20250623_2073604_084557_077659","R04_1_PER_Lima 1 Challenger","Kuzuhara","Torres","|K|0.285572|EK|G||OL1|3.74166|EOL1|OL2|1.5106|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.8961|ENAOL1|NAOL2|1.477|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/kuzuhara-bruno-torres-juan-bautista-dxLMJI2E/#ah;2;4.50;2","4.5","1.92","1.9","","","","","","","1.92","1.9","","","","","","",""
"CSM","0000018","20250624|143432","20250623_2073604_084557_077659","R04_1_PER_Lima 1 Challenger","Kuzuhara","Torres","|K|0.285572|EK|G||OL1|3.74166|EOL1|OL2|1.5106|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.8961|ENAOL1|NAOL2|1.477|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/kuzuhara-bruno-torres-juan-bautista-dxLMJI2E/#ah;2;3.50;2","3.5","2.35","1.61","","","","","","","2.35","1.61","","","","","","",""
