"FDV","0000007","20250626|125144","20250623_1631309_099296_102004","R09_0_USA_W15 Lakewood","Cayetano/Giavara","Nguyen/Wang","|K|0.955278|EK|G||OL1|1.1|EOL1|OL2|23.6003|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-women-doubles/cayetano-eryn-giavara-haley-nguyen-kenzie-wang-tianmei-G0IzJ5yq/","","","","","","","","","","1.14","5.5","","","","","","",""
"CDM","0000008","20250626|125147","20250623_2073509_120504_120506","R09_1_ITA_Milan Challenger","Cukierman/Soto","Escobar/Zormann Da Silva","|K|0.46152|EK|G||OL1|2.21557|EOL1|OL2|1.89906|EOL2|OH1|217|EOH1|OH2|186|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/milan-challenger-men-doubles/cukierman-daniel-soto-matias-escobar-gonzalo-zormann-da-silva-marcelo-EDP6uWin/","","","","","","","","","","2.35","1.53","","","","","","",""
"CDM","0000009","20250626|125151","20250623_2073509_120316_117008","R09_1_ITA_Milan Challenger","Romios/Seggerman","Liutarevich/Veldheer","|K|0.652862|EK|G||OL1|1.56464|EOL1|OL2|2.95069|EOL2|OH1|154|EOH1|OH2|289|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/milan-challenger-men-doubles/romios-matthew-christopher-seggerman-ryan-liutarevich-ivan-veldheer-mick-z1VCnV3E/","","","","","","","","","","1.35","2.92","","","","","","",""
"DV","0000010","20250626|125154","20250623_1597110_072046_098617","R10_2_GER_Bad Homburg Open - Bad Homburg","Xu/Yang","Guo/Panova","|K|0.537205|EK|G||OL1|1.95041|EOL1|OL2|2.24812|EOL2|OH1|187|EOH1|OH2|3.689|EOH2|EG|NA||NAOL1|1.91114|ENAOL1|NAOL2|2.46946|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/wta-bad-homburg-doubles/xu-yi-fan-yang-zhaoxuan-guo-hanyu-panova-alexandra-QP4CxApn/","","2.09","1.74","","","","","1.86","1.86","2.01","1.86","","","","","","",""
"FSM","0000011","20250626|125209","20250623_2080005_081612_071628","R05_0_USA_M15 Lakewood","Kang","Vandecasteele","|K|0.528837|EK|G||OL1|2.033|EOL1|OL2|2.2791|EOL2|OH1|190|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/kang-kyle-vandecasteele-quinn-lt5KVZ15/#ah;2;1.50;1","1.5","1.3","3.28","","","","","","","1.3","3.28","","","","","","",""
"FSM","0000011","20250626|125207","20250623_2080005_081612_071628","R05_0_USA_M15 Lakewood","Kang","Vandecasteele","|K|0.528837|EK|G||OL1|2.033|EOL1|OL2|2.2791|EOL2|OH1|190|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/kang-kyle-vandecasteele-quinn-lt5KVZ15/#ah;2;-1.50;1","-1.5","2.74","1.42","","","","","","","2.74","1.42","","","","","","",""
"FSM","0000011","20250626|125158","20250623_2080005_081612_071628","R05_0_USA_M15 Lakewood","Kang","Vandecasteele","|K|0.528837|EK|G||OL1|2.033|EOL1|OL2|2.2791|EOL2|OH1|190|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/kang-kyle-vandecasteele-quinn-lt5KVZ15/","","1.74","2.02","","","","","","","1.67","1.94","","","","","","",""
"FSM","0000012","20250626|125221","20250623_2080005_013758_047324","R05_0_USA_M15 Lakewood","Rajski","Nanda","|K|0.18412|EK|G||OL1|5.51072|EOL1|OL2|1.3161|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/rajski-maciej-nanda-govind-xITY1br1/#ah;2;5.50;2","5.5","1.63","2.18","","","","","","","1.63","2.18","","","","","","",""
"FSM","0000012","20250626|125220","20250623_2080005_013758_047324","R05_0_USA_M15 Lakewood","Rajski","Nanda","|K|0.18412|EK|G||OL1|5.51072|EOL1|OL2|1.3161|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/rajski-maciej-nanda-govind-xITY1br1/#ah;2;4.50;2","4.5","1.99","1.75","","","","","","","1.99","1.75","","","","","","",""
"FSM","0000012","20250626|125224","20250623_2080005_013758_047324","R05_0_USA_M15 Lakewood","Rajski","Nanda","|K|0.18412|EK|G||OL1|5.51072|EOL1|OL2|1.3161|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/rajski-maciej-nanda-govind-xITY1br1/#ah;2;1.50;1","1.5","2.07","1.69","","","","","","","2.07","1.69","","","","","","",""
"FSM","0000012","20250626|125223","20250623_2080005_013758_047324","R05_0_USA_M15 Lakewood","Rajski","Nanda","|K|0.18412|EK|G||OL1|5.51072|EOL1|OL2|1.3161|EOL2|OH1|1|EOH1|OH2|123|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-lakewood-ca-men/rajski-maciej-nanda-govind-xITY1br1/#ah;2;-1.50;1","-1.5","5.64","1.11","","","","","","","5.64","1.11","","","","","","",""
