"FSM","0000007","20250626|171737","20250623_2080209_084556_026960","R09_0_CHN_M15 Maanshan","Isomura","Sinclair","|K|0.472279|EK|G||OL1|2.2684|EOL1|OL2|2.033|EOL2|OH1|212|EOH1|OH2|190|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-m15-maanshan-3-men/isomura-kokoro-sinclair-colin-KvxTCGiB/","","","","","","","","","","2.22","1.6","","","","","","",""
"SM","0000008","20250626|171757","20250623_2034709_029932_018736","R09_2_GBR_Rothesay International - Eastbourne","Fritz","Giron","|K|0.819858|EK|G||OL1|1.4152|EOL1|OL2|5.8936|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/fritz-taylor-giron-marcos-K4X209NO/#ah;2;-3.50;2","-3.5","1.78","2.12","","","","","","","1.78","2.12","","","","","","",""
"SM","0000008","20250626|171759","20250623_2034709_029932_018736","R09_2_GBR_Rothesay International - Eastbourne","Fritz","Giron","|K|0.819858|EK|G||OL1|1.4152|EOL1|OL2|5.8936|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/fritz-taylor-giron-marcos-K4X209NO/#ah;2;-4.50;2","-4.5","2.39","1.63","","","","","","","2.4","1.63","","","","","","",""
"SM","0000008","20250626|171803","20250623_2034709_029932_018736","R09_2_GBR_Rothesay International - Eastbourne","Fritz","Giron","|K|0.819858|EK|G||OL1|1.4152|EOL1|OL2|5.8936|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/fritz-taylor-giron-marcos-K4X209NO/#ah;2;1.50;1","1.5","1.11","7.9","","","","","","","1.11","7.9","","","","","","",""
"SM","0000008","20250626|171801","20250623_2034709_029932_018736","R09_2_GBR_Rothesay International - Eastbourne","Fritz","Giron","|K|0.819858|EK|G||OL1|1.4152|EOL1|OL2|5.8936|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/fritz-taylor-giron-marcos-K4X209NO/#ah;2;-1.50;1","-1.5","1.77","2.13","","","","","","","1.77","2.2","","","","","","",""
"SM","0000008","20250626|171751","20250623_2034709_029932_018736","R09_2_GBR_Rothesay International - Eastbourne","Fritz","Giron","|K|0.819858|EK|G||OL1|1.4152|EOL1|OL2|5.8936|EOL2|OH1|122|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3542|ENAOL1|NAOL2|6.09932|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-eastbourne/fritz-taylor-giron-marcos-K4X209NO/","","1.26","4.3","","","","","","","1.22","4.25","","","","","","",""
"CSV","0000009","20250626|171813","20250623_1630709_052941_041890","R09_1_TPE_W35 Taipei","Hosogi","Shimizu","|K|0.492901|EK|G||OL1|2.17616|EOL1|OL2|2.12256|EOL2|OH1|2.842|EOH1|OH2|2.772|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/hosogi-sakura-shimizu-eri-xEJ1oUW9/#ah;2;4.00;2","4.0","1.63","2.22","","","","","","","1.63","2.22","","","","","","",""
"CSV","0000009","20250626|171815","20250623_1630709_052941_041890","R09_1_TPE_W35 Taipei","Hosogi","Shimizu","|K|0.492901|EK|G||OL1|2.17616|EOL1|OL2|2.12256|EOL2|OH1|2.842|EOH1|OH2|2.772|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/hosogi-sakura-shimizu-eri-xEJ1oUW9/#ah;2;2.00;2","2.0","2.04","1.74","","","","","","","2.04","1.74","","","","","","",""
"CSV","0000009","20250626|171818","20250623_1630709_052941_041890","R09_1_TPE_W35 Taipei","Hosogi","Shimizu","|K|0.492901|EK|G||OL1|2.17616|EOL1|OL2|2.12256|EOL2|OH1|2.842|EOH1|OH2|2.772|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/hosogi-sakura-shimizu-eri-xEJ1oUW9/#ah;2;1.50;1","1.5","1.57","2.33","","","","","","","1.57","2.33","","","","","","",""
"CSV","0000009","20250626|171817","20250623_1630709_052941_041890","R09_1_TPE_W35 Taipei","Hosogi","Shimizu","|K|0.492901|EK|G||OL1|2.17616|EOL1|OL2|2.12256|EOL2|OH1|2.842|EOH1|OH2|2.772|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/hosogi-sakura-shimizu-eri-xEJ1oUW9/#ah;2;-1.50;1","-1.5","3.7","1.26","","","","","","","3.7","1.26","","","","","","",""
"CSV","0000009","20250626|171806","20250623_1630709_052941_041890","R09_1_TPE_W35 Taipei","Hosogi","Shimizu","|K|0.492901|EK|G||OL1|2.17616|EOL1|OL2|2.12256|EOL2|OH1|2.842|EOH1|OH2|2.772|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/hosogi-sakura-shimizu-eri-xEJ1oUW9/","","2.33","1.57","","","","","","","2.24","1.51","","","","","","",""
"CSV","0000010","20250626|171830","20250623_1630709_036391_037733","R09_1_TPE_W35 Taipei","Kobori","Shimizu","|K|0.52167|EK|G||OL1|2.05824|EOL1|OL2|2.2512|EOL2|OH1|2.688|EOH1|OH2|2.94|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/kobori-momoko-shimizu-ayano-fJHFIriT/#ah;2;3.50;2","3.5","1.69","2.11","","","","","","","1.69","2.11","","","","","","",""
"CSV","0000010","20250626|171833","20250623_1630709_036391_037733","R09_1_TPE_W35 Taipei","Kobori","Shimizu","|K|0.52167|EK|G||OL1|2.05824|EOL1|OL2|2.2512|EOL2|OH1|2.688|EOH1|OH2|2.94|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/kobori-momoko-shimizu-ayano-fJHFIriT/#ah;2;1.50;1","1.5","1.51","2.5","","","","","","","1.51","2.5","","","","","","",""
"CSV","0000010","20250626|171832","20250623_1630709_036391_037733","R09_1_TPE_W35 Taipei","Kobori","Shimizu","|K|0.52167|EK|G||OL1|2.05824|EOL1|OL2|2.2512|EOL2|OH1|2.688|EOH1|OH2|2.94|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/kobori-momoko-shimizu-ayano-fJHFIriT/#ah;2;-1.50;1","-1.5","3.45","1.29","","","","","","","3.45","1.29","","","","","","",""
"CSV","0000010","20250626|171822","20250623_1630709_036391_037733","R09_1_TPE_W35 Taipei","Kobori","Shimizu","|K|0.52167|EK|G||OL1|2.05824|EOL1|OL2|2.2512|EOL2|OH1|2.688|EOH1|OH2|2.94|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/taiwan/itf-w35-taipei-2-women/kobori-momoko-shimizu-ayano-fJHFIriT/","","2.17","1.65","","","","","","","2.08","1.58","","","","","","",""
"FSV","0000011","20250626|171837","20250623_1631009_050949_037515","R09_0_CHN_W15 Maanshan","Wang","Ni Ma","|K|0.852557|EK|G||OL1|1.25434|EOL1|OL2|6.9937|EOL2|OH1|118|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/china/itf-w15-maanshan-7-women/wang-jiaqi-ni-ma-zhuoma-jHqy0To3/","","","","","","","","","","1.12","4.49","","","","","","",""
"FSV","0000012","20250626|171840","20250623_1631409_077511_037732","R09_0_JPN_W15 Sapporo","Kinoshita","Miyamoto","|K|0.669292|EK|G||OL1|1.5945|EOL1|OL2|3.1209|EOL2|OH1|150|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-w15-sapporo-2-women/kinoshita-hayu-miyamoto-ayumi-t6nhVHtC/","","1.34","3.1","","","","","","","1.29","2.98","","","","","","",""
