"FDV","0000007","20250627|133222","20250623_1631310_099296_102007","R10_0_USA_W15 Lakewood","Cayetano/Giavara","Garcia/Lee","","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-women-doubles/cayetano-eryn-giavara-haley-garcia-kara-lee-rachel-hhdc7uP9/","","","","","","","","","","1.06","8.5","","","","","","",""
"FDV","0000008","20250627|133227","20250623_1631310_102010_102013","R10_0_USA_W15 Lakewood","Mcbride/Nordikyan","An/Hamilton","|K|0.546186|EK|G||OL1|1.89152|EOL1|OL2|2.33155|EOL2|OH1|1|EOH1|OH2|221|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-w15-lakewood-ca-women-doubles/mcbride-jordyn-nordikyan-kristina-an-claire-hamilton-alanis-2Ros7WUQ/","","","","","","","","","","","","","","","","","",""
"CDM","0000009","20250627|133231","20250623_2073510_120503_120506","R10_1_ITA_Milan Challenger","Goldhoff/Ho","Escobar/Zormann Da Silva","|K|0.438171|EK|G||OL1|2.33809|EOL1|OL2|1.80848|EOL2|OH1|229|EOH1|OH2|178|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/milan-challenger-men-doubles/goldhoff-george-ho-ray-escobar-gonzalo-zormann-da-silva-marcelo-xAZoKWBD/","","","","","","","","","","2.35","1.53","","","","","","",""
"CDM","0000010","20250627|133235","20250623_2073510_120316_111655","R10_1_ITA_Milan Challenger","Romios/Seggerman","Bayldon/Hermans","|K|0.714077|EK|G||OL1|1.43256|EOL1|OL2|3.5735|EOL2|OH1|141|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/milan-challenger-men-doubles/romios-matthew-christopher-seggerman-ryan-bayldon-blake-hermans-mats-Sf6fmjcc/","","","","","","","","","","1.3","3.2","","","","","","",""
"CSM","0000011","20250627|133246","20250623_2073610_073983_078285","R10_1_PER_Lima 1 Challenger","Bueno","Blanch","|K|0.762341|EK|G||OL1|1.42428|EOL1|OL2|4.48786|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.6731|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/bueno-gonzalo-blanch-dali-zqzm9ADt/#ah;2;-3.50;2","-3.5","1.75","2.14","","","","","","","1.75","2.14","","","","","","",""
"CSM","0000011","20250627|133248","20250623_2073610_073983_078285","R10_1_PER_Lima 1 Challenger","Bueno","Blanch","|K|0.762341|EK|G||OL1|1.42428|EOL1|OL2|4.48786|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.6731|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/bueno-gonzalo-blanch-dali-zqzm9ADt/#ah;2;-4.50;2","-4.5","2.09","1.79","","","","","2.02","1.75","2.09","1.79","","","","","","",""
"CSM","0000011","20250627|133252","20250623_2073610_073983_078285","R10_1_PER_Lima 1 Challenger","Bueno","Blanch","|K|0.762341|EK|G||OL1|1.42428|EOL1|OL2|4.48786|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.6731|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/bueno-gonzalo-blanch-dali-zqzm9ADt/#ah;2;1.50;1","1.5","1.17","5.4","","","","","1.15","5.5","1.17","5.5","","","","","","",""
"CSM","0000011","20250627|133250","20250623_2073610_073983_078285","R10_1_PER_Lima 1 Challenger","Bueno","Blanch","|K|0.762341|EK|G||OL1|1.42428|EOL1|OL2|4.48786|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.6731|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/bueno-gonzalo-blanch-dali-zqzm9ADt/#ah;2;-1.50;1","-1.5","2.0","1.86","","","","","1.98","1.8","2.0","1.86","","","","","","",""
"CSM","0000011","20250627|133239","20250623_2073610_073983_078285","R10_1_PER_Lima 1 Challenger","Bueno","Blanch","|K|0.762341|EK|G||OL1|1.42428|EOL1|OL2|4.48786|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.3926|ENAOL1|NAOL2|4.6731|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/peru/lima-challenger-men/bueno-gonzalo-blanch-dali-zqzm9ADt/","","1.4","3.1","","","","","1.38","3.05","1.38","3.05","","","","","","",""
"CSM","0000012","20250627|133304","20250623_2073610_089131_069729","R10_1_PER_Lima 1 Challenger","Prado Angelo","Boscardin Dias","|K|0.489941|EK|G||OL1|2.21195|EOL1|OL2|2.12563|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.16275|ENAOL1|NAOL2|2.07835|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/prado-angelo-juan-carlos-boscardin-dias-pedro-AB9ZUH0C/#ah;2;0.50;2","0.5","1.93","1.92","","","","","","","1.93","1.92","","","","","","",""
"CSM","0000012","20250627|133306","20250623_2073610_089131_069729","R10_1_PER_Lima 1 Challenger","Prado Angelo","Boscardin Dias","|K|0.489941|EK|G||OL1|2.21195|EOL1|OL2|2.12563|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.16275|ENAOL1|NAOL2|2.07835|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/peru/lima-challenger-men/prado-angelo-juan-carlos-boscardin-dias-pedro-AB9ZUH0C/#ah;2;-0.50;2","-0.5","2.06","1.81","","","","","","","2.06","1.81","","","","","","",""
"CSM","0000012","20250627|133310","20250623_2073610_089131_069729","R10_1_PER_Lima 1 Challenger","Prado Angelo","Boscardin Dias","|K|0.489941|EK|G||OL1|2.21195|EOL1|OL2|2.12563|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.16275|ENAOL1|NAOL2|2.07835|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/prado-angelo-juan-carlos-boscardin-dias-pedro-AB9ZUH0C/#ah;2;1.50;1","1.5","1.42","3.0","","","","","1.41","2.85","1.42","3.0","","","","","","",""
"CSM","0000012","20250627|133308","20250623_2073610_089131_069729","R10_1_PER_Lima 1 Challenger","Prado Angelo","Boscardin Dias","|K|0.489941|EK|G||OL1|2.21195|EOL1|OL2|2.12563|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.16275|ENAOL1|NAOL2|2.07835|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/peru/lima-challenger-men/prado-angelo-juan-carlos-boscardin-dias-pedro-AB9ZUH0C/#ah;2;-1.50;1","-1.5","3.27","1.36","","","","","3.3","1.32","3.3","1.36","","","","","","",""
"CSM","0000012","20250627|133256","20250623_2073610_089131_069729","R10_1_PER_Lima 1 Challenger","Prado Angelo","Boscardin Dias","|K|0.489941|EK|G||OL1|2.21195|EOL1|OL2|2.12563|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|2.16275|ENAOL1|NAOL2|2.07835|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/peru/lima-challenger-men/prado-angelo-juan-carlos-boscardin-dias-pedro-AB9ZUH0C/","","2.0","1.86","","","","","2.0","1.79","2.0","1.8","","","","","","",""
