"FDV","0000013","20250628|083311","20250623_1631712_101998_102001","R12_0_TUN_W15 Monastir","Adams/Bouzgarrou","Arangio/Tse","|K|0.739439|EK|G||OL1|1.39808|EOL1|OL2|4.0512|EOL2|OH1|136|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-w15-monastir-25-women-doubles/adams-julia-bouzgarrou-mouna-arangio-gala-tse-elyse-fBem8azS/","","","","","","","","","","","","","","","","","",""
"DV","0000014","20250628|083315","20250623_1597212_101860_095792","R12_2_GBR_Rothesay International - Eastbourne","Hsieh/Joint","Bouzkova/Danilina","|K|0.533649|EK|G||OL1|1.96084|EOL1|OL2|2.2274|EOL2|OH1|188|EOH1|OH2|3.655|EOH2|EG|NA||NAOL1|1.92136|ENAOL1|NAOL2|2.4467|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-eastbourne-doubles/hsieh-su-wei-joint-maya-bouzkova-marie-danilina-anna-40ipKaUF/","","1.88","1.92","","","","","1.82","1.94","1.83","1.94","","","","","","",""
"DV","0000015","20250628|083318","20250623_1597112_098617_101856","R12_2_GER_Bad Homburg Open - Bad Homburg","Guo/Panova","Kichenok/Perez","|K|0.309254|EK|G||OL1|3.35664|EOL1|OL2|1.51235|EOL2|OH1|1|EOH1|OH2|145|EOH2|EG|NA||NAOL1|3.68712|ENAOL1|NAOL2|1.4819|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/wta-bad-homburg-doubles/guo-hanyu-panova-alexandra-kichenok-lyudmyla-perez-ellen-fVVOCHMk/","","2.04","1.79","","","","","2.02","1.75","2.02","1.78","","","","","","",""
"DM","0000016","20250628|083322","20250623_2034612_118705_118645","R12_2_ESP_Mallorca Championships - Mallorca","Bhambri/Galloway","Gonzalez/Krajicek","|K|0.376026|EK|G||OL1|2.8994|EOL1|OL2|1.7871|EOL2|OH1|1|EOH1|OH2|2.415|EOH2|EG|NA||NAOL1|2.8595|ENAOL1|NAOL2|1.82574|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/spain/atp-mallorca-doubles/bhambri-yuki-galloway-robert-gonzalez-santiago-krajicek-austin-Gd46W0MM/","","2.57","1.52","","","","","2.52","1.5","2.52","1.5","","","","","","",""
"FSM","0000017","20250628|083333","20250623_2079110_023301_086348","R10_0_BEL_M25 Brussels","Couacaud","Campana Lee","|K|0.529857|EK|G||OL1|2.0223|EOL1|OL2|2.2791|EOL2|OH1|189|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/couacaud-enzo-lee-gerard-campana-2eZWAei2/#ah;2;2.50;2","2.5","1.75","2.05","","","","","","","1.75","2.05","","","","","","",""
"FSM","0000017","20250628|083332","20250623_2079110_023301_086348","R10_0_BEL_M25 Brussels","Couacaud","Campana Lee","|K|0.529857|EK|G||OL1|2.0223|EOL1|OL2|2.2791|EOL2|OH1|189|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/couacaud-enzo-lee-gerard-campana-2eZWAei2/#ah;2;2.00;2","2.0","1.81","1.96","","","","","","","1.81","1.96","","","","","","",""
"FSM","0000017","20250628|083337","20250623_2079110_023301_086348","R10_0_BEL_M25 Brussels","Couacaud","Campana Lee","|K|0.529857|EK|G||OL1|2.0223|EOL1|OL2|2.2791|EOL2|OH1|189|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/couacaud-enzo-lee-gerard-campana-2eZWAei2/#ah;2;1.50;1","1.5","1.45","2.7","","","","","","","1.45","2.7","","","","","","",""
"FSM","0000017","20250628|083335","20250623_2079110_023301_086348","R10_0_BEL_M25 Brussels","Couacaud","Campana Lee","|K|0.529857|EK|G||OL1|2.0223|EOL1|OL2|2.2791|EOL2|OH1|189|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/couacaud-enzo-lee-gerard-campana-2eZWAei2/#ah;2;-1.50;1","-1.5","3.38","1.31","","","","","","","3.38","1.31","","","","","","",""
"FSM","0000017","20250628|083326","20250623_2079110_023301_086348","R10_0_BEL_M25 Brussels","Couacaud","Campana Lee","|K|0.529857|EK|G||OL1|2.0223|EOL1|OL2|2.2791|EOL2|OH1|189|EOH1|OH2|213|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/couacaud-enzo-lee-gerard-campana-2eZWAei2/","","2.08","1.72","","","","","2.15","1.64","2.15","1.65","","","","","","",""
"FSM","0000018","20250628|083348","20250623_2079110_038973_052968","R10_0_BEL_M25 Brussels","Hardt","Moeller","|K|0.605851|EK|G||OL1|1.7762|EOL1|OL2|2.57302|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/hardt-nick-moeller-marvin-GUJGWVne/#ah;2;-2.50;2","-2.5","1.67","2.16","","","","","","","1.67","2.16","","","","","","",""
"FSM","0000018","20250628|083346","20250623_2079110_038973_052968","R10_0_BEL_M25 Brussels","Hardt","Moeller","|K|0.605851|EK|G||OL1|1.7762|EOL1|OL2|2.57302|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/hardt-nick-moeller-marvin-GUJGWVne/#ah;2;-3.00;2","-3.0","1.75","2.05","","","","","","","1.75","2.05","","","","","","",""
"FSM","0000018","20250628|083351","20250623_2079110_038973_052968","R10_0_BEL_M25 Brussels","Hardt","Moeller","|K|0.605851|EK|G||OL1|1.7762|EOL1|OL2|2.57302|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/hardt-nick-moeller-marvin-GUJGWVne/#ah;2;1.50;1","1.5","1.21","4.3","","","","","","","1.21","4.3","","","","","","",""
"FSM","0000018","20250628|083350","20250623_2079110_038973_052968","R10_0_BEL_M25 Brussels","Hardt","Moeller","|K|0.605851|EK|G||OL1|1.7762|EOL1|OL2|2.57302|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/belgium/itf-m25-brussels-men/hardt-nick-moeller-marvin-GUJGWVne/#ah;2;-1.50;1","-1.5","2.14","1.68","","","","","","","2.14","1.68","","","","","","",""
