"DV","0000007","20250705|074506","20250630_1597306_093781_096663","R06_4_GBR_Wimbledon - London","Siniakova/Townsend","Melichar-Martinez/Samsonova","|K|0.732935|EK|G||OL1|1.43|EOL1|OL2|3.885|EOL2|OH1|137|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40014|ENAOL1|NAOL2|4.2675|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-wimbledon-doubles/siniakova-katerina-townsend-taylor-melichar-nicole-samsonova-liudmila-t8DHm9Wr/","","1.3","3.51","","","","","","","1.25","3.37","","","","","","",""
"DM","0000008","20250705|074511","20250630_2034805_094721_097319","R05_4_GBR_Wimbledon - London","Nys/Roger-Vasselin","Schnaitter/Wallner","|K|0.646841|EK|G||OL1|1.7205|EOL1|OL2|3.0956|EOL2|OH1|2.325|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7577|ENAOL1|NAOL2|3.053|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/nys-hugo-roger-vasselin-edouard-schnaitter-jakob-wallner-mark-4G1gfvSk/","","1.41","2.97","","","","","1.4","2.85","1.4","2.85","","","","","","",""
"DM","0000009","20250705|074515","20250630_2034805_120473_085486","R05_4_GBR_Wimbledon - London","Pavlasek/Zielinski","Bolelli/Vavassori","|K|0.294401|EK|G||OL1|3.706|EOL1|OL2|1.5762|EOL2|OH1|1|EOH1|OH2|2.13|EOH2|EG|NA||NAOL1|3.655|ENAOL1|NAOL2|1.61028|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/pavlasek-adam-zielinski-jan-bolelli-simone-vavassori-andrea-863DbUiA/","","3.2","1.36","","","","","3.0","1.36","3.2","1.36","","","","","","",""
"DM","0000010","20250705|074519","20250630_2034805_073049_117241","R05_4_GBR_Wimbledon - London","Salisbury/Skupski","Barrientos/Bollipalli","|K|0.806067|EK|G||OL1|1.3875|EOL1|OL2|5.6244|EOL2|OH1|1.875|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.4175|ENAOL1|NAOL2|5.547|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/salisbury-joe-skupski-neal-barrientos-nicolas-bollipalli-rithvik-xOMVIhvI/","","1.16","5.46","","","","","1.14","5.25","1.14","5.25","","","","","","",""
"FSM","0000011","20250705|074530","20250630_2081410_061966_075230","R10_0_ARG_M15 San Salvador de Jujuy","Justo","Cigarran","|K|0.804964|EK|G||OL1|1.3375|EOL1|OL2|5.19669|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/justo-guido-ivan-cigarran-thiago-0hQQyrp4/#ah;2;-5.50;2","-5.5","1.88","1.88","","","","","","","1.88","1.88","","","","","","",""
"FSM","0000011","20250705|074531","20250630_2081410_061966_075230","R10_0_ARG_M15 San Salvador de Jujuy","Justo","Cigarran","|K|0.804964|EK|G||OL1|1.3375|EOL1|OL2|5.19669|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/justo-guido-ivan-cigarran-thiago-0hQQyrp4/#ah;2;-6.00;2","-6.0","2.18","1.66","","","","","","","2.18","1.66","","","","","","",""
"FSM","0000011","20250705|074535","20250630_2081410_061966_075230","R10_0_ARG_M15 San Salvador de Jujuy","Justo","Cigarran","|K|0.804964|EK|G||OL1|1.3375|EOL1|OL2|5.19669|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/justo-guido-ivan-cigarran-thiago-0hQQyrp4/#ah;2;1.50;1","1.5","1.06","8.28","","","","","","","1.06","8.28","","","","","","",""
"FSM","0000011","20250705|074533","20250630_2081410_061966_075230","R10_0_ARG_M15 San Salvador de Jujuy","Justo","Cigarran","|K|0.804964|EK|G||OL1|1.3375|EOL1|OL2|5.19669|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/justo-guido-ivan-cigarran-thiago-0hQQyrp4/#ah;2;-1.50;1","-1.5","1.52","2.48","","","","","","","1.52","2.48","","","","","","",""
"FSM","0000011","20250705|074523","20250630_2081410_061966_075230","R10_0_ARG_M15 San Salvador de Jujuy","Justo","Cigarran","|K|0.804964|EK|G||OL1|1.3375|EOL1|OL2|5.19669|EOL2|OH1|125|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/justo-guido-ivan-cigarran-thiago-0hQQyrp4/","","1.18","4.73","","","","","","","1.13","4.54","","","","","","",""
"FSM","0000012","20250705|074544","20250630_2081410_109920_055868","R10_0_ARG_M15 San Salvador de Jujuy","Zarate","Rodriguez","|K|0.175125|EK|G||OL1|5.79436|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|122|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/zarate-carlos-maria-rodriguez-lorenzo-joaquin-CYOkzV8a/#ah;2;5.50;2","5.5","1.91","1.86","","","","","","","1.91","1.86","","","","","","",""
"FSM","0000012","20250705|074546","20250630_2081410_109920_055868","R10_0_ARG_M15 San Salvador de Jujuy","Zarate","Rodriguez","|K|0.175125|EK|G||OL1|5.79436|EOL1|OL2|1.3054|EOL2|OH1|1|EOH1|OH2|122|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-san-salvador-de-jujuy-men/zarate-carlos-maria-rodriguez-lorenzo-joaquin-CYOkzV8a/#ah;2;5.00;2","5.0","2.17","1.67","","","","","","","2.17","1.67","","","","","","",""
