"CDV","0000007","20250709|080829","20250707_1633509_102216_102217","R09_1_SWE_Nordea Open - Bastad","Ninomiya/Uchijima","Burillo/Cengiz","|K|0.723255|EK|G||OL1|1.4734|EOL1|OL2|3.71774|EOL2|OH1|2.0155|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"DM","0000008","20250709|080833","20250630_2034810_108310_120940","R10_4_GBR_Wimbledon - London","Arevalo/Pavic","Hijikata/Pel","|K|0.758962|EK|G||OL1|1.4652|EOL1|OL2|4.5235|EOL2|OH1|1.98|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.49688|ENAOL1|NAOL2|4.46125|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/arevalo-marcelo-pavic-mate-hijikata-rinky-pel-david-Gxbseudd/","","1.17","5.03","","","","","1.2","4.3","1.2","4.83","","","","","","",""
"FSM","0000009","20250709|080837","20250707_2085204_086277_055868","R04_0_ARG_M15 Salta","De Dios","Rodriguez","|K|0.0237409|EK|G||OL1|42.6777|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|103|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/de-dios-felipe-rodriguez-lorenzo-joaquin-xIgu1ph5/","","","","","","","","","","9.75","1.02","","","","","","",""
"FSM","0000010","20250709|080846","20250707_2085205_091543_065733","R05_0_ARG_M15 Salta","Cavallo","Gimenez","|K|0.362411|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/cavallo-fernando-gimenez-igor-CSgQced3/#ah;2;3.50;2","3.5","2.0","1.73","","","","","","","2.0","1.73","","","","","","",""
"FSM","0000010","20250709|080852","20250707_2085205_091543_065733","R05_0_ARG_M15 Salta","Cavallo","Gimenez","|K|0.362411|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/cavallo-fernando-gimenez-igor-CSgQced3/#ah;2;1.50;1","1.5","1.72","2.02","","","","","","","1.72","2.02","","","","","","",""
"FSM","0000010","20250709|080850","20250707_2085205_091543_065733","R05_0_ARG_M15 Salta","Cavallo","Gimenez","|K|0.362411|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/cavallo-fernando-gimenez-igor-CSgQced3/#ah;2;-1.50;1","-1.5","4.21","1.19","","","","","","","4.21","1.19","","","","","","",""
"FSM","0000010","20250709|080840","20250707_2085205_091543_065733","R05_0_ARG_M15 Salta","Cavallo","Gimenez","|K|0.362411|EK|G||OL1|2.79588|EOL1|OL2|1.6799|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/cavallo-fernando-gimenez-igor-CSgQced3/","","2.73","1.41","","","","","","","2.62","1.35","","","","","","",""
"FSM","0000011","20250709|080905","20250707_2084505_089272_029810","R05_0_COL_M25 Villavicencio","Price","Osorio","|K|0.465197|EK|G||OL1|2.3005|EOL1|OL2|2.0009|EOL2|OH1|1|EOH1|OH2|187|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/price-salvador-osorio-juan-sebastian-Qk0eIezA/#ah;2;3.00;2","3.0","1.7","2.05","","","","","","","1.7","2.05","","","","","","",""
"FSM","0000011","20250709|080903","20250707_2084505_089272_029810","R05_0_COL_M25 Villavicencio","Price","Osorio","|K|0.465197|EK|G||OL1|2.3005|EOL1|OL2|2.0009|EOL2|OH1|1|EOH1|OH2|187|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/price-salvador-osorio-juan-sebastian-Qk0eIezA/#ah;2;1.50;2","1.5","1.93","1.79","","","","","","","1.93","1.79","","","","","","",""
"FSM","0000011","20250709|080908","20250707_2084505_089272_029810","R05_0_COL_M25 Villavicencio","Price","Osorio","|K|0.465197|EK|G||OL1|2.3005|EOL1|OL2|2.0009|EOL2|OH1|1|EOH1|OH2|187|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/price-salvador-osorio-juan-sebastian-Qk0eIezA/#ah;2;1.50;1","1.5","1.5","2.45","","","","","","","1.5","2.45","","","","","","",""
"FSM","0000011","20250709|080906","20250707_2084505_089272_029810","R05_0_COL_M25 Villavicencio","Price","Osorio","|K|0.465197|EK|G||OL1|2.3005|EOL1|OL2|2.0009|EOL2|OH1|1|EOH1|OH2|187|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/price-salvador-osorio-juan-sebastian-Qk0eIezA/#ah;2;-1.50;1","-1.5","3.31","1.3","","","","","","","3.31","1.3","","","","","","",""
"FSM","0000011","20250709|080856","20250707_2084505_089272_029810","R05_0_COL_M25 Villavicencio","Price","Osorio","|K|0.465197|EK|G||OL1|2.3005|EOL1|OL2|2.0009|EOL2|OH1|1|EOH1|OH2|187|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/price-salvador-osorio-juan-sebastian-Qk0eIezA/","","2.14","1.65","","","","","","","2.05","1.58","","","","","","",""
"FSM","0000012","20250709|080922","20250707_2084505_044217_090968","R05_0_COL_M25 Villavicencio","Ribeiro","Heredia","|K|0.757165|EK|G||OL1|1.4231|EOL1|OL2|4.17356|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/ribeiro-eduardo-heredia-samuel-fFJYdbH7/#ah;2;-4.50;2","-4.5","1.74","2.0","","","","","","","1.74","2.0","","","","","","",""
"FSM","0000012","20250709|080923","20250707_2084505_044217_090968","R05_0_COL_M25 Villavicencio","Ribeiro","Heredia","|K|0.757165|EK|G||OL1|1.4231|EOL1|OL2|4.17356|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/ribeiro-eduardo-heredia-samuel-fFJYdbH7/#ah;2;-5.50;2","-5.5","2.14","1.65","","","","","","","2.14","1.65","","","","","","",""
"FSM","0000012","20250709|080926","20250707_2084505_044217_090968","R05_0_COL_M25 Villavicencio","Ribeiro","Heredia","|K|0.757165|EK|G||OL1|1.4231|EOL1|OL2|4.17356|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/ribeiro-eduardo-heredia-samuel-fFJYdbH7/#ah;2;1.50;1","1.5","1.12","5.52","","","","","","","1.12","5.52","","","","","","",""
"FSM","0000012","20250709|080924","20250707_2084505_044217_090968","R05_0_COL_M25 Villavicencio","Ribeiro","Heredia","|K|0.757165|EK|G||OL1|1.4231|EOL1|OL2|4.17356|EOL2|OH1|133|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m25-villavicencio-men/ribeiro-eduardo-heredia-samuel-fFJYdbH7/#ah;2;-1.50;1","-1.5","1.68","2.09","","","","","","","1.68","2.09","","","","","","",""
