"CDV","0000013","20250710|081341","20250707_1633409_095794_102354","R09_1_FRA_Grand Est Open 88 - Contrexeville","Gleason/Martins","Anshba/Bolsova Zadoinov","|K|0.580286|EK|G||OL1|1.8338|EOL1|OL2|2.45453|EOL2|OH1|2.5085|EOH1|OH2|3.346|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/gleason-quinn-gamarra-martins-ingrid-anshba-amina-bolsova-zadoinov-aliona-A3kdlB5s/","","1.36","2.97","","","","","","","1.36","2.9","","","","","","",""
"DV","0000014","20250710|081345","20250630_1597310_093781_098665","R10_4_GBR_Wimbledon - London","Siniakova/Townsend","Hsieh/Ostapenko","|K|0.598926|EK|G||OL1|1.74181|EOL1|OL2|2.59|EOL2|OH1|167|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.70674|ENAOL1|NAOL2|2.845|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/wta-wimbledon-doubles/siniakova-katerina-townsend-taylor-hsieh-su-wei-ostapenko-jelena-pza9tGJj/","","1.36","3.16","","","","","1.36","3.1","1.36","3.2","","","","","","",""
"DM","0000015","20250710|081348","20250630_2034810_079810_114614","R10_4_GBR_Wimbledon - London","Granollers/Zeballos","Cash/Glasspool","|K|0.444436|EK|G||OL1|2.4634|EOL1|OL2|1.998|EOL2|OH1|226|EOH1|OH2|2.7|EOH2|EG|NA||NAOL1|2.4295|ENAOL1|NAOL2|2.0412|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/granollers-marcel-zeballos-horacio-cash-julian-glasspool-lloyd-WYFS4XZ8/","","1.96","1.86","","","","","2.05","1.76","2.05","1.8","","","","","","",""
"FSM","0000016","20250710|081401","20250707_2085205_070491_074894","R05_0_ARG_M15 Salta","De La Fuente","Monferrer","|K|0.831227|EK|G||OL1|1.2947|EOL1|OL2|6.00709|EOL2|OH1|121|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/de-la-fuente-santiago-monferrer-ezequiel-hxKUmbRG/#ah;2;-5.50;2","-5.5","1.87","1.85","","","","","","","1.87","1.85","","","","","","",""
"FSM","0000016","20250710|081404","20250707_2085205_070491_074894","R05_0_ARG_M15 Salta","De La Fuente","Monferrer","|K|0.831227|EK|G||OL1|1.2947|EOL1|OL2|6.00709|EOL2|OH1|121|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/de-la-fuente-santiago-monferrer-ezequiel-hxKUmbRG/#ah;2;1.50;1","1.5","1.08","7.16","","","","","","","1.08","7.16","","","","","","",""
"FSM","0000016","20250710|081403","20250707_2085205_070491_074894","R05_0_ARG_M15 Salta","De La Fuente","Monferrer","|K|0.831227|EK|G||OL1|1.2947|EOL1|OL2|6.00709|EOL2|OH1|121|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/de-la-fuente-santiago-monferrer-ezequiel-hxKUmbRG/#ah;2;-1.50;1","-1.5","1.56","2.31","","","","","","","1.56","2.31","","","","","","",""
"FSM","0000016","20250710|081352","20250707_2085205_070491_074894","R05_0_ARG_M15 Salta","De La Fuente","Monferrer","|K|0.831227|EK|G||OL1|1.2947|EOL1|OL2|6.00709|EOL2|OH1|121|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/de-la-fuente-santiago-monferrer-ezequiel-hxKUmbRG/","","1.2","4.12","","","","","","","1.15","3.96","","","","","","",""
"FSM","0000017","20250710|081417","20250707_2085205_061966_098931","R05_0_ARG_M15 Salta","Justo","Kohlmann","|K|0.807146|EK|G||OL1|1.3268|EOL1|OL2|5.25747|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-kohlmann-enzo-INwvCmKc/#ah;2;-4.50;2","-4.5","1.56","2.31","","","","","","","1.56","2.31","","","","","","",""
"FSM","0000017","20250710|081416","20250707_2085205_061966_098931","R05_0_ARG_M15 Salta","Justo","Kohlmann","|K|0.807146|EK|G||OL1|1.3268|EOL1|OL2|5.25747|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-kohlmann-enzo-INwvCmKc/#ah;2;-5.50;2","-5.5","1.89","1.83","","","","","","","1.89","1.83","","","","","","",""
"FSM","0000017","20250710|081420","20250707_2085205_061966_098931","R05_0_ARG_M15 Salta","Justo","Kohlmann","|K|0.807146|EK|G||OL1|1.3268|EOL1|OL2|5.25747|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-kohlmann-enzo-INwvCmKc/#ah;2;1.50;1","1.5","1.07","7.24","","","","","","","1.07","7.24","","","","","","",""
"FSM","0000017","20250710|081418","20250707_2085205_061966_098931","R05_0_ARG_M15 Salta","Justo","Kohlmann","|K|0.807146|EK|G||OL1|1.3268|EOL1|OL2|5.25747|EOL2|OH1|124|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-kohlmann-enzo-INwvCmKc/#ah;2;-1.50;1","-1.5","1.54","2.36","","","","","","","1.54","2.36","","","","","","",""
