"FSM","0000055","20250710|095749","20250707_2084305_111543_050386","R05_0_USA_M25 Dallas","Jose Bianchi","Mchugh","|K|0.0843335|EK|G||OL1|12.0142|EOL1|OL2|1.18|EOL2|OH1|1|EOH1|OH2|110|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000056","20250710|095803","20250707_2084305_029937_094974","R05_0_USA_M25 Dallas","Rybakov","Woestendick","|K|0.77043|EK|G||OL1|1.391|EOL1|OL2|4.41668|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/rybakov-alex-woestendick-cooper-IucV8iSN/#ah;2;-3.50;2","-3.5","1.57","2.31","","","","","","","1.57","2.31","","","","","","",""
"FSM","0000056","20250710|095802","20250707_2084305_029937_094974","R05_0_USA_M25 Dallas","Rybakov","Woestendick","|K|0.77043|EK|G||OL1|1.391|EOL1|OL2|4.41668|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/rybakov-alex-woestendick-cooper-IucV8iSN/#ah;2;-4.50;2","-4.5","1.89","1.85","","","","","","","1.89","1.85","","","","","","",""
"FSM","0000056","20250710|095807","20250707_2084305_029937_094974","R05_0_USA_M25 Dallas","Rybakov","Woestendick","|K|0.77043|EK|G||OL1|1.391|EOL1|OL2|4.41668|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/rybakov-alex-woestendick-cooper-IucV8iSN/#ah;2;1.50;1","1.5","1.09","6.56","","","","","","","1.09","6.56","","","","","","",""
"FSM","0000056","20250710|095805","20250707_2084305_029937_094974","R05_0_USA_M25 Dallas","Rybakov","Woestendick","|K|0.77043|EK|G||OL1|1.391|EOL1|OL2|4.41668|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/rybakov-alex-woestendick-cooper-IucV8iSN/#ah;2;-1.50;1","-1.5","1.73","2.03","","","","","","","1.73","2.03","","","","","","",""
"FSM","0000056","20250710|095753","20250707_2084305_029937_094974","R05_0_USA_M25 Dallas","Rybakov","Woestendick","|K|0.77043|EK|G||OL1|1.391|EOL1|OL2|4.41668|EOL2|OH1|130|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/rybakov-alex-woestendick-cooper-IucV8iSN/","","1.26","3.61","","","","","1.24","3.7","1.24","3.7","","","","","","",""
"FSM","0000057","20250710|095816","20250707_2084305_094591_013722","R05_0_USA_M25 Dallas","Svajda","Bangoura","|K|0.995398|EK|G||OL1|1.18|EOL1|OL2|220.135|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/svajda-trevor-bangoura-sekou-6ihK05bU/#ah;2;-6.00;2","-6.0","1.83","1.89","","","","","","","1.83","1.89","","","","","","",""
"FSM","0000057","20250710|095811","20250707_2084305_094591_013722","R05_0_USA_M25 Dallas","Svajda","Bangoura","|K|0.995398|EK|G||OL1|1.18|EOL1|OL2|220.135|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-dallas-tx-men/svajda-trevor-bangoura-sekou-6ihK05bU/","","","","","","","","1.13","5.0","1.13","5.0","","","","","","",""
"SM","0000058","20250710|095826","20250630_2034810_047275_005992","R10_4_GBR_Wimbledon - London","Sinner","Djokovic","|K|0.638139|EK|G||OL1|1.8212|EOL1|OL2|2.9362|EOL2|OH1|157|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.7427|ENAOL1|NAOL2|3.03869|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-4.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon/sinner-jannik-djokovic-novak-pvH9xYAl/","","1.49","2.8","","","","","1.44","2.8","1.45","2.8","","","","","","",""
"CSM","0000059","20250710|095838","20250707_2081909_052934_084235","R09_1_GER_Braunschweig Challenger","Cerundolo","Collignon","|K|0.523652|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|1|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/germany/braunschweig-challenger-men/cerundolo-juan-manuel-collignon-raphael-0bwBav3D/#ah;2;0;2","0.0","1.76","2.12","","","","","","","1.76","2.12","","","","","","",""
"CSM","0000059","20250710|095836","20250707_2081909_052934_084235","R09_1_GER_Braunschweig Challenger","Cerundolo","Collignon","|K|0.523652|EK|G||OL1|2.06089|EOL1|OL2|2.2659|EOL2|OH1|1|EOH1|OH2|2.94|EOH2|EG|NA||NAOL1|2.01505|ENAOL1|NAOL2|2.2155|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/germany/braunschweig-challenger-men/cerundolo-juan-manuel-collignon-raphael-0bwBav3D/#ah;2;-1.50;2","-1.5","1.96","1.88","","","","","1.93","1.84","1.96","1.88","","","","","","",""
