"FDV","0000013","20250711|082700","20250707_1635209_102258_079415","R09_0_POL_W15 Grodzisk Mazowiecki","Kostecka/Pawelska","Sevcikova/Svatikova","","GEW","https://www.oddsportal.com/tennis/poland/itf-w15-grodzisk-mazowiecki-women-doubles/kostecka-barbara-pawelska-maja-sevcikova-linda-svatikova-laura-ncfdt5AN/","","","","","","","","","","3.74","1.25","","","","","","",""
"CDV","0000014","20250711|082703","20250707_1633410_095794_102355","R10_1_FRA_Grand Est Open 88 - Contrexeville","Gleason/Martins","Cavalle-Reimers/Herrero Linana","|K|0.570209|EK|G||OL1|1.8656|EOL1|OL2|2.39291|EOL2|OH1|2.552|EOH1|OH2|3.262|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/contrexeville-challenger-women-doubles/gleason-quinn-gamarra-martins-ingrid-cavalle-reimers-ivonne-herrero-linana-alicia-E36j3SSs/","","1.42","2.75","","","","","","","1.44","2.64","","","","","","",""
"DM","0000015","20250711|082707","20250630_2034812_120940_114614","R12_4_GBR_Wimbledon - London","Hijikata/Pel","Cash/Glasspool","|K|0.206657|EK|G||OL1|5.2756|EOL1|OL2|1.4097|EOL2|OH1|1|EOH1|OH2|1.905|EOH2|EG|NA||NAOL1|5.203|ENAOL1|NAOL2|1.44018|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/united-kingdom/atp-wimbledon-doubles/hijikata-rinky-pel-david-cash-julian-glasspool-lloyd-2FXQMVbK/","","","","","","","","","","4.25","1.18","","","","","","",""
"FSM","0000016","20250711|082718","20250707_2085209_061966_065733","R09_0_ARG_M15 Salta","Justo","Gimenez","|K|0.841769|EK|G||OL1|1.2733|EOL1|OL2|6.40216|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-gimenez-igor-nF9IFPrg/#ah;2;-6.00;2","-6.0","1.88","1.87","","","","","","","1.88","1.87","","","","","","",""
"FSM","0000016","20250711|082710","20250707_2085209_061966_065733","R09_0_ARG_M15 Salta","Justo","Gimenez","|K|0.841769|EK|G||OL1|1.2733|EOL1|OL2|6.40216|EOL2|OH1|119|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/justo-guido-ivan-gimenez-igor-nF9IFPrg/","","","","","","","","","","1.14","5.17","","","","","","",""
"FSM","0000017","20250711|082733","20250707_2085209_099991_055868","R09_0_ARG_M15 Salta","Zeitune","Rodriguez","|K|0.335512|EK|G||OL1|3.02887|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/zeitune-maximo-rodriguez-lorenzo-joaquin-xAqQdccl/#ah;2;4.50;2","4.5","1.75","2.03","","","","","","","1.75","2.03","","","","","","",""
"FSM","0000017","20250711|082735","20250707_2085209_099991_055868","R09_0_ARG_M15 Salta","Zeitune","Rodriguez","|K|0.335512|EK|G||OL1|3.02887|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/zeitune-maximo-rodriguez-lorenzo-joaquin-xAqQdccl/#ah;2;3.00;2","3.0","2.29","1.59","","","","","","","2.29","1.59","","","","","","",""
"FSM","0000017","20250711|082738","20250707_2085209_099991_055868","R09_0_ARG_M15 Salta","Zeitune","Rodriguez","|K|0.335512|EK|G||OL1|3.02887|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/zeitune-maximo-rodriguez-lorenzo-joaquin-xAqQdccl/#ah;2;1.50;1","1.5","1.88","1.87","","","","","","","1.88","1.87","","","","","","",""
"FSM","0000017","20250711|082736","20250707_2085209_099991_055868","R09_0_ARG_M15 Salta","Zeitune","Rodriguez","|K|0.335512|EK|G||OL1|3.02887|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/zeitune-maximo-rodriguez-lorenzo-joaquin-xAqQdccl/#ah;2;-1.50;1","-1.5","5.08","1.15","","","","","","","5.08","1.15","","","","","","",""
"FSM","0000017","20250711|082726","20250707_2085209_099991_055868","R09_0_ARG_M15 Salta","Zeitune","Rodriguez","|K|0.335512|EK|G||OL1|3.02887|EOL1|OL2|1.6157|EOL2|OH1|1|EOH1|OH2|151|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/argentina/itf-m15-salta-men/zeitune-maximo-rodriguez-lorenzo-joaquin-xAqQdccl/","","3.03","1.36","","","","","3.2","1.31","3.2","1.31","","","","","","",""
"FSM","0000018","20250711|082748","20250707_2085609_022429_086692","R09_0_AUT_M15 Telfs","Novak","Donald","|K|0.72999|EK|G||OL1|1.4659|EOL1|OL2|3.75823|EOL2|OH1|137|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/austria/itf-m15-telfs-men/novak-dennis-donald-matthew-hA9RkMJF/#ah;2;-3.50;2","-3.5","1.65","2.2","","","","","","","1.65","2.2","","","","","","",""
