"CDM","0000007","20250713|130348","20250714_2082504_120980_102696","R04_1_SMR_San Marino Challenger","Drzewiecki/Ho","Pichler/Pokorny","|K|0.546226|EK|G||OL1|1.86944|EOL1|OL2|2.25641|EOL2|OH1|184|EOH1|OH2|221|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men-doubles/drzewiecki-karol-ho-ray-pichler-david-pokorny-lukas-bFxLQ90D/","","","","","","","","","","1.5","2.39","","","","","","",""
"CDM","0000008","20250713|130352","20250714_2082504_105728_097008","R04_1_SMR_San Marino Challenger","Forti/Picchione","Karol/Sachko","|K|0.37729|EK|G||OL1|2.71586|EOL1|OL2|1.63576|EOL2|OH1|266|EOH1|OH2|161|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/san-marino/san-marino-challenger-men-doubles/forti-francesco-picchione-andrea-karol-milos-sachko-vitaliy-j9P6lDhK/","","","","","","","","","","2.87","1.36","","","","","","",""
"DM","0000009","20250713|130355","20250714_2035104_118495_081833","R04_2_SUI_EFG Swiss Open - Gstaad","Cabral/Miedler","Comesana/Etcheverry","|K|0.612304|EK|G||OL1|1.8204|EOL1|OL2|2.8122|EOL2|OH1|2.46|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.85976|ENAOL1|NAOL2|2.7735|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/switzerland/atp-gstaad-doubles/cabral-francisco-miedler-lucas-comesana-francisco-etcheverry-tomas-martin-zF4lzNX9/","","","","","","","","","","1.41","2.74","","","","","","",""
"DM","0000010","20250713|130358","20250714_2035104_121155_103878","R04_2_SUI_EFG Swiss Open - Gstaad","Frantzen/Haase","Matuszewski/Romios","|K|0.592555|EK|G||OL1|1.8759|EOL1|OL2|2.6814|EOL2|OH1|2.535|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.91646|ENAOL1|NAOL2|2.6445|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/switzerland/atp-gstaad-doubles/frantzen-constantin-haase-robin-matuszewski-piotr-romios-matthew-christopher-K4RLHEHr/","","","","","","","","","","1.58","2.26","","","","","","",""
"FSM","0000011","20250713|130411","20250707_2085112_056211_056590","R12_0_USA_M15 San Diego","Smith","Sweeny","|K|0.511159|EK|G||OL1|2.0972|EOL1|OL2|2.1935|EOL2|OH1|196|EOH1|OH2|205|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-4-men/smith-keegan-sweeny-dane-fRasKCnd/#ah;2;-0.50;2","-0.5","1.79","1.98","","","","","","","1.79","1.98","","","","","","",""
"FSM","0000011","20250713|130413","20250707_2085112_056211_056590","R12_0_USA_M15 San Diego","Smith","Sweeny","|K|0.511159|EK|G||OL1|2.0972|EOL1|OL2|2.1935|EOL2|OH1|196|EOH1|OH2|205|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-4-men/smith-keegan-sweeny-dane-fRasKCnd/#ah;2;-2.50;2","-2.5","2.08","1.71","","","","","","","2.08","1.71","","","","","","",""
"FSM","0000011","20250713|130417","20250707_2085112_056211_056590","R12_0_USA_M15 San Diego","Smith","Sweeny","|K|0.511159|EK|G||OL1|2.0972|EOL1|OL2|2.1935|EOL2|OH1|196|EOH1|OH2|205|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-4-men/smith-keegan-sweeny-dane-fRasKCnd/#ah;2;1.50;1","1.5","1.31","3.37","","","","","","","1.31","3.37","","","","","","",""
"FSM","0000011","20250713|130415","20250707_2085112_056211_056590","R12_0_USA_M15 San Diego","Smith","Sweeny","|K|0.511159|EK|G||OL1|2.0972|EOL1|OL2|2.1935|EOL2|OH1|196|EOH1|OH2|205|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-4-men/smith-keegan-sweeny-dane-fRasKCnd/#ah;2;-1.50;1","-1.5","2.8","1.42","","","","","","","2.8","1.42","","","","","","",""
"FSM","0000011","20250713|130402","20250707_2085112_056211_056590","R12_0_USA_M15 San Diego","Smith","Sweeny","|K|0.511159|EK|G||OL1|2.0972|EOL1|OL2|2.1935|EOL2|OH1|196|EOH1|OH2|205|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-san-diego-ca-4-men/smith-keegan-sweeny-dane-fRasKCnd/","","1.76","2.03","","","","","1.68","2.05","1.69","2.05","","","","","","",""
"CSM","0000012","20250713|130428","20250714_2082701_050848_011521","R01_1_CAN_Granby Challenger","Martin","Moriya","|K|0.339747|EK|G||OL1|3.1447|EOL1|OL2|1.64008|EOL2|OH1|295|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2745|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/canada/granby-challenger-men/martin-dan-moriya-hiroki-4xcQlOim/#ah;2;3.50;2","3.5","1.93","1.84","","","","","","","1.93","1.84","","","","","","",""
"CSM","0000012","20250713|130434","20250714_2082701_050848_011521","R01_1_CAN_Granby Challenger","Martin","Moriya","|K|0.339747|EK|G||OL1|3.1447|EOL1|OL2|1.64008|EOL2|OH1|295|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2745|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/granby-challenger-men/martin-dan-moriya-hiroki-4xcQlOim/#ah;2;1.50;1","1.5","1.75","2.04","","","","","","","1.75","2.04","","","","","","",""
"CSM","0000012","20250713|130432","20250714_2082701_050848_011521","R01_1_CAN_Granby Challenger","Martin","Moriya","|K|0.339747|EK|G||OL1|3.1447|EOL1|OL2|1.64008|EOL2|OH1|295|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.2745|ENAOL1|NAOL2|1.6036|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/granby-challenger-men/martin-dan-moriya-hiroki-4xcQlOim/#ah;2;-1.50;1","-1.5","4.52","1.19","","","","","","","4.52","1.19","","","","","","",""
