"DV","0000007","20250716|075755","20250714_1597609_102362_102364","R09_2_GER_European Open - Hamburg","Uchijima/Zheng","Brockmann/Zhenikhova","|K|0.958809|EK|G||OL1|1.43|EOL1|OL2|25.1541|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.0731|ENAOL1|NAOL2|27.6306|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/germany/wta-hamburg-doubles/uchijima-moyuka-zheng-saisai-brockmann-tessa-johanna-zhenikhova-sonja-vsEYhwtS/","","","","","","","","1.1","6.5","1.1","6.5","","","","","","",""
"DV","0000008","20250716|075759","20250714_1597504_102355_035590","R04_2_ROU_UniCredit Iasi Open - Iasi","Cavalle-Reimers/Herrero Linana","Aney/Failla","|K|0.587267|EK|G||OL1|1.78353|EOL1|OL2|2.51748|EOL2|OH1|171|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.74762|ENAOL1|NAOL2|2.76534|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/romania/wta-iasi-doubles/cavalle-reimers-ivonne-herrero-linana-alicia-aney-jessie-failla-jessica-hf3CJZ95/","","","","","","","","","","1.91","1.81","","","","","","",""
"DV","0000009","20250716|075803","20250714_1597504_070233_074892","R04_2_ROU_UniCredit Iasi Open - Iasi","Craciun/Prisacariu","Appleton/Haverlag","|K|0.106153|EK|G||OL1|9.76948|EOL1|OL2|1.43|EOL2|OH1|1|EOH1|OH2|112|EOH2|EG|NA||NAOL1|10.7313|ENAOL1|NAOL2|1.14464|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/romania/wta-iasi-doubles/craciun-georgia-andreea-prisacariu-andreea-appleton-emily-haverlag-isabelle-zwL2UjON/","","","","","","","","5.0","1.16","5.0","1.16","","","","","","",""
"DM","0000010","20250716|075807","20250714_2035204_118110_091045","R04_2_MEX_Mifel Tennis Open - Los Cabos","Romboli/Smith","Cash/Tracy","|K|0.501695|EK|G||OL1|2.18|EOL1|OL2|2.1909|EOL2|OH1|200|EOH1|OH2|201|EOH2|EG|NA||NAOL1|2.15|ENAOL1|NAOL2|2.16075|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/atp-los-cabos-doubles/romboli-fernando-smith-john-patrick-cash-robert-tracy-james-r5wXKnYr/","","","","","","","","","","1.84","1.85","","","","","","",""
"FSM","0000011","20250716|075820","20250714_2087005_012276_089272","R05_0_COL_M15 Bucaramanga","Gomez","Price","|K|0.548222|EK|G||OL1|1.9581|EOL1|OL2|2.24886|EOL2|OH1|183|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/gomez-juan-sebastian-price-salvador-6XFoQZjo/#ah;2;-1.00;2","-1.0","1.73","2.02","","","","","","","1.73","2.02","","","","","","",""
"FSM","0000011","20250716|075818","20250714_2087005_012276_089272","R05_0_COL_M15 Bucaramanga","Gomez","Price","|K|0.548222|EK|G||OL1|1.9581|EOL1|OL2|2.24886|EOL2|OH1|183|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/gomez-juan-sebastian-price-salvador-6XFoQZjo/#ah;2;-1.50;2","-1.5","1.78","1.95","","","","","","","1.78","1.95","","","","","","",""
"FSM","0000011","20250716|075822","20250714_2087005_012276_089272","R05_0_COL_M15 Bucaramanga","Gomez","Price","|K|0.548222|EK|G||OL1|1.9581|EOL1|OL2|2.24886|EOL2|OH1|183|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/gomez-juan-sebastian-price-salvador-6XFoQZjo/#ah;2;1.50;1","1.5","1.3","3.29","","","","","","","1.3","3.29","","","","","","",""
"FSM","0000011","20250716|075821","20250714_2087005_012276_089272","R05_0_COL_M15 Bucaramanga","Gomez","Price","|K|0.548222|EK|G||OL1|1.9581|EOL1|OL2|2.24886|EOL2|OH1|183|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/gomez-juan-sebastian-price-salvador-6XFoQZjo/#ah;2;-1.50;1","-1.5","2.46","1.5","","","","","","","2.46","1.5","","","","","","",""
"FSM","0000011","20250716|075811","20250714_2087005_012276_089272","R05_0_COL_M15 Bucaramanga","Gomez","Price","|K|0.548222|EK|G||OL1|1.9581|EOL1|OL2|2.24886|EOL2|OH1|183|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/gomez-juan-sebastian-price-salvador-6XFoQZjo/","","1.65","2.14","","","","","","","1.58","2.05","","","","","","",""
"FSM","0000012","20250716|075833","20250714_2087005_029810_089087","R05_0_COL_M15 Bucaramanga","Osorio","Castaneda","|K|0.70665|EK|G||OL1|1.5194|EOL1|OL2|3.45433|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/osorio-juan-sebastian-castaneda-mateo-My6oQf8r/#ah;2;-1.50;2","-1.5","1.7","2.05","","","","","","","1.7","2.05","","","","","","",""
"FSM","0000012","20250716|075831","20250714_2087005_029810_089087","R05_0_COL_M15 Bucaramanga","Osorio","Castaneda","|K|0.70665|EK|G||OL1|1.5194|EOL1|OL2|3.45433|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/osorio-juan-sebastian-castaneda-mateo-My6oQf8r/#ah;2;-2.50;2","-2.5","1.84","1.88","","","","","","","1.84","1.88","","","","","","",""
"FSM","0000012","20250716|075836","20250714_2087005_029810_089087","R05_0_COL_M15 Bucaramanga","Osorio","Castaneda","|K|0.70665|EK|G||OL1|1.5194|EOL1|OL2|3.45433|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/osorio-juan-sebastian-castaneda-mateo-My6oQf8r/#ah;2;1.50;1","1.5","1.27","3.49","","","","","","","1.27","3.49","","","","","","",""
"FSM","0000012","20250716|075834","20250714_2087005_029810_089087","R05_0_COL_M15 Bucaramanga","Osorio","Castaneda","|K|0.70665|EK|G||OL1|1.5194|EOL1|OL2|3.45433|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/osorio-juan-sebastian-castaneda-mateo-My6oQf8r/#ah;2;-1.50;1","-1.5","2.33","1.55","","","","","","","2.33","1.55","","","","","","",""
"FSM","0000012","20250716|075826","20250714_2087005_029810_089087","R05_0_COL_M15 Bucaramanga","Osorio","Castaneda","|K|0.70665|EK|G||OL1|1.5194|EOL1|OL2|3.45433|EOL2|OH1|142|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/colombia/itf-m15-bucaramanga-men/osorio-juan-sebastian-castaneda-mateo-My6oQf8r/","","1.58","2.26","","","","","","","1.52","2.17","","","","","","",""
