"DV","0000019","20250731|125158","20250728_1597904_102556_086120","R04_3_CAN_Omnium Banque Nationale - Montreal","Rakhimova/Voskoboeva","Eikeri/Hozumi","|K|0.435927|EK|G||OL1|2.3828|EOL1|OL2|1.85654|EOL2|OH1|1|EOH1|OH2|178|EOH2|EG|NA||NAOL1|2.6174|ENAOL1|NAOL2|1.81916|ENAOL2|NAVE1|-9.3|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/canada/wta-montreal-doubles/rakhimova-kamilla-voskoboeva-galina-eikeri-ulrikke-hozumi-eri-fuFopA4M/","","","","","","","","3.4","1.3","3.4","1.3","","","","","","",""
"FSM","0000020","20250731|125201","20250728_2090205_109290_009403","R05_0_BRA_M15 Joinville","Remondy Pagotto","Pereira","|K|0.0913469|EK|G||OL1|11.0923|EOL1|OL2|1.1877|EOL2|OH1|1|EOH1|OH2|111|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m15-joinville-men/remondy-pagotto-victor-hugo-pereira-jose-Mi89QzdJ/","","","","","","","","7.0","1.07","7.0","1.07","","","","","","",""
"SM","0000022","20250731|125229","20250728_2035606_067546_052140","R06_3_CAN_National Bank Open - Toronto","Cobolli","Marozsan","|K|0.508775|EK|G||OL1|2.2852|EOL1|OL2|2.3664|EOL2|OH1|197|EOH1|OH2|204|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/canada/atp-toronto/cobolli-flavio-marozsan-fabian-0zcBsrk1/#ah;2;-2.50;2","-2.5","","","","","","","2.35","1.55","2.35","1.55","","","","","","",""
"SM","0000022","20250731|125233","20250728_2035606_067546_052140","R06_3_CAN_National Bank Open - Toronto","Cobolli","Marozsan","|K|0.508775|EK|G||OL1|2.2852|EOL1|OL2|2.3664|EOL2|OH1|197|EOH1|OH2|204|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/cobolli-flavio-marozsan-fabian-0zcBsrk1/#ah;2;1.50;1","1.5","","","","","","","1.3","3.45","1.3","3.45","","","","","","",""
"SM","0000022","20250731|125231","20250728_2035606_067546_052140","R06_3_CAN_National Bank Open - Toronto","Cobolli","Marozsan","|K|0.508775|EK|G||OL1|2.2852|EOL1|OL2|2.3664|EOL2|OH1|197|EOH1|OH2|204|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/cobolli-flavio-marozsan-fabian-0zcBsrk1/#ah;2;-1.50;1","-1.5","","","","","","","3.0","1.38","3.0","1.38","","","","","","",""
"SM","0000022","20250731|125219","20250728_2035606_067546_052140","R06_3_CAN_National Bank Open - Toronto","Cobolli","Marozsan","|K|0.508775|EK|G||OL1|2.2852|EOL1|OL2|2.3664|EOL2|OH1|197|EOH1|OH2|204|EOH2|EG|NA||NAOL1|2.1867|ENAOL1|NAOL2|2.2644|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/canada/atp-toronto/cobolli-flavio-marozsan-fabian-0zcBsrk1/","","","","","","","","1.8","2.02","1.8","2.02","","","","","","",""
"SM","0000023","20250731|125248","20250728_2035606_036519_086691","R06_3_CAN_National Bank Open - Toronto","Davidovich Fokina","Mensik","|K|0.526783|EK|G||OL1|2.204|EOL1|OL2|2.4592|EOL2|OH1|190|EOH1|OH2|212|EOH2|EG|NA||NAOL1|2.109|ENAOL1|NAOL2|2.3532|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/davidovich-fokina-alejandro-mensik-jakub-fsYmJD5j/#ah;2;1.50;1","1.5","","","","","","","1.3","3.45","1.3","3.45","","","","","","",""
"SM","0000023","20250731|125246","20250728_2035606_036519_086691","R06_3_CAN_National Bank Open - Toronto","Davidovich Fokina","Mensik","|K|0.526783|EK|G||OL1|2.204|EOL1|OL2|2.4592|EOL2|OH1|190|EOH1|OH2|212|EOH2|EG|NA||NAOL1|2.109|ENAOL1|NAOL2|2.3532|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/davidovich-fokina-alejandro-mensik-jakub-fsYmJD5j/#ah;2;-1.50;1","-1.5","","","","","","","3.0","1.37","3.0","1.37","","","","","","",""
"SM","0000023","20250731|125237","20250728_2035606_036519_086691","R06_3_CAN_National Bank Open - Toronto","Davidovich Fokina","Mensik","|K|0.526783|EK|G||OL1|2.204|EOL1|OL2|2.4592|EOL2|OH1|190|EOH1|OH2|212|EOH2|EG|NA||NAOL1|2.109|ENAOL1|NAOL2|2.3532|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/canada/atp-toronto/davidovich-fokina-alejandro-mensik-jakub-fsYmJD5j/","","","","","","","","1.79","2.02","1.79","2.02","","","","","","",""
"SM","0000024","20250731|125301","20250728_2035606_068627_029932","R06_3_CAN_National Bank Open - Toronto","Diallo","Fritz","|K|0.303821|EK|G||OL1|3.498|EOL1|OL2|1.6704|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/canada/atp-toronto/diallo-gabriel-fritz-taylor-2agcAht2/#ah;2;2.50;2","2.5","","","","","","","2.14","1.68","2.14","1.68","","","","","","",""
"SM","0000024","20250731|125306","20250728_2035606_068627_029932","R06_3_CAN_National Bank Open - Toronto","Diallo","Fritz","|K|0.303821|EK|G||OL1|3.498|EOL1|OL2|1.6704|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/diallo-gabriel-fritz-taylor-2agcAht2/#ah;2;1.50;1","1.5","","","","","","","1.76","2.02","1.76","2.02","","","","","","",""
"SM","0000024","20250731|125304","20250728_2035606_068627_029932","R06_3_CAN_National Bank Open - Toronto","Diallo","Fritz","|K|0.303821|EK|G||OL1|3.498|EOL1|OL2|1.6704|EOL2|OH1|1|EOH1|OH2|144|EOH2|EG|NA||NAOL1|3.6201|ENAOL1|NAOL2|1.5984|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/canada/atp-toronto/diallo-gabriel-fritz-taylor-2agcAht2/#ah;2;-1.50;1","-1.5","","","","","","","6.4","1.12","6.4","1.12","","","","","","",""
