"DV","0000007","20250914|155409","20250908_1598512_049580_102557","R12_2_MEX_Guadalajara Open Akron - Guadalajara","Khromacheva/Melichar-Martinez","Olmos/Sutjiadi","|K|0.679073|EK|G||OL1|1.54364|EOL1|OL2|3.23232|EOL2|OH1|148|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.51256|ENAOL1|NAOL2|3.55056|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-9.3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/mexico/wta-guadalajara-doubles/khromacheva-irina-melichar-nicole-olmos-giuliana-sutjiadi-aldila-vD2TBAWP/","","1.44","2.84","","","","","","","1.38","2.73","","","","","","",""
"FSM","0000008","20250914|155418","20250908_2104012_046407_029610","R12_0_BRA_M25 Cuiaba","Alves","Marcondes","|K|0.602672|EK|G||OL1|1.7762|EOL1|OL2|2.55276|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-cuiaba-men/alves-mateus-2001-marcondes-igor-MRdInCGt/#ah;2;-1.00;2","-1.0","1.7","2.11","","","","","","","1.7","2.11","","","","","","",""
"FSM","0000008","20250914|155420","20250908_2104012_046407_029610","R12_0_BRA_M25 Cuiaba","Alves","Marcondes","|K|0.602672|EK|G||OL1|1.7762|EOL1|OL2|2.55276|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/brazil/itf-m25-cuiaba-men/alves-mateus-2001-marcondes-igor-MRdInCGt/#ah;2;-3.00;2","-3.0","2.17","1.67","","","","","","","2.17","1.67","","","","","","",""
"FSM","0000008","20250914|155423","20250908_2104012_046407_029610","R12_0_BRA_M25 Cuiaba","Alves","Marcondes","|K|0.602672|EK|G||OL1|1.7762|EOL1|OL2|2.55276|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-cuiaba-men/alves-mateus-2001-marcondes-igor-MRdInCGt/#ah;2;1.50;1","1.5","1.26","3.75","","","","","","","1.26","3.75","","","","","","",""
"FSM","0000008","20250914|155422","20250908_2104012_046407_029610","R12_0_BRA_M25 Cuiaba","Alves","Marcondes","|K|0.602672|EK|G||OL1|1.7762|EOL1|OL2|2.55276|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/brazil/itf-m25-cuiaba-men/alves-mateus-2001-marcondes-igor-MRdInCGt/#ah;2;-1.50;1","-1.5","2.48","1.52","","","","","","","2.48","1.52","","","","","","",""
"FSM","0000008","20250914|155413","20250908_2104012_046407_029610","R12_0_BRA_M25 Cuiaba","Alves","Marcondes","|K|0.602672|EK|G||OL1|1.7762|EOL1|OL2|2.55276|EOL2|OH1|166|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/brazil/itf-m25-cuiaba-men/alves-mateus-2001-marcondes-igor-MRdInCGt/","","1.62","2.26","","","","","","","1.56","2.17","","","","","","",""
"CSM","0000009","20250914|155435","20250915_2100501_092573_062465","R01_1_USA_Columbus Challenger","Bigun","Kingsley","|K|0.327428|EK|G||OL1|3.26196|EOL1|OL2|1.60771|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.3966|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/bigun-kaylan-kingsley-cannon-6aMfkByn/#ah;2;4.50;2","4.5","1.57","2.33","","","","","","","1.57","2.33","","","","","","",""
"CSM","0000009","20250914|155434","20250915_2100501_092573_062465","R01_1_USA_Columbus Challenger","Bigun","Kingsley","|K|0.327428|EK|G||OL1|3.26196|EOL1|OL2|1.60771|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.3966|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/bigun-kaylan-kingsley-cannon-6aMfkByn/#ah;2;3.50;2","3.5","1.88","1.88","","","","","","","1.88","1.88","","","","","","",""
"CSM","0000009","20250914|155439","20250915_2100501_092573_062465","R01_1_USA_Columbus Challenger","Bigun","Kingsley","|K|0.327428|EK|G||OL1|3.26196|EOL1|OL2|1.60771|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.3966|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/bigun-kaylan-kingsley-cannon-6aMfkByn/#ah;2;1.50;1","1.5","1.73","2.07","","","","","","","1.73","2.07","","","","","","",""
"CSM","0000009","20250914|155437","20250915_2100501_092573_062465","R01_1_USA_Columbus Challenger","Bigun","Kingsley","|K|0.327428|EK|G||OL1|3.26196|EOL1|OL2|1.60771|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.3966|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/bigun-kaylan-kingsley-cannon-6aMfkByn/#ah;2;-1.50;1","-1.5","4.42","1.2","","","","","","","4.42","1.2","","","","","","",""
"CSM","0000009","20250914|155428","20250915_2100501_092573_062465","R01_1_USA_Columbus Challenger","Bigun","Kingsley","|K|0.327428|EK|G||OL1|3.26196|EOL1|OL2|1.60771|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|3.3966|ENAOL1|NAOL2|1.57195|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/usa/columbus-challenger-men/bigun-kaylan-kingsley-cannon-6aMfkByn/","","2.77","1.43","","","","","","","2.66","1.37","","","","","","",""
