"CDM","0000019","20251023|075756","20251020_2111709_093549_123515","R09_1_FRA_Brest Challenger","Reymond/Sanchez","Paris/Withrow","|K|0.485975|EK|G||OL1|2.10326|EOL1|OL2|1.99095|EOL2|OH1|206|EOH1|OH2|195|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/france/brest-challenger-men-doubles/reymond-arthur-sanchez-luca-paris-joshua-withrow-jackson-tt7taNYI/","","","","","","","","","","2.06","1.68","","","","","","",""
"CDV","0000020","20251023|075756","20251020_1654909_053375_104792","R09_1_ITA_Torneo Internazionale - Rovereto","Skoch/Maleckova","Bayerlova/Zelnickova","|K|0.845911|EK|G||OL1|1.3|EOL1|OL2|6.66523|EOL2|OH1|1.7255|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"DM","0000021","20251023|075800","20251020_2037104_124002_118110","R04_2_AUT_Erste Bank Open - Vienna","Andreozzi/Darderi","Romboli/Smith","|K|0.47474|EK|G||OL1|2.2999|EOL1|OL2|2.1201|EOL2|OH1|211|EOH1|OH2|2.865|EOH2|EG|NA||NAOL1|2.26825|ENAOL1|NAOL2|2.16594|ENAOL2|NAVE1|-4|ENAVE1|NAVE2|-7|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/austria/atp-vienna-doubles/andreozzi-guido-darderi-luciano-romboli-fernando-smith-john-patrick-YRHmxRZr/","","2.3","1.62","","","","","","","2.21","1.56","","","","","","",""
"DM","0000022","20251023|075804","20251020_2037104_118495_121155","R04_2_AUT_Erste Bank Open - Vienna","Cabral/Miedler","Frantzen/Haase","|K|0.584905|EK|G||OL1|1.8981|EOL1|OL2|2.6269|EOL2|OH1|2.565|EOH1|OH2|241|EOH2|EG|NA||NAOL1|1.93914|ENAOL1|NAOL2|2.59075|ENAOL2|NAVE1|-7|ENAVE1|NAVE2|-4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/austria/atp-vienna-doubles/cabral-francisco-miedler-lucas-frantzen-constantin-haase-robin-tUx9q9s9/","","1.8","2.01","","","","","","","1.73","1.93","","","","","","",""
"FSM","0000023","20251023|075814","20251020_2115905_023099_091543","R05_0_CHI_M15 Santiago","Casanova","Cavallo","|K|0.857024|EK|G||OL1|1.2519|EOL1|OL2|7.091|EOL2|OH1|117|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/casanova-hernan-cavallo-fernando-feZkL7eE/#ah;2;-6.50;2","-6.5","1.84","1.88","","","","","","","1.84","1.88","","","","","","",""
"FSM","0000023","20251023|075807","20251020_2115905_023099_091543","R05_0_CHI_M15 Santiago","Casanova","Cavallo","|K|0.857024|EK|G||OL1|1.2519|EOL1|OL2|7.091|EOL2|OH1|117|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/casanova-hernan-cavallo-fernando-feZkL7eE/","","","","","","","","","","1.02","6.6","","","","","","",""
"FSM","0000024","20251023|075829","20251020_2115905_075230_086275","R05_0_CHI_M15 Santiago","Cigarran","La Serna","|K|0.132365|EK|G||OL1|7.65828|EOL1|OL2|1.2412|EOL2|OH1|1|EOH1|OH2|116|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/cigarran-thiago-la-serna-juan-manuel-IgvVB3I0/#ah;2;5.50;2","5.5","1.8","1.93","","","","","","","1.8","1.93","","","","","","",""
"FSM","0000024","20251023|075831","20251020_2115905_075230_086275","R05_0_CHI_M15 Santiago","Cigarran","La Serna","|K|0.132365|EK|G||OL1|7.65828|EOL1|OL2|1.2412|EOL2|OH1|1|EOH1|OH2|116|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/cigarran-thiago-la-serna-juan-manuel-IgvVB3I0/#ah;2;5.00;2","5.0","2.02","1.71","","","","","","","2.02","1.71","","","","","","",""
"FSM","0000024","20251023|075834","20251020_2115905_075230_086275","R05_0_CHI_M15 Santiago","Cigarran","La Serna","|K|0.132365|EK|G||OL1|7.65828|EOL1|OL2|1.2412|EOL2|OH1|1|EOH1|OH2|116|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/cigarran-thiago-la-serna-juan-manuel-IgvVB3I0/#ah;2;1.50;1","1.5","2.31","1.56","","","","","","","2.31","1.56","","","","","","",""
"FSM","0000024","20251023|075833","20251020_2115905_075230_086275","R05_0_CHI_M15 Santiago","Cigarran","La Serna","|K|0.132365|EK|G||OL1|7.65828|EOL1|OL2|1.2412|EOL2|OH1|1|EOH1|OH2|116|EOH2|EG|NA|NOT|ENA|","AHS","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/cigarran-thiago-la-serna-juan-manuel-IgvVB3I0/#ah;2;-1.50;1","-1.5","7.08","1.08","","","","","","","7.08","1.08","","","","","","",""
"FSM","0000024","20251023|075822","20251020_2115905_075230_086275","R05_0_CHI_M15 Santiago","Cigarran","La Serna","|K|0.132365|EK|G||OL1|7.65828|EOL1|OL2|1.2412|EOL2|OH1|1|EOH1|OH2|116|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/chile/itf-m15-santiago-6-men/cigarran-thiago-la-serna-juan-manuel-IgvVB3I0/","","4.45","1.18","","","","","","","4.27","1.13","","","","","","",""
