"FSM","0000032","20251030|171846","20251027_2117209_051568_076126","R09_0_JPN_M15 Yanagawa City","Kawahashi","Saitoh","|K|0.487868|EK|G||OL1|2.1935|EOL1|OL2|2.0972|EOL2|OH1|205|EOH1|OH2|196|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-m15-yanagawa-city-men/kawahashi-yuta-saitoh-keisuke-rw5MUZ0m/","","","","","","","","","","1.79","1.92","","","","","","",""
"FSM","0000033","20251030|171902","20251027_2117209_088050_009997","R09_0_JPN_M15 Yanagawa City","Shick","Suzuki","|K|0.943606|EK|G||OL1|1.18|EOL1|OL2|17.9706|EOL2|OH1|106|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/japan/itf-m15-yanagawa-city-men/shick-braden-suzuki-ko-ripeqZFt/","","","","","","","","","","1.14","5.04","","","","","","",""
"CSM","0000034","20251030|171923","20251027_2112109_044555_026218","R09_1_KOR_Seoul Challenger","Rodionov","Ymer","|K|0.569767|EK|G||OL1|1.89904|EOL1|OL2|2.48378|EOL2|OH1|2.464|EOH1|OH2|233|EOH2|EG|NA||NAOL1|1.8568|ENAOL1|NAOL2|2.5863|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/south-korea/seoul-challenger-men/rodionov-jurij-ymer-elias-nBBwQdcS/#ah;2;-1.50;2","-1.5","1.96","1.89","","","","","","","1.96","1.89","","","","","","",""
"CSM","0000034","20251030|171925","20251027_2112109_044555_026218","R09_1_KOR_Seoul Challenger","Rodionov","Ymer","|K|0.569767|EK|G||OL1|1.89904|EOL1|OL2|2.48378|EOL2|OH1|2.464|EOH1|OH2|233|EOH2|EG|NA||NAOL1|1.8568|ENAOL1|NAOL2|2.5863|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/south-korea/seoul-challenger-men/rodionov-jurij-ymer-elias-nBBwQdcS/#ah;2;-2.50;2","-2.5","2.16","1.72","","","","","","","2.16","1.72","","","","","","",""
"CSM","0000034","20251030|171928","20251027_2112109_044555_026218","R09_1_KOR_Seoul Challenger","Rodionov","Ymer","|K|0.569767|EK|G||OL1|1.89904|EOL1|OL2|2.48378|EOL2|OH1|2.464|EOH1|OH2|233|EOH2|EG|NA||NAOL1|1.8568|ENAOL1|NAOL2|2.5863|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/south-korea/seoul-challenger-men/rodionov-jurij-ymer-elias-nBBwQdcS/#ah;2;1.50;1","1.5","1.29","3.82","","","","","","","1.29","3.82","","","","","","",""
"CSM","0000034","20251030|171927","20251027_2112109_044555_026218","R09_1_KOR_Seoul Challenger","Rodionov","Ymer","|K|0.569767|EK|G||OL1|1.89904|EOL1|OL2|2.48378|EOL2|OH1|2.464|EOH1|OH2|233|EOH2|EG|NA||NAOL1|1.8568|ENAOL1|NAOL2|2.5863|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/south-korea/seoul-challenger-men/rodionov-jurij-ymer-elias-nBBwQdcS/#ah;2;-1.50;1","-1.5","2.86","1.45","","","","","","","2.86","1.45","","","","","","",""
"CSM","0000034","20251030|171918","20251027_2112109_044555_026218","R09_1_KOR_Seoul Challenger","Rodionov","Ymer","|K|0.569767|EK|G||OL1|1.89904|EOL1|OL2|2.48378|EOL2|OH1|2.464|EOH1|OH2|233|EOH2|EG|NA||NAOL1|1.8568|ENAOL1|NAOL2|2.5863|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/south-korea/seoul-challenger-men/rodionov-jurij-ymer-elias-nBBwQdcS/","","1.75","2.14","","","","","","","1.68","2.05","","","","","","",""
"SV","0000035","20251030|171941","20251027_1599509_045540_034747","R09_2_CHN_Jiangxi Open - Jiujiang","Parks","Blinkova","|K|0.465884|EK|G||OL1|2.2145|EOL1|OL2|2.1432|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA||NAOL1|2.34565|ENAOL1|NAOL2|2.1056|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/china/wta-jiujiang/parks-alycia-blinkova-anna-h0b55giI/#ah;2;1.50;2","1.5","1.85","1.99","","","","","","","1.85","1.99","","","","","","",""
"SV","0000035","20251030|171945","20251027_1599509_045540_034747","R09_2_CHN_Jiangxi Open - Jiujiang","Parks","Blinkova","|K|0.465884|EK|G||OL1|2.2145|EOL1|OL2|2.1432|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA||NAOL1|2.34565|ENAOL1|NAOL2|2.1056|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/china/wta-jiujiang/parks-alycia-blinkova-anna-h0b55giI/#ah;2;1.50;1","1.5","1.45","2.87","","","","","","","1.45","2.87","","","","","","",""
"SV","0000035","20251030|171943","20251027_1599509_045540_034747","R09_2_CHN_Jiangxi Open - Jiujiang","Parks","Blinkova","|K|0.465884|EK|G||OL1|2.2145|EOL1|OL2|2.1432|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA||NAOL1|2.34565|ENAOL1|NAOL2|2.1056|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/china/wta-jiujiang/parks-alycia-blinkova-anna-h0b55giI/#ah;2;-1.50;1","-1.5","3.34","1.35","","","","","","","3.34","1.35","","","","","","",""
"SV","0000035","20251030|171932","20251027_1599509_045540_034747","R09_2_CHN_Jiangxi Open - Jiujiang","Parks","Blinkova","|K|0.465884|EK|G||OL1|2.2145|EOL1|OL2|2.1432|EOL2|OH1|215|EOH1|OH2|188|EOH2|EG|NA||NAOL1|2.34565|ENAOL1|NAOL2|2.1056|ENAOL2|NAVE1|-2|ENAVE1|NAVE2|-5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/china/wta-jiujiang/parks-alycia-blinkova-anna-h0b55giI/","","2.06","1.83","","","","","","","1.98","1.76","","","","","","",""
