"FSM","0000025","20251104|123437","20251103_2120804_067838_064479","R04_0_TUN_M25 Monastir","Donnet","Strombachs","|K|0.506175|EK|G||OL1|2.1186|EOL1|OL2|2.1721|EOL2|OH1|198|EOH1|OH2|203|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000026","20251104|123437","20251103_2120804_050118_078285","R04_0_TUN_M25 Monastir","Erhard","Blanch","|K|0.549954|EK|G||OL1|1.9474|EOL1|OL2|2.25899|EOL2|OH1|182|EOH1|OH2|223|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"FSM","0000027","20251104|123437","20251103_2120804_045300_029462","R04_0_TUN_M25 Monastir","Ouakaa","Geerts","|K|0.148747|EK|G||OL1|6.81749|EOL1|OL2|1.2626|EOL2|OH1|1|EOH1|OH2|118|EOH2|EG|NA|NOT|ENA|","","-","","","","","","","","","","","","","","","","","",""
"SM","0000028","20251104|123452","20251103_2037305_070873_027851","R05_2_FRA_Moselle Open - Metz","Cazaux","Norrie","|K|0.493194|EK|G||OL1|2.3548|EOL1|OL2|2.2968|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-metz/cazaux-arthur-norrie-cameron-bFvq1G4j/#ah;2;1.50;2","1.5","1.76","2.11","","","","","","","1.76","2.11","","","","","","",""
"SM","0000028","20251104|123450","20251103_2037305_070873_027851","R05_2_FRA_Moselle Open - Metz","Cazaux","Norrie","|K|0.493194|EK|G||OL1|2.3548|EOL1|OL2|2.2968|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-metz/cazaux-arthur-norrie-cameron-bFvq1G4j/#ah;2;0.50;2","0.5","1.93","1.92","","","","","","","1.93","1.92","","","","","","",""
"SM","0000028","20251104|123455","20251103_2037305_070873_027851","R05_2_FRA_Moselle Open - Metz","Cazaux","Norrie","|K|0.493194|EK|G||OL1|2.3548|EOL1|OL2|2.2968|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-metz/cazaux-arthur-norrie-cameron-bFvq1G4j/#ah;2;1.50;1","1.5","1.4","3.11","","","","","","","1.4","3.11","","","","","","",""
"SM","0000028","20251104|123453","20251103_2037305_070873_027851","R05_2_FRA_Moselle Open - Metz","Cazaux","Norrie","|K|0.493194|EK|G||OL1|2.3548|EOL1|OL2|2.2968|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-metz/cazaux-arthur-norrie-cameron-bFvq1G4j/#ah;2;-1.50;1","-1.5","3.52","1.32","","","","","","","3.52","1.32","","","","","","",""
"SM","0000028","20251104|123444","20251103_2037305_070873_027851","R05_2_FRA_Moselle Open - Metz","Cazaux","Norrie","|K|0.493194|EK|G||OL1|2.3548|EOL1|OL2|2.2968|EOL2|OH1|203|EOH1|OH2|198|EOH2|EG|NA||NAOL1|2.2533|ENAOL1|NAOL2|2.1978|ENAOL2|NAVE1|-2.4|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-metz/cazaux-arthur-norrie-cameron-bFvq1G4j/","","2.06","1.82","","","","","","","1.98","1.75","","","","","","",""
"SM","0000029","20251104|123509","20251103_2037305_028904_024245","R05_2_FRA_Moselle Open - Metz","Sachko","Bublik","|K|0.111662|EK|G||OL1|9.4976|EOL1|OL2|1.3108|EOL2|OH1|1|EOH1|OH2|113|EOH2|EG|NA||NAOL1|9.82912|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-metz/sachko-vitaliy-bublik-alexander-lliffvHP/#ah;2;5.50;2","5.5","1.64","2.31","","","","","","","1.64","2.31","","","","","","",""
"SM","0000029","20251104|123510","20251103_2037305_028904_024245","R05_2_FRA_Moselle Open - Metz","Sachko","Bublik","|K|0.111662|EK|G||OL1|9.4976|EOL1|OL2|1.3108|EOL2|OH1|1|EOH1|OH2|113|EOH2|EG|NA||NAOL1|9.82912|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/france/atp-metz/sachko-vitaliy-bublik-alexander-lliffvHP/#ah;2;4.50;2","4.5","2.26","1.67","","","","","","","2.26","1.67","","","","","","",""
"SM","0000029","20251104|123514","20251103_2037305_028904_024245","R05_2_FRA_Moselle Open - Metz","Sachko","Bublik","|K|0.111662|EK|G||OL1|9.4976|EOL1|OL2|1.3108|EOL2|OH1|1|EOH1|OH2|113|EOH2|EG|NA||NAOL1|9.82912|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-metz/sachko-vitaliy-bublik-alexander-lliffvHP/#ah;2;1.50;1","1.5","3.01","1.42","","","","","","","3.01","1.42","","","","","","",""
"SM","0000029","20251104|123512","20251103_2037305_028904_024245","R05_2_FRA_Moselle Open - Metz","Sachko","Bublik","|K|0.111662|EK|G||OL1|9.4976|EOL1|OL2|1.3108|EOL2|OH1|1|EOH1|OH2|113|EOH2|EG|NA||NAOL1|9.82912|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/france/atp-metz/sachko-vitaliy-bublik-alexander-lliffvHP/#ah;2;-1.50;1","-1.5","14.03","1.05","","","","","","","14.03","1.05","","","","","","",""
"SM","0000029","20251104|123503","20251103_2037305_028904_024245","R05_2_FRA_Moselle Open - Metz","Sachko","Bublik","|K|0.111662|EK|G||OL1|9.4976|EOL1|OL2|1.3108|EOL2|OH1|1|EOH1|OH2|113|EOH2|EG|NA||NAOL1|9.82912|ENAOL1|NAOL2|1.2543|ENAOL2|NAVE1|-4.3|ENAVE1|NAVE2|-2.4|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/france/atp-metz/sachko-vitaliy-bublik-alexander-lliffvHP/","","7.75","1.11","","","","","","","7.44","1.07","","","","","","",""
"CSV","0000030","20251104|123530","20251103_1661104_012570_072821","R04_1_ARG_Tucuman Open - Tucuman","Pigossi","Markus","|K|0.882306|EK|G||OL1|1.3|EOL1|OL2|8.704|EOL2|OH1|1.596|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/tucuman-challenger-women/pigossi-laura-markus-carla-xEciVzxK/#ah;2;-6.50;2","-6.5","1.91","1.91","","","","","","","1.91","1.91","","","","","","",""
"CSV","0000030","20251104|123531","20251103_1661104_012570_072821","R04_1_ARG_Tucuman Open - Tucuman","Pigossi","Markus","|K|0.882306|EK|G||OL1|1.3|EOL1|OL2|8.704|EOL2|OH1|1.596|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","AHG","https://www.oddsportal.com/tennis/argentina/tucuman-challenger-women/pigossi-laura-markus-carla-xEciVzxK/#ah;2;-7.50;2","-7.5","2.65","1.48","","","","","","","2.65","1.48","","","","","","",""
