"FSM","0000008","20251112|140630","20251110_2122704_103822_095876","R04_0_USA_M15 Orlando","Paardekooper","Vulpitta","|K|0.540281|EK|G||OL1|1.9902|EOL1|OL2|2.3326|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m15-orlando-fl-3-men/paardekooper-stijn-vulpitta-gabriele-W4AQB2O8/","","","","","","","","","","1.72","1.87","","","","","","",""
"FSM","0000009","20251112|140650","20251110_2121904_050382_092048","R04_0_USA_M25 Columbus","Jubb","Rankin","|K|0.92399|EK|G||OL1|1.18|EOL1|OL2|13.3311|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/usa/itf-m25-columbus-oh-men/jubb-paul-rankin-matthew-hn1FrDD5/","","","","","","","","","","1.08","6.93","","","","","","",""
"CSM","0000010","20251112|140703","20251110_2118305_079113_079088","R05_1_URU_Montevideo Challenger","Buse","Gaubas","|K|0.682804|EK|G||OL1|1.58613|EOL1|OL2|3.36856|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5076|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/montevideo-challenger-men/buse-ignacio-gaubas-vilius-b1HdUfCC/#ah;2;-2.50;2","-2.5","1.74","2.1","","","","","","","1.74","2.1","","","","","","",""
"CSM","0000010","20251112|140705","20251110_2118305_079113_079088","R05_1_URU_Montevideo Challenger","Buse","Gaubas","|K|0.682804|EK|G||OL1|1.58613|EOL1|OL2|3.36856|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5076|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/uruguay/montevideo-challenger-men/buse-ignacio-gaubas-vilius-b1HdUfCC/#ah;2;-3.50;2","-3.5","1.99","1.83","","","","","","","1.99","1.83","","","","","","",""
"CSM","0000010","20251112|140709","20251110_2118305_079113_079088","R05_1_URU_Montevideo Challenger","Buse","Gaubas","|K|0.682804|EK|G||OL1|1.58613|EOL1|OL2|3.36856|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5076|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/montevideo-challenger-men/buse-ignacio-gaubas-vilius-b1HdUfCC/#ah;2;1.50;1","1.5","1.21","4.55","","","","","","","1.21","4.55","","","","","","",""
"CSM","0000010","20251112|140707","20251110_2118305_079113_079088","R05_1_URU_Montevideo Challenger","Buse","Gaubas","|K|0.682804|EK|G||OL1|1.58613|EOL1|OL2|3.36856|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5076|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/uruguay/montevideo-challenger-men/buse-ignacio-gaubas-vilius-b1HdUfCC/#ah;2;-1.50;1","-1.5","2.28","1.64","","","","","","","2.28","1.64","","","","","","",""
"CSM","0000010","20251112|140658","20251110_2118305_079113_079088","R05_1_URU_Montevideo Challenger","Buse","Gaubas","|K|0.682804|EK|G||OL1|1.58613|EOL1|OL2|3.36856|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.55085|ENAOL1|NAOL2|3.5076|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/uruguay/montevideo-challenger-men/buse-ignacio-gaubas-vilius-b1HdUfCC/","","1.49","2.65","","","","","","","1.43","2.54","","","","","","",""
"CSM","0000011","20251112|140723","20251110_2118505_013796_089501","R05_1_USA_Champaign Challenger","Stebe","Hara Friend","|K|0.576528|EK|G||OL1|1.87746|EOL1|OL2|2.52642|EOL2|OH1|1|EOH1|OH2|237|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6307|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/champaign-challenger-men/stebe-cedrik-marcel-friend-jay-dylan-hara-0ADfD8zS/#ah;2;-0.50;2","-0.5","1.76","2.07","","","","","","","1.76","2.07","","","","","","",""
"CSM","0000011","20251112|140725","20251110_2118505_013796_089501","R05_1_USA_Champaign Challenger","Stebe","Hara Friend","|K|0.576528|EK|G||OL1|1.87746|EOL1|OL2|2.52642|EOL2|OH1|1|EOH1|OH2|237|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6307|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/usa/champaign-challenger-men/stebe-cedrik-marcel-friend-jay-dylan-hara-0ADfD8zS/#ah;2;-1.50;2","-1.5","1.88","1.93","","","","","","","1.88","1.93","","","","","","",""
"CSM","0000011","20251112|140729","20251110_2118505_013796_089501","R05_1_USA_Champaign Challenger","Stebe","Hara Friend","|K|0.576528|EK|G||OL1|1.87746|EOL1|OL2|2.52642|EOL2|OH1|1|EOH1|OH2|237|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6307|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/champaign-challenger-men/stebe-cedrik-marcel-friend-jay-dylan-hara-0ADfD8zS/#ah;2;1.50;1","1.5","1.3","3.56","","","","","","","1.3","3.56","","","","","","",""
"CSM","0000011","20251112|140727","20251110_2118505_013796_089501","R05_1_USA_Champaign Challenger","Stebe","Hara Friend","|K|0.576528|EK|G||OL1|1.87746|EOL1|OL2|2.52642|EOL2|OH1|1|EOH1|OH2|237|EOH2|EG|NA||NAOL1|1.8357|ENAOL1|NAOL2|2.6307|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/usa/champaign-challenger-men/stebe-cedrik-marcel-friend-jay-dylan-hara-0ADfD8zS/#ah;2;-1.50;1","-1.5","2.75","1.46","","","","","","","2.75","1.46","","","","","","",""
