"FSM","0000007","20251114|164240","20251110_2122210_051568_036897","R10_0_MAS_M15 Kuala Lumpur","Kawahashi","Zhu","|K|0.42504|EK|G||OL1|2.39068|EOL1|OL2|1.8618|EOL2|OH1|236|EOH1|OH2|174|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/malaysia/itf-m15-kuala-lumpur-men/kawahashi-yuta-zhu-evan-4UEN7dsh/","","","","","","","","","","2.06","1.59","","","","","","",""
"CSM","0000008","20251114|164309","20251110_2118410_029953_095461","R10_1_AUS_Brisbane 3 Challenger","Wu","Matsuoka","|K|0.753406|EK|G||OL1|1.43507|EOL1|OL2|4.32796|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5066|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/wu-tung-lin-matsuoka-hayato-n1GQYLaC/#ah;2;-2.50;2","-2.5","1.72","2.17","","","","","","","1.72","2.17","","","","","","",""
"CSM","0000008","20251114|164307","20251110_2118410_029953_095461","R10_1_AUS_Brisbane 3 Challenger","Wu","Matsuoka","|K|0.753406|EK|G||OL1|1.43507|EOL1|OL2|4.32796|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5066|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/wu-tung-lin-matsuoka-hayato-n1GQYLaC/#ah;2;-3.50;2","-3.5","1.97","1.88","","","","","","","1.97","1.88","","","","","","",""
"CSM","0000008","20251114|164313","20251110_2118410_029953_095461","R10_1_AUS_Brisbane 3 Challenger","Wu","Matsuoka","|K|0.753406|EK|G||OL1|1.43507|EOL1|OL2|4.32796|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5066|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/wu-tung-lin-matsuoka-hayato-n1GQYLaC/#ah;2;1.50;1","1.5","1.21","4.79","","","","","","","1.21","4.79","","","","","","",""
"CSM","0000008","20251114|164311","20251110_2118410_029953_095461","R10_1_AUS_Brisbane 3 Challenger","Wu","Matsuoka","|K|0.753406|EK|G||OL1|1.43507|EOL1|OL2|4.32796|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5066|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/wu-tung-lin-matsuoka-hayato-n1GQYLaC/#ah;2;-1.50;1","-1.5","2.22","1.7","","","","","","","2.22","1.7","","","","","","",""
"CSM","0000008","20251114|164301","20251110_2118410_029953_095461","R10_1_AUS_Brisbane 3 Challenger","Wu","Matsuoka","|K|0.753406|EK|G||OL1|1.43507|EOL1|OL2|4.32796|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.40315|ENAOL1|NAOL2|4.5066|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/brisbane-3-challenger-men/wu-tung-lin-matsuoka-hayato-n1GQYLaC/","","1.5","2.7","","","","","","","1.44","2.59","","","","","","",""
"CSM","0000009","20251114|164330","20251110_2118710_047557_032729","R10_1_JPN_Kobe Challenger","Tseng","Watanuki","|K|0.346052|EK|G||OL1|3.08074|EOL1|OL2|1.65087|EOL2|OH1|289|EOH1|OH2|2.142|EOH2|EG|NA||NAOL1|3.2079|ENAOL1|NAOL2|1.61415|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/japan/kobe-challenger-men/tseng-chun-hsin-watanuki-yosuke-1998-vXxVFMBN/#ah;2;3.50;2","3.5","1.65","2.3","","","","","","","1.65","2.3","","","","","","",""
"CSM","0000009","20251114|164329","20251110_2118710_047557_032729","R10_1_JPN_Kobe Challenger","Tseng","Watanuki","|K|0.346052|EK|G||OL1|3.08074|EOL1|OL2|1.65087|EOL2|OH1|289|EOH1|OH2|2.142|EOH2|EG|NA||NAOL1|3.2079|ENAOL1|NAOL2|1.61415|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/japan/kobe-challenger-men/tseng-chun-hsin-watanuki-yosuke-1998-vXxVFMBN/#ah;2;2.50;2","2.5","1.94","1.91","","","","","","","1.94","1.91","","","","","","",""
"CSM","0000009","20251114|164333","20251110_2118710_047557_032729","R10_1_JPN_Kobe Challenger","Tseng","Watanuki","|K|0.346052|EK|G||OL1|3.08074|EOL1|OL2|1.65087|EOL2|OH1|289|EOH1|OH2|2.142|EOH2|EG|NA||NAOL1|3.2079|ENAOL1|NAOL2|1.61415|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/japan/kobe-challenger-men/tseng-chun-hsin-watanuki-yosuke-1998-vXxVFMBN/#ah;2;1.50;1","1.5","1.57","2.49","","","","","","","1.57","2.49","","","","","","",""
"CSM","0000009","20251114|164332","20251110_2118710_047557_032729","R10_1_JPN_Kobe Challenger","Tseng","Watanuki","|K|0.346052|EK|G||OL1|3.08074|EOL1|OL2|1.65087|EOL2|OH1|289|EOH1|OH2|2.142|EOH2|EG|NA||NAOL1|3.2079|ENAOL1|NAOL2|1.61415|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/japan/kobe-challenger-men/tseng-chun-hsin-watanuki-yosuke-1998-vXxVFMBN/#ah;2;-1.50;1","-1.5","4.34","1.24","","","","","","","4.34","1.24","","","","","","",""
"CSM","0000009","20251114|164321","20251110_2118710_047557_032729","R10_1_JPN_Kobe Challenger","Tseng","Watanuki","|K|0.346052|EK|G||OL1|3.08074|EOL1|OL2|1.65087|EOL2|OH1|289|EOH1|OH2|2.142|EOH2|EG|NA||NAOL1|3.2079|ENAOL1|NAOL2|1.61415|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/japan/kobe-challenger-men/tseng-chun-hsin-watanuki-yosuke-1998-vXxVFMBN/","","2.52","1.56","","","","","","","2.42","1.5","","","","","","",""
