"CDM","0000007","20251120|140200","20251117_2118909_124827_098408","R09_1_ITA_Bergamo Challenger","Maestrelli/Travaglia","Paris/Willis","|K|0.418715|EK|G||OL1|2.44019|EOL1|OL2|1.75768|EOL2|OH1|239|EOH1|OH2|173|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/italy/challenger-men-doubles-bergamo/maestrelli-francesco-travaglia-stefano-paris-joshua-willis-marcus-banfhZUb/","","","","","","","","","","2.64","1.42","","","","","","",""
"FSM","0000008","20251120|140208","20251117_2123605_096934_104665","R05_0_BOL_M25 Cochabamba","Voelzke","Covato","|K|0.140853|EK|G||OL1|7.1923|EOL1|OL2|1.2519|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/bolivia/itf-men-singles-m25-cochabamba/voelzke-gray-covato-matteo-86uCuLln/","","","","","","","","","","3.95","1.22","","","","","","",""
"CSM","0000009","20251120|140237","20251117_2119309_011517_056590","R09_1_AUS_Sydney Challenger","Duckworth","Sweeny","|K|0.668866|EK|G||OL1|1.6185|EOL1|OL2|3.21932|EOL2|OH1|2.1|EOH1|OH2|302|EOH2|EG|NA||NAOL1|1.5825|ENAOL1|NAOL2|3.3522|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-sydney/duckworth-james-sweeny-dane-G6aT4yIc/#ah;2;-2.50;2","-2.5","1.79","2.06","","","","","","","1.79","2.06","","","","","","",""
"CSM","0000009","20251120|140236","20251117_2119309_011517_056590","R09_1_AUS_Sydney Challenger","Duckworth","Sweeny","|K|0.668866|EK|G||OL1|1.6185|EOL1|OL2|3.21932|EOL2|OH1|2.1|EOH1|OH2|302|EOH2|EG|NA||NAOL1|1.5825|ENAOL1|NAOL2|3.3522|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-sydney/duckworth-james-sweeny-dane-G6aT4yIc/#ah;2;-3.50;2","-3.5","2.1","1.76","","","","","","","2.1","1.76","","","","","","",""
"CSM","0000009","20251120|140241","20251117_2119309_011517_056590","R09_1_AUS_Sydney Challenger","Duckworth","Sweeny","|K|0.668866|EK|G||OL1|1.6185|EOL1|OL2|3.21932|EOL2|OH1|2.1|EOH1|OH2|302|EOH2|EG|NA||NAOL1|1.5825|ENAOL1|NAOL2|3.3522|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/challenger-men-singles-sydney/duckworth-james-sweeny-dane-G6aT4yIc/#ah;2;1.50;1","1.5","1.22","4.51","","","","","","","1.22","4.51","","","","","","",""
"CSM","0000009","20251120|140239","20251117_2119309_011517_056590","R09_1_AUS_Sydney Challenger","Duckworth","Sweeny","|K|0.668866|EK|G||OL1|1.6185|EOL1|OL2|3.21932|EOL2|OH1|2.1|EOH1|OH2|302|EOH2|EG|NA||NAOL1|1.5825|ENAOL1|NAOL2|3.3522|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/challenger-men-singles-sydney/duckworth-james-sweeny-dane-G6aT4yIc/#ah;2;-1.50;1","-1.5","2.31","1.65","","","","","","","2.31","1.65","","","","","","",""
"CSM","0000009","20251120|140227","20251117_2119309_011517_056590","R09_1_AUS_Sydney Challenger","Duckworth","Sweeny","|K|0.668866|EK|G||OL1|1.6185|EOL1|OL2|3.21932|EOL2|OH1|2.1|EOH1|OH2|302|EOH2|EG|NA||NAOL1|1.5825|ENAOL1|NAOL2|3.3522|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/challenger-men-singles-sydney/duckworth-james-sweeny-dane-G6aT4yIc/","","1.52","2.62","","","","","","","1.46","2.52","","","","","","",""
"CSM","0000010","20251120|140255","20251117_2119209_029610_055634","R09_1_JPN_Yokohama Challenger","Marcondes","Oberleitner","|K|0.721872|EK|G||OL1|1.49981|EOL1|OL2|3.8376|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|3.996|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/japan/challenger-men-singles-yokohama/marcondes-igor-oberleitner-neil-jRIZ71U6/#ah;2;-2.50;2","-2.5","1.7","2.2","","","","","","","1.7","2.2","","","","","","",""
"CSM","0000010","20251120|140257","20251117_2119209_029610_055634","R09_1_JPN_Yokohama Challenger","Marcondes","Oberleitner","|K|0.721872|EK|G||OL1|1.49981|EOL1|OL2|3.8376|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|3.996|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/japan/challenger-men-singles-yokohama/marcondes-igor-oberleitner-neil-jRIZ71U6/#ah;2;-3.50;2","-3.5","1.97","1.88","","","","","","","1.97","1.88","","","","","","",""
"CSM","0000010","20251120|140301","20251117_2119209_029610_055634","R09_1_JPN_Yokohama Challenger","Marcondes","Oberleitner","|K|0.721872|EK|G||OL1|1.49981|EOL1|OL2|3.8376|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|3.996|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/japan/challenger-men-singles-yokohama/marcondes-igor-oberleitner-neil-jRIZ71U6/#ah;2;1.50;1","1.5","1.22","4.5","","","","","","","1.22","4.5","","","","","","",""
"CSM","0000010","20251120|140259","20251117_2119209_029610_055634","R09_1_JPN_Yokohama Challenger","Marcondes","Oberleitner","|K|0.721872|EK|G||OL1|1.49981|EOL1|OL2|3.8376|EOL2|OH1|1.946|EOH1|OH2|1|EOH2|EG|NA||NAOL1|1.46645|ENAOL1|NAOL2|3.996|ENAOL2|NAVE1|-3|ENAVE1|NAVE2|-13.5|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/japan/challenger-men-singles-yokohama/marcondes-igor-oberleitner-neil-jRIZ71U6/#ah;2;-1.50;1","-1.5","2.14","1.75","","","","","","","2.14","1.75","","","","","","",""
