"FSM","0000025","20251126|082011","20251124_2125604_095490_107849","R04_0_TUN_M15 Monastir","Philibert","Pleshivtsev","|K|0.213991|EK|G||OL1|4.74084|EOL1|OL2|1.3696|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/tunisia/itf-men-singles-m15-monastir-43/philibert-nicolas-pleshivtsev-egor-E3WF78gt/","","","","","","","","","","4.23","1.13","","","","","","",""
"FSM","0000026","20251126|082032","20251124_2124804_071979_097967","R04_0_TUR_M25 Antalya","Ferrari","Ouzilou","|K|0.93435|EK|G||OL1|1.18|EOL1|OL2|15.4381|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-men-singles-m25-antalya-6/ferrari-gianmarco-ouzilou-hugo-IkleW6wQ/","","","","","","","","","","1.11","5.78","","","","","","",""
"FSM","0000027","20251126|082039","20251124_2124804_089251_101053","R04_0_TUR_M25 Antalya","Lazarov","Yazdani","|K|0.57805|EK|G||OL1|1.8511|EOL1|OL2|2.40081|EOL2|OH1|173|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-men-singles-m25-antalya-6/lazarov-george-yazdani-ali-UT70APG6/","","","","","","","","","","1.61","2.01","","","","","","",""
"FSM","0000028","20251126|082059","20251124_2124805_081114_071444","R05_0_TUR_M25 Antalya","Popovic","Zielinski","|K|0.616181|EK|G||OL1|1.7441|EOL1|OL2|2.64393|EOL2|OH1|163|EOH1|OH2|1|EOH2|EG|NA|NOT|ENA|","GEW","https://www.oddsportal.com/tennis/turkey/itf-men-singles-m25-antalya-6/popovic-stefan-zielinski-marcel-ADbuVWBb/","","","","","","","","","","1.36","2.58","","","","","","",""
"CSM","0000029","20251126|082125","20251124_2119805_099265_019689","R05_1_AUS_Playford Challenger","Marinkov","Bolt","|K|0.0923121|EK|G||OL1|11.5554|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|12.0324|ENAOL1|NAOL2|1.17105|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/marinkov-pavle-bolt-alex-SdB0JrBO/#ah;2;5.50;2","5.5","1.88","1.95","","","","","","","1.88","1.95","","","","","","",""
"CSM","0000029","20251126|082126","20251124_2119805_099265_019689","R05_1_AUS_Playford Challenger","Marinkov","Bolt","|K|0.0923121|EK|G||OL1|11.5554|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|12.0324|ENAOL1|NAOL2|1.17105|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/marinkov-pavle-bolt-alex-SdB0JrBO/#ah;2;4.50;2","4.5","2.66","1.49","","","","","","","2.66","1.49","","","","","","",""
"CSM","0000029","20251126|082129","20251124_2119805_099265_019689","R05_1_AUS_Playford Challenger","Marinkov","Bolt","|K|0.0923121|EK|G||OL1|11.5554|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|12.0324|ENAOL1|NAOL2|1.17105|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/marinkov-pavle-bolt-alex-SdB0JrBO/#ah;2;1.50;1","1.5","3.48","1.32","","","","","","","3.48","1.32","","","","","","",""
"CSM","0000029","20251126|082119","20251124_2119805_099265_019689","R05_1_AUS_Playford Challenger","Marinkov","Bolt","|K|0.0923121|EK|G||OL1|11.5554|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|12.0324|ENAOL1|NAOL2|1.17105|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/marinkov-pavle-bolt-alex-SdB0JrBO/","","8.01","1.09","","","","","","","7.69","1.05","","","","","","",""
"CSM","0000030","20251126|082143","20251124_2119805_068624_058149","R05_1_AUS_Playford Challenger","Sach","Hijikata","|K|0.0001|EK|G||OL1|10660|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|11100|ENAOL1|NAOL2|1.06555|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/sach-tai-hijikata-rinky-hboZXsQH/#ah;2;5.50;2","5.5","2.03","1.82","","","","","","","2.03","1.82","","","","","","",""
"CSM","0000030","20251126|082145","20251124_2119805_068624_058149","R05_1_AUS_Playford Challenger","Sach","Hijikata","|K|0.0001|EK|G||OL1|10660|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|11100|ENAOL1|NAOL2|1.06555|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHG","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/sach-tai-hijikata-rinky-hboZXsQH/#ah;2;4.50;2","4.5","2.9","1.42","","","","","","","2.9","1.42","","","","","","",""
"CSM","0000030","20251126|082148","20251124_2119805_068624_058149","R05_1_AUS_Playford Challenger","Sach","Hijikata","|K|0.0001|EK|G||OL1|10660|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|11100|ENAOL1|NAOL2|1.06555|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","AHS","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/sach-tai-hijikata-rinky-hboZXsQH/#ah;2;1.50;1","1.5","3.57","1.31","","","","","","","3.57","1.31","","","","","","",""
"CSM","0000030","20251126|082136","20251124_2119805_068624_058149","R05_1_AUS_Playford Challenger","Sach","Hijikata","|K|0.0001|EK|G||OL1|10660|EOL1|OL2|1.21|EOL2|OH1|1|EOH1|OH2|1|EOH2|EG|NA||NAOL1|11100|ENAOL1|NAOL2|1.06555|ENAOL2|NAVE1|-13.5|ENAVE1|NAVE2|-3|ENAVE2||ENA|","GEW","https://www.oddsportal.com/tennis/australia/challenger-men-singles-playford-2/sach-tai-hijikata-rinky-hboZXsQH/","","9.3","1.08","","","","","","","8.93","1.04","","","","","","",""
